printedYear,startMonth,startDay,endMonth,endDay,parish,cause,count,parishTotal,parishPlague,canonicalDBN
1666,September,18,September,25,"Olaves-Hartstreet, in Crutchet-Fryers",Gripeing in ye gutts,1.0,2.0,1.0,St Olave Hart Street
1666,September,18,September,25,"Olaves-Hartstreet, in Crutchet-Fryers",Plague,1.0,2.0,1.0,St Olave Hart Street
1665,March,13,March,20,"Peters, near Paulswharfe",Hangd herselfe,1.0,1.0,,St Peter Paul's Wharf
1666,July,10,July,17,"Peters, near Paulswharfe",Consumpcon,1.0,1.0,,St Peter Paul's Wharf
1665,March,13,March,20,"Stevens, in Colemanstreet",Smalpox,1.0,2.0,,St Stephen Coleman Street
1665,March,13,March,20,"Stevens, in Colemanstreet",Stoping of ye Stomack,1.0,2.0,,St Stephen Coleman Street
1666,April,10,April,17,"Stevens, in Colemanstreet",Childbed,1.0,2.0,,St Stephen Coleman Street
1666,April,10,April,17,"Stevens, in Colemanstreet",Dropsy,1.0,2.0,,St Stephen Coleman Street
1666,July,10,July,17,"Stevens, in Colemanstreet",Consumpcon,1.0,2.0,,St Stephen Coleman Street
1666,July,10,July,17,"Stevens, in Colemanstreet",Stoping of ye Stomack,1.0,2.0,,St Stephen Coleman Street
1665,March,13,March,20,Andrew-Holborn,Aged,1.0,9.0,1.0,St Andrew Holborn
1665,March,13,March,20,Andrew-Holborn,Consumpcon,2.0,9.0,1.0,St Andrew Holborn
1665,March,13,March,20,Andrew-Holborn,Dropsy,1.0,9.0,1.0,St Andrew Holborn
1665,March,13,March,20,Andrew-Holborn,ffeaver,1.0,9.0,1.0,St Andrew Holborn
1665,March,13,March,20,Andrew-Holborn,Plague,1.0,9.0,1.0,St Andrew Holborn
1665,March,13,March,20,Andrew-Holborn,Riseing of ye lights,1.0,9.0,1.0,St Andrew Holborn
1665,March,13,March,20,Andrew-Holborn,Surfett,2.0,9.0,1.0,St Andrew Holborn
1666,April,10,April,17,Andrew-Holborn,Consumpcon,5.0,11.0,3.0,St Andrew Holborn
1666,April,10,April,17,Andrew-Holborn,Convulcon,1.0,11.0,3.0,St Andrew Holborn
1666,April,10,April,17,Andrew-Holborn,Dropsy,1.0,11.0,3.0,St Andrew Holborn
1666,April,10,April,17,Andrew-Holborn,Ricketts,1.0,11.0,3.0,St Andrew Holborn
1666,April,10,April,17,Andrew-Holborn,Plague,3.0,11.0,3.0,St Andrew Holborn
1666,May,22,May,29,Andrew-Holborn,Consumpcon,1.0,5.0,,St Andrew Holborn
1666,May,22,May,29,Andrew-Holborn,ffeaver,2.0,5.0,,St Andrew Holborn
1666,May,22,May,29,Andrew-Holborn,Palsy,1.0,5.0,,St Andrew Holborn
1666,May,22,May,29,Andrew-Holborn,Riseing of ye lights,1.0,5.0,,St Andrew Holborn
1666,July,10,July,17,Andrew-Holborn,Consumpcon,2.0,6.0,,St Andrew Holborn
1666,July,10,July,17,Andrew-Holborn,Dropsy,1.0,6.0,,St Andrew Holborn
1666,July,10,July,17,Andrew-Holborn,Ricketts,1.0,6.0,,St Andrew Holborn
1666,July,10,July,17,Andrew-Holborn,Riseing of ye lights,2.0,6.0,,St Andrew Holborn
1666,September,18,September,25,Andrew-Holborn,Consumpcon,1.0,8.0,1.0,St Andrew Holborn
1666,September,18,September,25,Andrew-Holborn,Childbed,1.0,8.0,1.0,St Andrew Holborn
1666,September,18,September,25,Andrew-Holborn,Chrisoms,1.0,8.0,1.0,St Andrew Holborn
1666,September,18,September,25,Andrew-Holborn,Dropsy,1.0,8.0,1.0,St Andrew Holborn
1666,September,18,September,25,Andrew-Holborn,Hanged himself,1.0,8.0,1.0,St Andrew Holborn
1666,September,18,September,25,Andrew-Holborn,Plague,1.0,8.0,1.0,St Andrew Holborn
1666,September,18,September,25,Andrew-Holborn,Surfett,1.0,8.0,1.0,St Andrew Holborn
1666,September,18,September,25,Andrew-Holborn,Teeth,1.0,8.0,1.0,St Andrew Holborn
1665,March,13,March,20,"Brides, near Fleetstreet",Aged,2.0,13.0,1.0,St Bride
1665,March,13,March,20,"Brides, near Fleetstreet",Consumpcon,2.0,13.0,1.0,St Bride
1665,March,13,March,20,"Brides, near Fleetstreet",Convulcon,1.0,13.0,1.0,St Bride
1665,March,13,March,20,"Brides, near Fleetstreet",Chrisoms,1.0,13.0,1.0,St Bride
1665,March,13,March,20,"Brides, near Fleetstreet",Spotted ffeaver,1.0,13.0,1.0,St Bride
1665,March,13,March,20,"Brides, near Fleetstreet",Stone,1.0,13.0,1.0,St Bride
1665,March,13,March,20,"Brides, near Fleetstreet",Childbed,1.0,13.0,1.0,St Bride
1665,March,13,March,20,"Brides, near Fleetstreet",Abortive,1.0,13.0,1.0,St Bride
1665,March,13,March,20,"Brides, near Fleetstreet",Teeth,2.0,13.0,1.0,St Bride
1665,March,13,March,20,"Brides, near Fleetstreet",Plague,1.0,13.0,1.0,St Bride
1666,April,10,April,17,"Brides, near Fleetstreet",Consumpcon,2.0,7.0,1.0,St Bride
1666,April,10,April,17,"Brides, near Fleetstreet",Convulcon,1.0,7.0,1.0,St Bride
1666,April,10,April,17,"Brides, near Fleetstreet",Palsy,1.0,7.0,1.0,St Bride
1666,April,10,April,17,"Brides, near Fleetstreet",Plague,1.0,7.0,1.0,St Bride
1666,April,10,April,17,"Brides, near Fleetstreet",Spotted ffeaver,1.0,7.0,1.0,St Bride
1666,April,10,April,17,"Brides, near Fleetstreet",Stilborne,1.0,7.0,1.0,St Bride
1666,May,22,May,29,"Brides, near Fleetstreet",Childbed,1.0,5.0,,St Bride
1666,May,22,May,29,"Brides, near Fleetstreet",Consumpcon,2.0,5.0,,St Bride
1666,May,22,May,29,"Brides, near Fleetstreet",Thrush,2.0,5.0,,St Bride
1666,July,10,July,17,"Brides, near Fleetstreet",Convulcon,1.0,2.0,,St Bride
1666,July,10,July,17,"Brides, near Fleetstreet",Dropsy,1.0,2.0,,St Bride
1665,March,13,March,20,Bridewell-Precinct,Surfett,1.0,1.0,,Bridewell Precinct
1665,March,13,March,20,"Botolph, without Aldersgate",Dropsy,2.0,4.0,,St Botolph Aldersgate
1665,March,13,March,20,"Botolph, without Aldersgate",Consumpcon,1.0,4.0,,St Botolph Aldersgate
1665,March,13,March,20,"Botolph, without Aldersgate",Stilborne,1.0,4.0,,St Botolph Aldersgate
1666,April,10,April,17,"Botolph, without Aldersgate",Convulcon,1.0,1.0,,St Botolph Aldersgate
1666,May,22,May,29,"Botolph, without Aldersgate",Consumpcon,1.0,1.0,,St Botolph Aldersgate
1666,July,10,July,17,"Botolph, without Aldersgate",Childbed,2.0,3.0,,St Botolph Aldersgate
1666,July,10,July,17,"Botolph, without Aldersgate",Stilborne,1.0,3.0,,St Botolph Aldersgate
1666,September,18,September,25,"Botolph, without Aldersgate",Consumpcon,4.0,6.0,1.0,St Botolph Aldersgate
1666,September,18,September,25,"Botolph, without Aldersgate",Plague,1.0,6.0,1.0,St Botolph Aldersgate
1666,September,18,September,25,"Botolph, without Aldersgate",Burnt,1.0,6.0,1.0,St Botolph Aldersgate
1665,March,13,March,20,"Botolph, without Aldgate",Consumpcon,1.0,11.0,6.0,St Botolph Aldgate
1665,March,13,March,20,"Botolph, without Aldgate",Dropsy,1.0,11.0,6.0,St Botolph Aldgate
1665,March,13,March,20,"Botolph, without Aldgate",ffrenchpox,1.0,11.0,6.0,St Botolph Aldgate
1665,March,13,March,20,"Botolph, without Aldgate",Surfett,1.0,11.0,6.0,St Botolph Aldgate
1665,March,13,March,20,"Botolph, without Aldgate",Spotted ffeaver,1.0,11.0,6.0,St Botolph Aldgate
1665,March,13,March,20,"Botolph, without Aldgate",Plague,6.0,11.0,6.0,St Botolph Aldgate
1666,April,10,April,17,"Botolph, without Aldgate",Aged,1.0,11.0,5.0,St Botolph Aldgate
1666,April,10,April,17,"Botolph, without Aldgate",Consumpcon,4.0,11.0,5.0,St Botolph Aldgate
1666,April,10,April,17,"Botolph, without Aldgate",Plague,5.0,11.0,5.0,St Botolph Aldgate
1666,April,10,April,17,"Botolph, without Aldgate",Surfett,1.0,11.0,5.0,St Botolph Aldgate
1666,May,22,May,29,"Botolph, without Aldgate",Aged,1.0,11.0,2.0,St Botolph Aldgate
1666,May,22,May,29,"Botolph, without Aldgate",Consumpcon,3.0,11.0,2.0,St Botolph Aldgate
1666,May,22,May,29,"Botolph, without Aldgate",Dropsy,1.0,11.0,2.0,St Botolph Aldgate
1666,May,22,May,29,"Botolph, without Aldgate",Plague,2.0,11.0,2.0,St Botolph Aldgate
1666,May,22,May,29,"Botolph, without Aldgate",Quinsy,1.0,11.0,2.0,St Botolph Aldgate
1666,May,22,May,29,"Botolph, without Aldgate",Riseing of ye lights,1.0,11.0,2.0,St Botolph Aldgate
1666,May,22,May,29,"Botolph, without Aldgate",Stilborne,1.0,11.0,2.0,St Botolph Aldgate
1666,May,22,May,29,"Botolph, without Aldgate",Ricketts,1.0,11.0,2.0,St Botolph Aldgate
1666,July,10,July,17,"Botolph, without Aldgate",Chrisoms,1.0,5.0,,St Botolph Aldgate
1666,July,10,July,17,"Botolph, without Aldgate",Consumpcon,1.0,5.0,,St Botolph Aldgate
1666,July,10,July,17,"Botolph, without Aldgate",Convulcon,1.0,5.0,,St Botolph Aldgate
1666,July,10,July,17,"Botolph, without Aldgate",Thrush,1.0,5.0,,St Botolph Aldgate
1666,July,10,July,17,"Botolph, without Aldgate",Kings Evill,1.0,5.0,,St Botolph Aldgate
1666,September,18,September,25,"Botolph, without Aldgate",Aged,1.0,15.0,,St Botolph Aldgate
1666,September,18,September,25,"Botolph, without Aldgate",Chrisoms,3.0,15.0,,St Botolph Aldgate
1666,September,18,September,25,"Botolph, without Aldgate",Childbed,1.0,15.0,,St Botolph Aldgate
1666,September,18,September,25,"Botolph, without Aldgate",Consumpcon,1.0,15.0,,St Botolph Aldgate
1666,September,18,September,25,"Botolph, without Aldgate",Convulcon,1.0,15.0,,St Botolph Aldgate
1666,September,18,September,25,"Botolph, without Aldgate",ffrighted,3.0,15.0,,St Botolph Aldgate
1666,September,18,September,25,"Botolph, without Aldgate",Gripeing in ye gutts,1.0,15.0,,St Botolph Aldgate
1666,September,18,September,25,"Botolph, without Aldgate",Stilborne,2.0,15.0,,St Botolph Aldgate
1666,September,18,September,25,"Botolph, without Aldgate",Teeth,1.0,15.0,,St Botolph Aldgate
1666,September,18,September,25,"Botolph, without Aldgate",Tissick,1.0,15.0,,St Botolph Aldgate
1665,March,13,March,20,"Botolph, without Bishopsgate",Consumpcon,2.0,7.0,,St Botolph Bishopsgate
1665,March,13,March,20,"Botolph, without Bishopsgate",Dropsy,1.0,7.0,,St Botolph Bishopsgate
1665,March,13,March,20,"Botolph, without Bishopsgate",ffeaver,1.0,7.0,,St Botolph Bishopsgate
1665,March,13,March,20,"Botolph, without Bishopsgate",Teeth,1.0,7.0,,St Botolph Bishopsgate
1666,April,10,April,17,"Botolph, without Bishopsgate",Dropsy,3.0,5.0,,St Botolph Bishopsgate
1666,April,10,April,17,"Botolph, without Bishopsgate",Tissick,1.0,5.0,,St Botolph Bishopsgate
1666,April,10,April,17,"Botolph, without Bishopsgate",Stilborne,1.0,5.0,,St Botolph Bishopsgate
1666,May,22,May,29,"Botolph, without Bishopsgate",Drowned in a Tub of water,1.0,3.0,,St Botolph Bishopsgate
1666,May,22,May,29,"Botolph, without Bishopsgate",Consumpcon,1.0,3.0,,St Botolph Bishopsgate
1666,May,22,May,29,"Botolph, without Bishopsgate",Stoping of ye Stomack,1.0,3.0,,St Botolph Bishopsgate
1666,September,18,September,25,"Botolph, without Bishopsgate",ffeaver,2.0,7.0,,St Botolph Bishopsgate
1666,September,18,September,25,"Botolph, without Bishopsgate",Kings Evill,1.0,7.0,,St Botolph Bishopsgate
1666,September,18,September,25,"Botolph, without Bishopsgate",Cancer,1.0,7.0,,St Botolph Bishopsgate
1666,September,18,September,25,"Botolph, without Bishopsgate",Lunatique,1.0,7.0,,St Botolph Bishopsgate
1666,September,18,September,25,"Botolph, without Bishopsgate",Tissick,1.0,7.0,,St Botolph Bishopsgate
1666,September,18,September,25,"Botolph, without Bishopsgate",Teeth,1.0,7.0,,St Botolph Bishopsgate
1665,March,13,March,20,"Dunstans-West, in Fleetstreet",Abortive,1.0,3.0,,St Dunstan West
1665,March,13,March,20,"Dunstans-West, in Fleetstreet",ffeaver,1.0,3.0,,St Dunstan West
1665,March,13,March,20,"Dunstans-West, in Fleetstreet",Overlayd,1.0,3.0,,St Dunstan West
1666,April,10,April,17,"Dunstans-West, in Fleetstreet",Consumpcon,1.0,5.0,1.0,St Dunstan West
1666,April,10,April,17,"Dunstans-West, in Fleetstreet",Convulcon,1.0,5.0,1.0,St Dunstan West
1666,April,10,April,17,"Dunstans-West, in Fleetstreet",Plague,1.0,5.0,1.0,St Dunstan West
1666,April,10,April,17,"Dunstans-West, in Fleetstreet",Ricketts,1.0,5.0,1.0,St Dunstan West
1666,April,10,April,17,"Dunstans-West, in Fleetstreet",Teeth,1.0,5.0,1.0,St Dunstan West
1666,May,22,May,29,"Dunstans-West, in Fleetstreet",Consumpcon,1.0,3.0,,St Dunstan West
1666,May,22,May,29,"Dunstans-West, in Fleetstreet",Scurvy,1.0,3.0,,St Dunstan West
1666,May,22,May,29,"Dunstans-West, in Fleetstreet",Tissick,1.0,3.0,,St Dunstan West
1666,July,10,July,17,"Dunstans-West, in Fleetstreet",Consumpcon,1.0,1.0,,St Dunstan West
1665,March,13,March,20,"George, in Southwark",Stilborne,1.0,2.0,,St George Southwark
1665,March,13,March,20,"George, in Southwark",Teeth,1.0,2.0,,St George Southwark
1666,April,10,April,17,"George, in Southwark",Aged,2.0,6.0,1.0,St George Southwark
1666,April,10,April,17,"George, in Southwark",Cancer,1.0,6.0,1.0,St George Southwark
1666,April,10,April,17,"George, in Southwark",Plague,1.0,6.0,1.0,St George Southwark
1666,April,10,April,17,"George, in Southwark",Teeth,2.0,6.0,1.0,St George Southwark
1666,May,22,May,29,"George, in Southwark",Consumpcon,1.0,1.0,,St George Southwark
1666,July,10,July,17,"George, in Southwark",Consumpcon,2.0,6.0,,St George Southwark
1666,July,10,July,17,"George, in Southwark",Infant,4.0,6.0,,St George Southwark
1666,September,18,September,25,"George, in Southwark",Aged,2.0,4.0,,St George Southwark
1666,September,18,September,25,"George, in Southwark",ffeaver,2.0,4.0,,St George Southwark
1665,March,13,March,20,"Giles, without Cripplegate",Aged,2.0,11.0,3.0,St Giles Cripplegate
1665,March,13,March,20,"Giles, without Cripplegate",Consumpcon,3.0,11.0,3.0,St Giles Cripplegate
1665,March,13,March,20,"Giles, without Cripplegate",Dropsy,3.0,11.0,3.0,St Giles Cripplegate
1665,March,13,March,20,"Giles, without Cripplegate",Gripeing in ye gutts,3.0,11.0,3.0,St Giles Cripplegate
1666,April,10,April,17,"Giles, without Cripplegate",Consumpcon,1.0,7.0,,St Giles Cripplegate
1666,April,10,April,17,"Giles, without Cripplegate",Convulcon,2.0,7.0,,St Giles Cripplegate
1666,April,10,April,17,"Giles, without Cripplegate",Dropsy,2.0,7.0,,St Giles Cripplegate
1666,April,10,April,17,"Giles, without Cripplegate",Stilborne,1.0,7.0,,St Giles Cripplegate
1666,April,10,April,17,"Giles, without Cripplegate",Surfett,1.0,7.0,,St Giles Cripplegate
1666,May,22,May,29,"Giles, without Cripplegate",Aged,2.0,13.0,,St Giles Cripplegate
1666,May,22,May,29,"Giles, without Cripplegate",Consumpcon,2.0,13.0,,St Giles Cripplegate
1666,May,22,May,29,"Giles, without Cripplegate",Convulcon,1.0,13.0,,St Giles Cripplegate
1666,May,22,May,29,"Giles, without Cripplegate",Dropsy,4.0,13.0,,St Giles Cripplegate
1666,May,22,May,29,"Giles, without Cripplegate",Gripeing in ye gutts,1.0,13.0,,St Giles Cripplegate
1666,May,22,May,29,"Giles, without Cripplegate",Infant,1.0,13.0,,St Giles Cripplegate
1666,May,22,May,29,"Giles, without Cripplegate",Quinsy,1.0,13.0,,St Giles Cripplegate
1666,May,22,May,29,"Giles, without Cripplegate",Stone,1.0,13.0,,St Giles Cripplegate
1666,July,10,July,17,"Giles, without Cripplegate",Consumpcon,4.0,14.0,,St Giles Cripplegate
1666,July,10,July,17,"Giles, without Cripplegate",Convulcon,1.0,14.0,,St Giles Cripplegate
1666,July,10,July,17,"Giles, without Cripplegate",Dropsy,3.0,14.0,,St Giles Cripplegate
1666,July,10,July,17,"Giles, without Cripplegate",Gripeing in ye gutts,1.0,14.0,,St Giles Cripplegate
1666,July,10,July,17,"Giles, without Cripplegate",Spotted ffeaver,1.0,14.0,,St Giles Cripplegate
1666,July,10,July,17,"Giles, without Cripplegate",Surfett,1.0,14.0,,St Giles Cripplegate
1666,July,10,July,17,"Giles, without Cripplegate",Teeth,3.0,14.0,,St Giles Cripplegate
1666,September,18,September,25,"Giles, without Cripplegate",Aged,3.0,19.0,2.0,St Giles Cripplegate
1666,September,18,September,25,"Giles, without Cripplegate",Childbed,1.0,19.0,2.0,St Giles Cripplegate
1666,September,18,September,25,"Giles, without Cripplegate",Consumpcon,6.0,19.0,2.0,St Giles Cripplegate
1666,September,18,September,25,"Giles, without Cripplegate",ffeaver,1.0,19.0,2.0,St Giles Cripplegate
1666,September,18,September,25,"Giles, without Cripplegate",ffrighted,1.0,19.0,2.0,St Giles Cripplegate
1666,September,18,September,25,"Giles, without Cripplegate",Gripeing in ye gutts,2.0,19.0,2.0,St Giles Cripplegate
1666,September,18,September,25,"Giles, without Cripplegate",Plague,2.0,19.0,2.0,St Giles Cripplegate
1666,September,18,September,25,"Giles, without Cripplegate",Surfett,1.0,19.0,2.0,St Giles Cripplegate
1666,September,18,September,25,"Giles, without Cripplegate",Teeth,2.0,19.0,2.0,St Giles Cripplegate
1665,March,13,March,20,"Olaves, in Southwark",Aged,1.0,11.0,3.0,St Olave Southwark
1665,March,13,March,20,"Olaves, in Southwark",Childbed,1.0,11.0,3.0,St Olave Southwark
1665,March,13,March,20,"Olaves, in Southwark",Consumpcon,2.0,11.0,3.0,St Olave Southwark
1665,March,13,March,20,"Olaves, in Southwark",ffeaver,2.0,11.0,3.0,St Olave Southwark
1665,March,13,March,20,"Olaves, in Southwark",Infant,1.0,11.0,3.0,St Olave Southwark
1665,March,13,March,20,"Olaves, in Southwark",Plague,3.0,11.0,3.0,St Olave Southwark
1665,March,13,March,20,"Olaves, in Southwark",Stone,1.0,11.0,3.0,St Olave Southwark
1666,April,10,April,17,"Olaves, in Southwark",Aged,1.0,8.0,3.0,St Olave Southwark
1666,April,10,April,17,"Olaves, in Southwark",Consumpcon,2.0,8.0,3.0,St Olave Southwark
1666,April,10,April,17,"Olaves, in Southwark",ffeaver,2.0,8.0,3.0,St Olave Southwark
1666,April,10,April,17,"Olaves, in Southwark",Plague,3.0,8.0,3.0,St Olave Southwark
1666,May,22,May,29,"Olaves, in Southwark",Aged,2.0,12.0,,St Olave Southwark
