unique_identifier,death,count,year,week_id,year_range,split_year,id
Laxton-1701-14-verso,Wind,,1701,1701-1702-14,1701-1702,1701,100
Laxton-1701-14-verso,Wolf,,1701,1701-1702-14,1701-1702,1701,101
Laxton-1701-14-verso,Worms,,1701,1701-1702-14,1701-1702,1701,102
Laxton-1701-14-verso,Abortive,6,1701,1701-1702-14,1701-1702,1701,103
Laxton-1701-14-verso,Overlaid,2,1701,1701-1702-14,1701-1702,1701,104
Laxton-1701-14-verso,Still-born,11,1701,1701-1702-14,1701-1702,1701,105
Laxton-1701-14-verso,Drowned,1,1701,1701-1702-14,1701-1702,1701,106
Laxton-1701-14-verso,Found Dead,,1701,1701-1702-14,1701-1702,1701,107
Laxton-1701-14-verso,Executed,2,1701,1701-1702-14,1701-1702,1701,108
Laxton-1701-14-verso,Killed,2,1701,1701-1702-14,1701-1702,1701,109
Laxton-1701-14-verso,Suicide,,1701,1701-1702-14,1701-1702,1701,110
Laxton-1701-14-verso,Other,1,1701,1701-1702-14,1701-1702,1701,111
Laxton-1701-15-verso,Aged,32,1701,1701-1702-15,1701-1702,1701,112
Laxton-1701-15-verso,Ague,,1701,1701-1702-15,1701-1702,1701,113
Laxton-1701-15-verso,Apoplexy,1,1701,1701-1702-15,1701-1702,1701,114
Laxton-1701-15-verso,Asthma,,1701,1701-1702-15,1701-1702,1701,115
Laxton-1701-15-verso,Bed-ridden,,1701,1701-1702-15,1701-1702,1701,116
Laxton-1701-15-verso,Blasted,,1701,1701-1702-15,1701-1702,1701,117
Laxton-1701-15-verso,Bleeding,,1701,1701-1702-15,1701-1702,1701,118
Laxton-1701-15-verso,Bloody-flux,,1701,1701-1702-15,1701-1702,1701,119
Laxton-1701-15-verso,Calenture,,1701,1701-1702-15,1701-1702,1701,120
Laxton-1701-15-verso,Cancer,,1701,1701-1702-15,1701-1702,1701,121
Laxton-1701-15-verso,Canker,,1701,1701-1702-15,1701-1702,1701,122
Laxton-1701-15-verso,Chicken Pox,,1701,1701-1702-15,1701-1702,1701,123
Laxton-1701-15-verso,Child-Bed,3,1701,1701-1702-15,1701-1702,1701,124
Laxton-1701-15-verso,Chrisoms,1,1701,1701-1702-15,1701-1702,1701,125
Laxton-1701-15-verso,Cold,,1701,1701-1702-15,1701-1702,1701,126
Laxton-1701-15-verso,Colick,1,1701,1701-1702-15,1701-1702,1701,127
Laxton-1701-15-verso,Consumption,70,1701,1701-1702-15,1701-1702,1701,128
Laxton-1701-15-verso,Convulsion,133,1701,1701-1702-15,1701-1702,1701,129
Laxton-1701-15-verso,Cough,,1701,1701-1702-15,1701-1702,1701,130
Laxton-1701-15-verso,Cramp,,1701,1701-1702-15,1701-1702,1701,131
Laxton-1701-15-verso,Diabetes,,1701,1701-1702-15,1701-1702,1701,132
Laxton-1701-15-verso,Dropsie,16,1701,1701-1702-15,1701-1702,1701,133
Laxton-1701-15-verso,Falling-sickness,,1701,1701-1702-15,1701-1702,1701,134
Laxton-1701-15-verso,Fever,58,1701,1701-1702-15,1701-1702,1701,135
Laxton-1701-15-verso,Fistula,,1701,1701-1702-15,1701-1702,1701,136
Laxton-1701-15-verso,Flox and Small-Pox,13,1701,1701-1702-15,1701-1702,1701,137
Laxton-1701-15-verso,Flux,,1701,1701-1702-15,1701-1702,1701,138
Laxton-1701-15-verso,French-Pox,1,1701,1701-1702-15,1701-1702,1701,139
Laxton-1701-15-verso,Frets,,1701,1701-1702-15,1701-1702,1701,140
Laxton-1701-15-verso,Gangreen,,1701,1701-1702-15,1701-1702,1701,141
Laxton-1701-15-verso,Gout,,1701,1701-1702-15,1701-1702,1701,142
Laxton-1701-15-verso,Gravel,,1701,1701-1702-15,1701-1702,1701,143
Laxton-1701-15-verso,Grief,,1701,1701-1702-15,1701-1702,1701,144
Laxton-1701-15-verso,Griping in the Guts,15,1701,1701-1702-15,1701-1702,1701,145
Laxton-1701-15-verso,Headache,,1701,1701-1702-15,1701-1702,1701,146
Laxton-1701-15-verso,Headmouldshot,,1701,1701-1702-15,1701-1702,1701,147
Laxton-1701-15-verso,Hooping Cough,,1701,1701-1702-15,1701-1702,1701,148
Laxton-1701-15-verso,Hiccough,,1701,1701-1702-15,1701-1702,1701,149
Laxton-1701-15-verso,Horshoehead,,1701,1701-1702-15,1701-1702,1701,150
Laxton-1701-15-verso,Impostume,3,1701,1701-1702-15,1701-1702,1701,151
Laxton-1701-15-verso,Infants,,1701,1701-1702-15,1701-1702,1701,152
Laxton-1701-15-verso,Inflammation,,1701,1701-1702-15,1701-1702,1701,153
Laxton-1701-15-verso,Itch,,1701,1701-1702-15,1701-1702,1701,154
Laxton-1701-15-verso,Jaundies,2,1701,1701-1702-15,1701-1702,1701,155
Laxton-1701-15-verso,Jaw-fallen,,1701,1701-1702-15,1701-1702,1701,156
Laxton-1701-15-verso,Kings Evil,3,1701,1701-1702-15,1701-1702,1701,157
Laxton-1701-15-verso,Leprosie,,1701,1701-1702-15,1701-1702,1701,158
Laxton-1701-15-verso,Lethargy,,1701,1701-1702-15,1701-1702,1701,159
Laxton-1701-15-verso,Liver-grown,,1701,1701-1702-15,1701-1702,1701,160
Laxton-1701-15-verso,Looseness,,1701,1701-1702-15,1701-1702,1701,161
Laxton-1701-15-verso,Lunatick and Frenzy,,1701,1701-1702-15,1701-1702,1701,162
Laxton-1701-15-verso,Malignant Fever,,1701,1701-1702-15,1701-1702,1701,163
Laxton-1701-15-verso,Meagrim,,1701,1701-1702-15,1701-1702,1701,164
Laxton-1701-15-verso,Measles,,1701,1701-1702-15,1701-1702,1701,165
Laxton-1701-15-verso,Miscarriage,,1701,1701-1702-15,1701-1702,1701,166
Laxton-1701-15-verso,Mortification,,1701,1701-1702-15,1701-1702,1701,167
Laxton-1701-15-verso,Mother,,1701,1701-1702-15,1701-1702,1701,168
Laxton-1701-15-verso,Noli me tangere,,1701,1701-1702-15,1701-1702,1701,169
Laxton-1701-15-verso,Palsie,,1701,1701-1702-15,1701-1702,1701,170
Laxton-1701-15-verso,Plague,,1701,1701-1702-15,1701-1702,1701,171
Laxton-1701-15-verso,Planet,,1701,1701-1702-15,1701-1702,1701,172
Laxton-1701-15-verso,Plurisie,1,1701,1701-1702-15,1701-1702,1701,173
Laxton-1701-15-verso,Purples,,1701,1701-1702-15,1701-1702,1701,174
Laxton-1701-15-verso,Quinsie,1,1701,1701-1702-15,1701-1702,1701,175
Laxton-1701-15-verso,Rash,,1701,1701-1702-15,1701-1702,1701,176
Laxton-1701-15-verso,Rheumatism,,1701,1701-1702-15,1701-1702,1701,177
Laxton-1701-15-verso,Rickets,9,1701,1701-1702-15,1701-1702,1701,178
Laxton-1701-15-verso,Rising of the Lights,3,1701,1701-1702-15,1701-1702,1701,179
Laxton-1701-15-verso,Running of the Reins,,1701,1701-1702-15,1701-1702,1701,180
Laxton-1701-15-verso,Rupture,1,1701,1701-1702-15,1701-1702,1701,181
Laxton-1701-15-verso,Scald Head,,1701,1701-1702-15,1701-1702,1701,182
Laxton-1701-15-verso,Scarlet Fever,,1701,1701-1702-15,1701-1702,1701,183
Laxton-1701-15-verso,Sciatica,,1701,1701-1702-15,1701-1702,1701,184
Laxton-1701-15-verso,Scowring,,1701,1701-1702-15,1701-1702,1701,185
Laxton-1701-15-verso,Scurvy,,1701,1701-1702-15,1701-1702,1701,186
Laxton-1701-15-verso,Sores,,1701,1701-1702-15,1701-1702,1701,187
Laxton-1701-15-verso,Shingles,,1701,1701-1702-15,1701-1702,1701,188
Laxton-1701-15-verso,Spleen,,1701,1701-1702-15,1701-1702,1701,189
Laxton-1701-15-verso,Spotted-Fever,1,1701,1701-1702-15,1701-1702,1701,190
Laxton-1701-15-verso,St. Anthony's Fire,,1701,1701-1702-15,1701-1702,1701,191
Laxton-1701-15-verso,Starved,,1701,1701-1702-15,1701-1702,1701,192
Laxton-1701-15-verso,Stone,,1701,1701-1702-15,1701-1702,1701,193
Laxton-1701-15-verso,Stopping of the Stomach,12,1701,1701-1702-15,1701-1702,1701,194
Laxton-1701-15-verso,Strangury,,1701,1701-1702-15,1701-1702,1701,195
Laxton-1701-15-verso,Strongullion,,1701,1701-1702-15,1701-1702,1701,196
Laxton-1701-15-verso,Suddenly,1,1701,1701-1702-15,1701-1702,1701,197
Laxton-1701-15-verso,Surfeit,4,1701,1701-1702-15,1701-1702,1701,198
Laxton-1701-15-verso,Swelling in the Throat,,1701,1701-1702-15,1701-1702,1701,199
Laxton-1701-15-verso,Swine-Pox,,1701,1701-1702-15,1701-1702,1701,200
Laxton-1701-15-verso,Teeth,30,1701,1701-1702-15,1701-1702,1701,201
Laxton-1701-15-verso,Thrush,1,1701,1701-1702-15,1701-1702,1701,202
Laxton-1701-15-verso,Tissick,7,1701,1701-1702-15,1701-1702,1701,203
Laxton-1701-15-verso,Tympany,,1701,1701-1702-15,1701-1702,1701,204
Laxton-1701-15-verso,Twisting of the Guts,,1701,1701-1702-15,1701-1702,1701,205
Laxton-1701-15-verso,Ulcer,,1701,1701-1702-15,1701-1702,1701,206
Laxton-1701-15-verso,Vapours,,1701,1701-1702-15,1701-1702,1701,207
Laxton-1701-15-verso,Vomiting,,1701,1701-1702-15,1701-1702,1701,208
Laxton-1701-15-verso,Water in the Head,,1701,1701-1702-15,1701-1702,1701,209
Laxton-1701-15-verso,Wen,,1701,1701-1702-15,1701-1702,1701,210
Laxton-1701-15-verso,Wind,,1701,1701-1702-15,1701-1702,1701,211
Laxton-1701-15-verso,Wolf,,1701,1701-1702-15,1701-1702,1701,212
Laxton-1701-15-verso,Worms,1,1701,1701-1702-15,1701-1702,1701,213
Laxton-1701-15-verso,Abortive,1,1701,1701-1702-15,1701-1702,1701,214
Laxton-1701-15-verso,Overlaid,1,1701,1701-1702-15,1701-1702,1701,215
Laxton-1701-15-verso,Still-born,7,1701,1701-1702-15,1701-1702,1701,216
Laxton-1701-15-verso,Drowned,2,1701,1701-1702-15,1701-1702,1701,217
Laxton-1701-15-verso,Found Dead,,1701,1701-1702-15,1701-1702,1701,218
Laxton-1701-15-verso,Executed,,1701,1701-1702-15,1701-1702,1701,219
Laxton-1701-15-verso,Killed,3,1701,1701-1702-15,1701-1702,1701,220
Laxton-1701-15-verso,Suicide,,1701,1701-1702-15,1701-1702,1701,221
Laxton-1701-15-verso,Other,2,1701,1701-1702-15,1701-1702,1701,222
Laxton-1701-16-verso,Aged,38,1701,1700-1701-16,1700-1701,1700/1701,223
Laxton-1701-16-verso,Ague,,1701,1700-1701-16,1700-1701,1700/1701,224
Laxton-1701-16-verso,Apoplexy,1,1701,1700-1701-16,1700-1701,1700/1701,225
Laxton-1701-16-verso,Asthma,,1701,1700-1701-16,1700-1701,1700/1701,226
Laxton-1701-16-verso,Bed-ridden,,1701,1700-1701-16,1700-1701,1700/1701,227
Laxton-1701-16-verso,Blasted,,1701,1700-1701-16,1700-1701,1700/1701,228
Laxton-1701-16-verso,Bleeding,,1701,1700-1701-16,1700-1701,1700/1701,229
Laxton-1701-16-verso,Bloody-flux,,1701,1700-1701-16,1700-1701,1700/1701,230
Laxton-1701-16-verso,Calenture,,1701,1700-1701-16,1700-1701,1700/1701,231
Laxton-1701-16-verso,Cancer,1,1701,1700-1701-16,1700-1701,1700/1701,232
Laxton-1701-16-verso,Canker,,1701,1700-1701-16,1700-1701,1700/1701,233
Laxton-1701-16-verso,Chicken Pox,,1701,1700-1701-16,1700-1701,1700/1701,234
Laxton-1701-16-verso,Child-Bed,4,1701,1700-1701-16,1700-1701,1700/1701,235
Laxton-1701-16-verso,Chrisoms,,1701,1700-1701-16,1700-1701,1700/1701,236
Laxton-1701-16-verso,Cold,,1701,1700-1701-16,1700-1701,1700/1701,237
Laxton-1701-16-verso,Colick,1,1701,1700-1701-16,1700-1701,1700/1701,238
Laxton-1701-16-verso,Consumption,48,1701,1700-1701-16,1700-1701,1700/1701,239
Laxton-1701-16-verso,Convulsion,91,1701,1700-1701-16,1700-1701,1700/1701,240
Laxton-1701-16-verso,Cough,,1701,1700-1701-16,1700-1701,1700/1701,241
Laxton-1701-16-verso,Cramp,,1701,1700-1701-16,1700-1701,1700/1701,242
Laxton-1701-16-verso,Diabetes,,1701,1700-1701-16,1700-1701,1700/1701,243
Laxton-1701-16-verso,Dropsie,17,1701,1700-1701-16,1700-1701,1700/1701,244
Laxton-1701-16-verso,Falling-sickness,,1701,1700-1701-16,1700-1701,1700/1701,245
Laxton-1701-16-verso,Fever,63,1701,1700-1701-16,1700-1701,1700/1701,246
Laxton-1701-16-verso,Fistula,,1701,1700-1701-16,1700-1701,1700/1701,247
Laxton-1701-16-verso,Flox and Small-Pox,20,1701,1700-1701-16,1700-1701,1700/1701,248
Laxton-1701-16-verso,Flux,1,1701,1700-1701-16,1700-1701,1700/1701,249
Laxton-1701-16-verso,French-Pox,1,1701,1700-1701-16,1700-1701,1700/1701,250
Laxton-1701-16-verso,Frets,,1701,1700-1701-16,1700-1701,1700/1701,251
Laxton-1701-16-verso,Gangreen,,1701,1700-1701-16,1700-1701,1700/1701,252
Laxton-1701-16-verso,Gout,,1701,1700-1701-16,1700-1701,1700/1701,253
Laxton-1701-16-verso,Gravel,,1701,1700-1701-16,1700-1701,1700/1701,254
Laxton-1701-16-verso,Grief,,1701,1700-1701-16,1700-1701,1700/1701,255
Laxton-1701-16-verso,Griping in the Guts,25,1701,1700-1701-16,1700-1701,1700/1701,256
Laxton-1701-16-verso,Headache,,1701,1700-1701-16,1700-1701,1700/1701,257
Laxton-1701-16-verso,Headmouldshot,,1701,1700-1701-16,1700-1701,1700/1701,258
Laxton-1701-16-verso,Hooping Cough,,1701,1700-1701-16,1700-1701,1700/1701,259
Laxton-1701-16-verso,Hiccough,,1701,1700-1701-16,1700-1701,1700/1701,260
Laxton-1701-16-verso,Horshoehead,,1701,1700-1701-16,1700-1701,1700/1701,261
Laxton-1701-16-verso,Impostume,1,1701,1700-1701-16,1700-1701,1700/1701,262
Laxton-1701-16-verso,Infants,,1701,1700-1701-16,1700-1701,1700/1701,263
Laxton-1701-16-verso,Inflammation,,1701,1700-1701-16,1700-1701,1700/1701,264
Laxton-1701-16-verso,Itch,,1701,1700-1701-16,1700-1701,1700/1701,265
Laxton-1701-16-verso,Jaundies,1,1701,1700-1701-16,1700-1701,1700/1701,266
Laxton-1701-16-verso,Jaw-fallen,,1701,1700-1701-16,1700-1701,1700/1701,267
Laxton-1701-16-verso,Kings Evil,3,1701,1700-1701-16,1700-1701,1700/1701,268
Laxton-1701-16-verso,Leprosie,,1701,1700-1701-16,1700-1701,1700/1701,269
Laxton-1701-16-verso,Lethargy,,1701,1700-1701-16,1700-1701,1700/1701,270
Laxton-1701-16-verso,Liver-grown,1,1701,1700-1701-16,1700-1701,1700/1701,271
Laxton-1701-16-verso,Looseness,,1701,1700-1701-16,1700-1701,1700/1701,272
Laxton-1701-16-verso,Lunatick and Frenzy,,1701,1700-1701-16,1700-1701,1700/1701,273
Laxton-1701-16-verso,Malignant Fever,,1701,1700-1701-16,1700-1701,1700/1701,274
Laxton-1701-16-verso,Meagrim,,1701,1700-1701-16,1700-1701,1700/1701,275
Laxton-1701-16-verso,Measles,,1701,1700-1701-16,1700-1701,1700/1701,276
Laxton-1701-16-verso,Miscarriage,,1701,1700-1701-16,1700-1701,1700/1701,277
Laxton-1701-16-verso,Mortification,,1701,1700-1701-16,1700-1701,1700/1701,278
Laxton-1701-16-verso,Mother,,1701,1700-1701-16,1700-1701,1700/1701,279
Laxton-1701-16-verso,Noli me tangere,,1701,1700-1701-16,1700-1701,1700/1701,280
Laxton-1701-16-verso,Palsie,,1701,1700-1701-16,1700-1701,1700/1701,281
Laxton-1701-16-verso,Plague,,1701,1700-1701-16,1700-1701,1700/1701,282
Laxton-1701-16-verso,Planet,,1701,1700-1701-16,1700-1701,1700/1701,283
Laxton-1701-16-verso,Plurisie,,1701,1700-1701-16,1700-1701,1700/1701,284
Laxton-1701-16-verso,Purples,1,1701,1700-1701-16,1700-1701,1700/1701,285
Laxton-1701-16-verso,Quinsie,,1701,1700-1701-16,1700-1701,1700/1701,286
Laxton-1701-16-verso,Rash,,1701,1700-1701-16,1700-1701,1700/1701,287
Laxton-1701-16-verso,Rheumatism,,1701,1700-1701-16,1700-1701,1700/1701,288
Laxton-1701-16-verso,Rickets,13,1701,1700-1701-16,1700-1701,1700/1701,289
Laxton-1701-16-verso,Rising of the Lights,3,1701,1700-1701-16,1700-1701,1700/1701,290
Laxton-1701-16-verso,Running of the Reins,,1701,1700-1701-16,1700-1701,1700/1701,291
Laxton-1701-16-verso,Rupture,,1701,1700-1701-16,1700-1701,1700/1701,292
Laxton-1701-16-verso,Scald Head,,1701,1700-1701-16,1700-1701,1700/1701,293
Laxton-1701-16-verso,Scarlet Fever,,1701,1700-1701-16,1700-1701,1700/1701,294
Laxton-1701-16-verso,Sciatica,1,1701,1700-1701-16,1700-1701,1700/1701,295
Laxton-1701-16-verso,Scowring,,1701,1700-1701-16,1700-1701,1700/1701,296
Laxton-1701-16-verso,Scurvy,,1701,1700-1701-16,1700-1701,1700/1701,297
Laxton-1701-16-verso,Sores,,1701,1700-1701-16,1700-1701,1700/1701,298
Laxton-1701-16-verso,Shingles,,1701,1700-1701-16,1700-1701,1700/1701,299
Laxton-1701-16-verso,Spleen,,1701,1700-1701-16,1700-1701,1700/1701,300
Laxton-1701-16-verso,Spotted-Fever,,1701,1700-1701-16,1700-1701,1700/1701,301
Laxton-1701-16-verso,St. Anthony's Fire,,1701,1700-1701-16,1700-1701,1700/1701,302
Laxton-1701-16-verso,Starved,,1701,1700-1701-16,1700-1701,1700/1701,303
Laxton-1701-16-verso,Stone,1,1701,1700-1701-16,1700-1701,1700/1701,304
Laxton-1701-16-verso,Stopping of the Stomach,17,1701,1700-1701-16,1700-1701,1700/1701,305
Laxton-1701-16-verso,Strangury,,1701,1700-1701-16,1700-1701,1700/1701,306
Laxton-1701-16-verso,Strongullion,,1701,1700-1701-16,1700-1701,1700/1701,307
Laxton-1701-16-verso,Suddenly,,1701,1700-1701-16,1700-1701,1700/1701,308
Laxton-1701-16-verso,Surfeit,1,1701,1700-1701-16,1700-1701,1700/1701,309
Laxton-1701-16-verso,Swelling in the Throat,,1701,1700-1701-16,1700-1701,1700/1701,310
Laxton-1701-16-verso,Swine-Pox,,1701,1700-1701-16,1700-1701,1700/1701,311
Laxton-1701-16-verso,Teeth,28,1701,1700-1701-16,1700-1701,1700/1701,312
Laxton-1701-16-verso,Thrush,,1701,1700-1701-16,1700-1701,1700/1701,313
Laxton-1701-16-verso,Tissick,12,1701,1700-1701-16,1700-1701,1700/1701,314
Laxton-1701-16-verso,Tympany,,1701,1700-1701-16,1700-1701,1700/1701,315
Laxton-1701-16-verso,Twisting of the Guts,,1701,1700-1701-16,1700-1701,1700/1701,316
Laxton-1701-16-verso,Ulcer,,1701,1700-1701-16,1700-1701,1700/1701,317
Laxton-1701-16-verso,Vapours,,1701,1700-1701-16,1700-1701,1700/1701,318
Laxton-1701-16-verso,Vomiting,,1701,1700-1701-16,1700-1701,1700/1701,319
Laxton-1701-16-verso,Water in the Head,,1701,1700-1701-16,1700-1701,1700/1701,320
Laxton-1701-16-verso,Wen,,1701,1700-1701-16,1700-1701,1700/1701,321
Laxton-1701-16-verso,Wind,,1701,1700-1701-16,1700-1701,1700/1701,322
Laxton-1701-16-verso,Wolf,,1701,1700-1701-16,1700-1701,1700/1701,323
