"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position","Image FileName(s)",Year,"Week Number","Unique Identifier","Start Day","Start Month","End Day","End Month",Abortive,Aged,Ague,Apoplexy,Bed-ridden,Blasted,Bleeding,Bloody-flux,Calenture,Cancer,Canker,Child-Bed,Chrisoms,Cold,Colick,Consumption,Convulsion,Cough,Cramp,Diabetes,Dropsie,Drowned,"Drowned (Descriptive Text)",Falling-sickness,Fever,Fistula,"Flox and Small-Pox",Flux,French-Pox,Frets,Gangreen,Gout,Grief,"Griping in the Guts",Headache,Headmouldshot,Hiccough,Jaundies,Jaw-fallen,Impostume,Infants,Itch,"Kings Evil",Leprosie,Lethargy,Liver-grown,Lunatick,Meagrim,Measles,Mother,"Noli me tangere",Overlaid,Palsie,Plague,Plurisie,Purples,Quinsie,Rheumatism,Rickets,"Rising of the Lights","Running of the Reins",Rupture,"St. Anthony's Fire","Scald Head",Sciatica,Scowring,Scurvy,Shingles,Spleen,Spotted-Fever,Still-born,Stone,"Stopping of the Stomach",Strangury,Suddenly,Surfeit,Swine-Pox,Teeth,Thrush,Tissick,Tympany,Ulcer,Vomiting,Wen,Wind,Wolf,Worms,Killed,"Killed (Descriptive Text)",Suicide,"Suicide (Descriptive Text)","Other Casualties","Other Casualties (Descriptive Text)","Christened (Male)","Christened (Female)","Christened (In All)","Buried (Male)","Buried (Female)","Buried (All)","Plague Deaths","Increase/Decrease in Burials","Increase/Decrease in Plague Deaths","Parishes Clear of the Plague","Parishes Infected (with Plague)","Ounces in Penny Wheaten Loaf","Ounces in Three Half-Penny White Loaf"
41,13,13,1,"JMO_2016_15102.JPG, JMO_2016_15103.JPG, JMO_2016_15104.JPG",1668,12,1668-12-verso,9,March,16,March,1,24,1,1,,,,,,,,2,6,,,61,38,1,,,20,,,,30,1,17,,2,,,,1,31,,,,3,,1,5,,,,,,,,1,,,2,,,1,,,,7,3,,1,,,,,,,,3,6,4,10,,,4,,37,,8,,3,,,1,,1,,,1,"Cut her own Throat at St. Giles Cripplegate",,,125,141,266,194,147,341,0,18,0,130,0,9,9
45,14,14,1,"JMO_2016_15105.JPG, JMO_2016_15106.JPG",1668,13,1668-13-verso,16,March,23,March,2,15,1,,,,,,,,,3,8,,,64,37,1,,,18,,,,19,,7,3,,,,,,32,,,,1,,,6,,2,,,,1,,1,,,,,,,,,,9,8,,1,,,,,,,1,1,9,1,7,,,10,,18,2,2,,,,,,,5,,,,,1,"Found dead in an House of Office at S. Olave Southwark",133,109,242,168,138,306,0,-35,0,130,0,9,9
48,15,15,1,"JMO_2016_15107.JPG, JMO_2016_15108.JPG,  JMO_2016_15109.JPG",1669,14,1669-14-verso,23,March,30,March,,13,,2,1,,,,,,,4,11,,,63,27,2,,,21,1,"Drown'd at St. Saviours Southwark",,18,,9,,2,,,,,33,,,,1,,,6,,1,,,,,,,,,,1,,,1,,,13,5,,,,,,1,4,,1,1,8,,5,,2,2,,18,,2,,1,1,,,,3,,,,,1,Bruised,125,126,251,153,136,289,0,-17,0,130,0,10,10
52,16,16,1,"JMO_2016_15110.JPG, JMO_2016_15111.JPG,  JMO_2016_15112.JPGO",1669,15,1669-15-verso,30,March,6,April,3,23,,,,,,,,,,4,11,,,63,41,,,,20,1,"Drowned at Hackney",,20,,7,,1,,1,1,,42,,,,2,,4,4,,3,,,,,,,,,4,,,1,,1,,11,7,,,,,,,1,,,3,6,1,2,1,2,10,,23,2,4,,3,,,,,4,2,"Killed two. One at St. Margaret Westminster. And one with a Cart at St. Swithins",,,1,Bruised,146,98,244,177,163,340,0,51,0,130,0,10,10
56,17,17,1,"JMO_2016_15113.JPG, JMO_2016_15114.JPG,  JMO_2016_15115.JPGO",1669,16,1669-16-verso,6,April,13,April,1,22,1,1,,,,,,1,,7,5,,,52,32,,,,20,,,,28,,8,1,1,,,,,42,,,,3,,2,5,,9,,,,,,1,,,,,,1,,1,,9,1,,,,,,,1,,,1,11,,4,1,,6,,23,1,3,,2,,,2,,3,2,"Killed two, One by a fall from a House at Alhallowes the great, and one by a Horse at Stepney",,,,,110,102,212,153,166,319,0,-21,0,130,0,10,10
60,18,18,1,"JMO_2016_15116.JPG, JMO_2016_15117.JPG,  JMO_2016_15118.JPG",1669,17,17-1669-verso,13,April,20,April,2,33,1,1,,,,,,3,,2,8,1,,63,34,1,,,15,3,"Drowned three, Two at St. Katharine Tower, and one at Stepney",,13,,,,,,,,,19,,,,2,,4,2,,,,,,,,1,,,1,1,,,,,,9,4,,,,,,1,1,,,4,6,1,2,,2,12,,20,3,4,,3,,,2,,6,2,"Killed two, One at St. Mary Whitechappel, and one with a Cart at St. Saviours Southwark",,,1,"Found dead in the Street (an Infant) at S. Kathar. Tower",130,120,250,163,141,304,0,-15,0,130,0,9.5,9.5
61,19,19,1,"JMO_2016_15119.JPG, JMO_2016_15120.JPG, JMO_2016_15121.JPG",1669,18,1669-18-verso,20,April,27,April,1,18,,,,,,,,1,,4,3,,,52,44,,,,18,1,"Drowned at St. Mary Whitechappel",,26,,8,1,3,,,,1,30,,,,2,,,8,,2,,,2,,,,,,,1,,,,1,,4,7,,1,,,,1,1,,,1,9,1,7,2,1,14,,12,1,1,,2,1,,1,,5,1,"Murthered (an Infant) at St. Clement Danes",2,"Poysoned her self at St. Leonard Shoreditch",,,114,112,226,168,134,302,0,-2,0,130,0,9.5,9.5
62,20,20,1,"JMO_2016_15123.JPG, JMO_2016_15124.JPG, JMO_2016_15125.JPG",1669,19,1669-19-verso,27,April,4,May,1,28,,,,,,,,,,4,10,,,55,35,,,,16,1,"Drowned 2. One at Stepney, and one in a Tub of water at St. Leonard Shoreditch",,19,,12,,1,,,,,20,,,,,,,8,,,,,,,,,,,2,,,,,1,,10,4,,,,,1,,,,,,6,,3,,1,13,,18,,1,1,,,,1,,3,5,"Executed; Kild 4. One at St. Clement Danes, one by a fall from a horse at S. Andrew Holborn, one by the fall of a Vault at St. Fosters, and one by a blow on the head with the hilt of a Sword at St. Lawrence Jewry",,,2,"Found dead at St. Sepulchers; Sore leg",114,107,221,146,138,284,0,-18,0,130,0,9,9
144,21,21,1,"JMO_2016_15126.JPG, JMO_2016_15127.JPG, JMO_2016_15128.JPG",1669,20,1669-20-verso,4,May,11,May,1,12,,,,,,,,2,1,3,5,,,41,33,,,,25,1,"Drowned at St. Kathar. Tower",,27,,9,2,1,,,,,35,,,,3,,1,4,,1,,,,,,,,,1,1,,,,,,13,4,,,,,,,,,,4,10,,2,,,7,,16,,2,,1,,,2,,6,3,"Kild 3. One at Hackney, one by a fall at St. Sepu'chers, and one by a fall from a house at St. Giles Cripplegate",1,"Hanged himself at St. James Clerkenwel",,,113,109,222,135,145,280,0,-4,,130,0,9,9
145,22,22,1,"JMO_2016_15129.JPG, JMO_2016_15130.JPG, JMO_2016_15131.JPG",1669,21,1669-21-verso,11,May,18,May,,14,1,1,,,,,,,,3,6,,,57,33,,,,11,1,"Drowned at St. Kathar. Tower",,22,,7,,,,,,,27,,,,1,,2,6,,,,,,,,1,,,,,,,,2,,9,4,,1,,,,,1,,,2,6,,5,1,1,6,,17,1,2,,,,,4,,4,1,Head-mould-shot,1,"Hanged himself at St. Giles in the fields",,,125,90,215,158,103,261,0,-19,,130,0,9,9
147,23,23,1,"JMO_2016_15132.JPG, JMO_2016_15133.JPG, JMO_2016_15134.JPG",1669,22,1669-22-verso,18,May,25,May,1,19,,,,,1,,,1,,4,5,,,43,24,1,,,12,2,"Drowned at St. Kathar. Tower",,30,,16,2,1,,,,,36,,,,,,,7,,1,,,,,,,,,1,1,,1,,,,2,6,,1,,,,,,,,2,10,,1,1,1,6,,12,2,2,,3,1,,1,,4,3,"Kild two, One at St Clement Danes, and one by a blow at St. Saviours Southwark; Murthered at St. Leonard Shoreditch",1,"Hanged himself at St. Kathar. Tower",1,Bruised,116,121,237,143,126,269,0,8,,130,0,9,9
148,24,24,1,"JMO_2016_15135.JPG, JMO_2016_15136.JPG, JMO_2016_15137.JPG",1669,23,1669-23-London,25,May,1,June,1,10,,,,,,,,1,,6,13,,,56,28,,,,7,1,"Drowned at St. Kathar. Tower",,22,,12,1,3,,,,,31,,,,1,,2,4,,,,,,,,,,,1,,,,,,,3,2,,,,,,,,,,,5,2,2,1,3,7,,13,2,1,,1,,,1,,2,2,"Kild two, One at St. Margaret Westminster, and one by the fall of a Wall at Alhallows Barking",1,"Hanged himself at St. Magdalen Bermondsey",,"Found dead in the Street at St. Mary Newington",97,105,202,151,98,249,,-20,,130,0,9,9
149,25,25,1,"JMO_2016_15138.JPG, JMO_2016_15139.JPG,  JMO_2016_15140.JPG",1669,24,1669-24-verso,1,June,8,June,2,18,,,,,,,,,,4,6,,,49,31,,,,6,1,"Drowned at St. Kathar. Tower",,20,,13,1,2,,,,,30,,,,,,,3,,1,,,,,,,,,,,,1,,,,7,3,,,,,,1,,,,2,9,1,3,,1,7,,14,,,,2,1,,,,1,,,,,,,116,102,218,130,110,240,0,-9,,130,0,9,9
150,26,26,1,"JMO_2016_15141.JPG, JMO_2016_15142.JPG, JMO_2016_15143.JPG",1669,25,1669-25-verso,8,June,15,June,,11,,,1,,,,,1,,5,8,,,28,21,,,,9,,,,17,2,17,1,1,,,,,28,,,,,,,5,,,,,,,,,,,3,1,,,,1,,5,3,,,,,,,,,,1,8,1,2,,,4,,15,1,3,,,1,,,,4,,,2,"Murthered himself with a Pistol at St. Dunstan West; Threw her self into a house of Office at St. Mildred Poultrey",,,140,111,251,124,86,210,0,-30,,130,0,9,9
151,27,27,1,"JMO_2016_15144.JPG, JMO_2016_15145.JPG, JMO_2016_15146.JPG",1669,26,1669-26-verso,15,June,22,June,,15,,,,,,,,,,3,8,,,52,41,,,,10,1,"Drown'd at S. Michael Crooked-Lane",,30,,10,,1,,,,1,31,,,,5,,5,7,,,,,,,,,,,,,,,,,,12,5,,1,,,,1,,,,1,12,,5,,1,9,1,16,,,,1,1,,2,,2,2,"Kild with a Cart at St. Leonard Shoreditch; Smothered at St. Botolph Bishopsgate",,,,,116,105,221,148,146,294,0,84,,130,0,9,9
152,28,28,1,"JMO_2016_15147.JPG, JMO_2016_15148.JPG, JMO_2016_15149.JPG",1669,27,1669-27-verso,22,June,29,June,2,12,,,,,,,,,,10,6,,,46,30,1,,,11,7,"Drowned 7, One at St. Andrew Wardrobe, one at St. Olave Southwark, one at St. Saviours Southwark, one at St. Katharine Tower, one at Lambeth, one at Margaret Westminster, and one in a tub of water at St. Andrew Holborn",,20,,13,3,1,,,,,42,,,,1,,1,5,,2,,,,,,1,,,2,,,,,,,7,5,,1,,,,,1,,,4,9,,2,,2,6,,22,4,1,1,,,,,,1,1,"Killed by a Cart at Stepney",,,1,Sore-Mouth,117,97,214,142,141,283,0,-11,,130,0,9,9
153,29,29,1,"JMO_2016_15150.JPG, JMO_2016_15151.JPG, JMO_2016_15152.JPG",1669,28,1669-28-verso,29,June,6,July,,13,,1,,,,,,,,3,7,,,51,49,,,,9,3,"Drowned 3, one at St. Katharine Tower,  and two at St. Margaret Westminster",,30,,19,2,1,,,,,74,,,,1,,2,1,,,,,,,,,,,,1,,,,1,,11,1,,,,,,1,,,,2,6,1,6,1,1,7,,26,6,,,3,4,,3,,4,2,"Kild at St. Margaret Westminster 2, one by a fall from a Horse, and one by a fall from a House",1,"Hang'd himself at St. Stephen Colemanstreet",,,108,114,222,175,190,365,0,82,,130,0,9,9
154,30,30,1,"JMO_2016_15153.JPG, JMO_2016_15154.JPG, JMO_2016_15155.JPG",1669,29,1669-29-verso,6,July,13,July,1,13,1,,,,,,,,,1,12,,,45,48,,,,7,5,"Drowned 5, one at St. Andrew Holborn, one at St. Olaves Southwark, one at Lambeth, one at St. Mary Whitechappel, and one at St. Martins in the fields",,28,,12,5,,,,,,10,,,,1,,1,6,,,,,,,1,,,,1,,,,,,,7,4,,2,,,,11,,,,5,8,1,3,,1,10,,39,1,1,,1,1,,1,,,1,"Kild by a fall into a Cellar at St. Saviours Southwark",1,"Hang'd himself at Stepney",,,122,97,219,209,182,391,0,26,,130,0,9,9
155,31,31,1,"JMO_2016_15156.JPG, JMO_2016_15157.JPG, JMO_2016_15158.JPG",1669,30,1669-30-verso,13,July,20,July,3,13,,,,,,,,4,,4,8,,,35,53,,,,10,4,"Drowned 4, three at St. Katharine Tower, and one in a Tub of Water at St. Paul Covent Garden",,17,,12,2,,,,,,16,,,,1,,1,5,,1,,,,,,,,,2,,,,,,,10,10,,4,,,,1,1,,,1,5,,,1,1,6,,34,2,1,,1,6,,2,,4,4,Executed,,,1,"Bruised by a fall at Stepney",119,96,215,203,186,389,0,-2,,130,0,9,9
156,32,32,1,"JMO_2016_15159.JPG, JMO_2016_15160.JPG, JMO_2016_15161.JPG",1669,31,1669-31-verso,20,July,27,July,3,6,1,,,,,,,2,,6,6,,,50,36,,,,13,2,"Drowned at Stepney",,27,,20,1,1,,,,,122,,,,3,,3,6,,,,,1,,,,1,,,,,,,1,,4,5,,,,,,,,,,1,3,2,,,1,7,,20,3,,,1,5,,,,2,1,"Murthered at St. Leonard Shoreditch",,,2,"Bruised; Scalded in a Copper at St. Giles Cripplegate",128,96,224,191,177,368,0,-21,,130,0,9,9
157,33,33,1,"JMO_2016_15162.JPG, JMO_2016_15163.JPG, JMO_2016_15164.JPG",1669,32,1669-32-verso,27,July,3,August,4,15,,,,,,,,1,,7,13,,,42,28,,,,8,2,"Drowned 2, one at St. Saviours Southwark, and one at Stepney",,24,,23,7,1,,,,,9,,,,,,2,5,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,6,7,,3,,,9,,19,1,,,1,1,,1,,5,3,"Kild 3 one with a Cart at St. Botolph Aldgate, one by a blow of a Horse at St. Saviours Southwark, and one by a fall from a Building at St. Mary Newington",,,,,127,106,233,176,164,340,,-28,,130,0,9,9
158,34,34,1,"JMO_2016_15165.JPG, JMO_2016_15166.JPG, JMO_2016_15167.JPG",1669,33,1669-33-verso,3,August,10,August,,13,,1,,,,,,,1,9,12,,,48,22,1,,,13,1,"Drowned at St. Kathar. Tower",,36,1,38,7,1,,1,,,12,,,,,,3,6,,,,,,,,,,,3,,,1,,,,6,3,,,,,,1,,,,2,10,,2,,,11,,36,4,,,,11,,,,3,1,"Kild by a Cart at St. Giles Cripplegate",,,,,121,117,238,218,219,437,0,97,,130,0,9,9
159,35,35,1,"JMO_2016_15168.JPG, JMO_2016_15169.JPG, JMO_2016_15170.JPG",1669,34,1669-34-verso,10,August,17,August,,15,,1,1,,,1,,,,3,13,,,45,43,,,,8,2,"Drowned at St. Kathar. Tower",,37,,25,1,1,,1,,,173,,,,1,,2,7,,,,,,,,,,,,1,,1,,1,,6,3,,,,,,,,,,5,7,1,,,,10,,68,3,,1,1,13,,,,6,3,"Kild by a fall from a Wharf at St. Georges Southwark; Murthered (by the Mother) an Infant at Stepney; Smothered in an house of Office at St. Giles Cripplegate",,,,,127,110,237,262,248,510,0,74,,130,0,9,9
160,36,36,1,"JMO_2016_15171.JPG, JMO_2016_15172.JPG, JMO_2016_15173.JPG",1669,35,1669-35-verso,17,August,24,August,1,8,,1,,,,,,,,3,11,,,61,31,,,,7,1,"Drowned at Saviours Southwark",,30,,34,2,,,,,1,12,,2,,,,4,8,,1,,1,1,,,,,,,,,,,,,1,1,,,,,,1,,,,1,8,1,2,,2,12,,43,5,,,1,5,,3,,4,1,"Kild at St. Martin in the fields",,,2,"Found dead at St. Leonard Eastcheap; Plannet",133,112,245,259,223,486,0,-28,,130,0,9,9
161,37,37,1,"JMO_2016_15174.JPG, JMO_2016_15175.JPG, JMO_2016_15176.JPG",1669,36,1669-36-verso,24,August,31,August,,23,,1,,,,,,1,,9,13,,,66,42,,,,9,1,"Drowned at St. Kathar. Tower",,51,,23,1,,,,,,269,,,,,,7,14,,,,,,,,1,,,2,1,,,,1,,4,3,,1,,,,1,1,,1,2,10,4,2,,1,9,,65,6,,,1,11,1,3,,3,1,"Smothered at St. Mary Newington",,,,,132,138,270,359,306,665,0,183,,130,0,9,9
162,38,38,1,"JMO_2016_15177.JPG, JMO_2016_15178.JPG, JMO_2016_15179.JPG",1669,37,1669-37-verso-form-fill,31,August,7,September,1,29,,,,,,,,1,,4,13,,,54,45,,,,13,,,,55,,16,2,1,,,,,318,,,,1,,4,10,,1,,,,,,,,,,,,,,,,7,2,,,,,,3,,,,5,5,,5,1,,15,,64,7,3,1,1,12,,,,1,,,,,7,,124,105,229,358,349,707,0,42,,130,,,
163,39,39,1,"JMO_2016_15180.JPG, JMO_2016_15181.JPG, JMO_2016_15182.JPG",1669,38,1669-38-verso,7,September,14,September,,13,,1,,,,,,,,11,11,,,68,34,,,,11,1,"Drowned at St. Kathar. Tower",,47,1,11,3,,,1,1,,277,,,,,,5,8,,,,,,,,,,,,,,2,,,,3,1,,,,,,1,,,,4,10,1,2,,2,11,,5,3,2,,1,11,,3,,4,1,"Kild by a blow at St. Leonard Shoreditch",1,"Hang'd himself at St. Sepulchies",,,154,106,160,325,294,619,,-88,,130,0,9,9
164,40,40,1,"JMO_2016_15183.JPG, JMO_2016_15184.JPG, JMO_2016_15185.JPG",1669,39,1669-39-verso,14,September,21,September,,7,,2,,,,,,1,,4,11,,,66,33,2,,,7,1,"Drowned at St. Kathar. Tower",,34,2,14,1,3,,1,,,23,,1,,3,,2,10,,1,,,,,,,,,,1,,,,,,2,1,,,,,,,,,,2,2,,1,,,11,,45,10,2,,2,5,,,,2,1,"Kild by the fall of a Door at St. Bartholomew Exchange",,,,,121,127,148,259,265,524,0,-95,,130,0,11,11
165,41,41,1,"JMO_2016_15186.JPG, JMO_2016_15187.JPG, JMO_2016_15188.JPG",1669,40,1669-40-verso,21,September,28,September,4,26,,,,,,,,,1,10,11,,,64,19,1,,,14,1,"Drowned at Saviours Southwark",,58,,14,3,2,,1,,,2,,,,,,6,4,,,,,,,,,,,1,,,,,,,5,3,,1,,,,,,,,7,6,,1,,,15,,31,,2,1,4,3,,2,,3,2,"Kild 2, one by fall off a horse at Alhallows Stayning, and one with a Cart at St. Mary Islington",,,1,"Starved at Nurse",118,89,207,283,287,570,0,46,,130,0,11,11
166,42,42,1,"JMO_2016_15189.JPG, JMO_2016_15190.JPG, JMO_2016_15191.JPG",1669,41,1669-41-verso,28,September,5,October,4,20,,,,,,4,,1,1,9,10,,,73,38,,,,10,1,"Drown'd at Alhallows Barking",,60,,20,1,,,,,,185,,,,2,,3,8,,2,,,,,,1,,,1,1,1,,1,,,5,5,,1,,,,,,,,5,5,1,4,,1,15,,35,3,,1,,4,,1,,4,3,"Kild 3, One with a Cart at Christchurch, one by a fall from a horse at Hackney, and one by a Cart at St. Giles in the fields",3,"Hang'd themselves 3, One at St. Gregories, one at St. Georges Southwark, and one at St. Mary Islington",,,130,134,264,295,258,553,1,-17,,129,1,11,11
167,43,43,1,"JMO_2016_15192.JPG, JMO_2016_15193.JPG, JMO_2016_15194.JPG",1669,42,1669-42-verso,5,October,12,October,2,17,,,,,,,,,,2,7,,,65,30,,,,12,1,"Drown'd at St. Mary Islington",,60,1,37,12,2,,,,1,172,,,,2,,2,7,,2,,,,1,1,,,,,,,,1,,,6,1,,,,,,,,,,7,8,,7,1,,10,,25,2,3,,2,1,,1,,3,3,"Kild 3, One by a fall at St. Giles Cripplegate, one by a fall from a Horse at St. Botolph Aldersgate, and one by a Cart at Saviours Southwark",,,1,"Cut of the Stone",138,111,249,272,246,518,0,-35,,130,0,10.5,10.5
168,44,44,1,"JMO_2016_15195.JPG, JMO_2016_15196.JPG, JMO_2016_15197.JPG",1669,43,1669-43-verso,12,October,19,October,1,18,,1,,,,1,,,,9,6,,,71,25,,,,11,1,"Drown'd in a Tub of Water at Saviours Southwark ",,42,1,25,9,1,,,,,156,,,,1,,4,6,,,,,,,,,,,1,1,1,,,,,5,,,1,,,,,1,,,3,19,2,7,,1,8,,17,1,1,,2,9,,,,1,3,"Kild 3, One by a Coach at St. James Clerkenwel, one with a Chisel at St. Mary Whitechappel, and one by the fall of Earth at St. Martins in the fields",,,1,"Found Starved in the Street at Saviours Southwark",132,106,238,266,207,473,1,-45,,129,1,10.5,10.5
171,47,47,1,"JMO_2016_15204.JPG, JMO_2016_15205.JPG, JMO_2016_15206.JPG",1669,46,1669-46-verso,2,November,9,November,1,18,,,,,1,1,,,,3,11,,,52,20,,,,12,,,,30,,42,5,1,,,,1,82,,,,2,,4,4,,1,,,,,,,,,,,,,,,,2,3,,2,,,,1,1,,,1,3,1,3,,2,5,,13,1,1,,1,,,,,3,,,1,"Poysoned herself at St. Margaret Westminster",,,136,101,237,158,176,334,0,-38,,130,0,10.5,10.5
