Canonical DBN Name,Omeka Parish Name,Variant Names,Current WCPC Name,MoEML Name,1st Extant Bill,Post-Fire Parishes,Primary Bills Subunit,Foundation Year per Internet Searches?,Notes From Wikipedia and https://www.londonparishclerks.com/Parishes-Churches/Parish-List
St Clement Eastcheap,St Clement Eastcheap,St Clement Candlewick Street; St Clement Lombard Street,St Clement Eastcheap,St. Clement (Eastcheap),1535-08-14,,97 parishes within the walls,medieval,
St Dionis Backchurch,St Dionis Backchurch,St Dennis Backchurch,St Dionis Backchurch,St. Dionis Backchurch,1535-08-14,,97 parishes within the walls,medieval,
St Dunstan East,St Dunstan East,,St Dunstan in the East,St. Dunstan in the East,1535-08-14,,97 parishes within the walls,medieval,
St Edmund the King,St Edmund Lumbardstr.,St Edmund the King and Martyr,St Edmund the King & Martyr,"St. Edmund, King and Martyr",1535-08-14,,97 parishes within the walls,medieval,
St Ethelburga,St Ethelborough,Ethelborow in Bishops Gate Street,St Ethelburga Bishopsgate,St. Ethelburga,1537-08-12,x,97 parishes within the walls,medieval,
St Faith under St Paul's,St Faith,St Faith under St Paul's; St Faith in the Crypt of St Pauls,St Faith under St Paul's,St. Faith Under St. Paul’s,1532-11-23,,97 parishes within the walls,medieval,united with St Augustine Watling Street after the Great Fire of 1666
St Vedast alias Foster,St Foster,St Vedast in Foster Lane; St Vedast alias Foster; St Vedast and St Amand; St Amand,St Vedast alias Foster,St. Vedast Foster,1532-11-23,,97 parishes within the walls,medieval,
St Gabriel Fenchurch,St Gabriel Fenchurch,St Mary Fenchurch; St Gabriel in Fenchurch-street,St Gabriel Fenchurch,St. Gabriel Fenchurch,1535-08-14,,97 parishes within the walls,medieval,
St George Botolph Lane,St George Botolphlane,George by Pudding Lane; St George Eastcheap,St George Botolph Lane,St. George Botolph Lane,1535-08-14,,97 parishes within the walls,medieval,
St Gregory by St Paul's,St Gregory by St Pauls,,St Gregory by St Paul's,St. Gregory by St. Paul’s,1535-08-14,,97 parishes within the walls,medieval,
St Helen,St Hellen,St Ellen; St Helen near Bishopsgate,St Helen Bishopsgate,St. Helen,1535-08-14,x,97 parishes within the walls,medieval,
St James Duke's Place,St James Dukes place,,St James Duke's Place,St. James Duke’s Place,1625,x,97 parishes within the walls,1622,"probably was in 1622, 1623 or 1624 bills bills but do not currently have any to check"
St James Garlickhithe,St James Garlickhithe,St James in the Vintry; St James by the Thames,St James Garlickhythe,St. James Garlick,1535-08-14,,97 parishes within the walls,medieval,
St John Baptist,St John Baptist,St John Baptist by Dowgate; St John the Baptist upon Walbrook,St John Baptist upon Walbrook,St. John the Baptist,1535-08-14,,97 parishes within the walls,medieval,"destroyed 1666, not rebuilt, parish united with St Antholin Budget Row, but still in bills"
St John Evangelist,St John Evangelist,St Werburga; St John Fridaystreet,St John the Evangelist,St. John the Evangelist,1535-08-14,,97 parishes within the walls,medieval,
St John Zachary,St John Zachary,St John towards Aldersgate,St John Zachary,St. John Zachary,1535-08-14,,97 parishes within the walls,medieval,
St Katherine Coleman,St Katharine Coleman,St Katherine Cooleman; All Hallows Colemanchurch,St Catherine Coleman,St. Katherine Coleman Street,1532-11-23,x,97 parishes within the walls,medieval,
St Katherine Creechurch,St Katharine Creechurch,St Katherine Cry Church; St Katherine Christ Church; St Katherine near Aldgate; St Katherine  Trinity,St Katharine Cree,St. Katherine Cree,1532-11-23,x,97 parishes within the walls,medieval,
St Lawrence Jewry,St Lawrence Jewry,St Lawrence Old Jewry,St Lawrence Jewry,St. Laurence (Jewry),1535-08-14,,97 parishes within the walls,medieval,
St Lawrence Pountney,St Lawrence Pountney,St Lawrence by the Thames; St Lawrence in Candlewick Street; St Lawrence London Stone; St Lawrence with the Cemetery,St Laurence Pountney,St. Laurence (Pountney),1535-08-14,,97 parishes within the walls,medieval,
St Leonard Eastcheap,St Leonard Eastcheap,St Leonard Milkchurch,St Leonard Eastcheap,St. Leonard (Eastcheap),1535-08-14,,97 parishes within the walls,medieval,
St Leonard Foster Lane,St Leonard Fosterlane,St Leonard Vedast's Lane; St Leonard in St. Martins,St Leonard Foster Lane,St. Leonard (Foster Lane),1532-11-23,,97 parishes within the walls,medieval,
St Magnus,St Magnus Parish,St Magnus by London Bridge,St Magnus the Martyr,St. Magnus,1535-08-14,x,97 parishes within the walls,medieval,
St Margaret Lothbury,St Margaret Lothbury,,St Margaret Lothbury,St. Margaret (Lothbury),1535-08-14,,97 parishes within the walls,medieval,
St Margaret Moses,St Margaret Moses,St Margaret Moses in Friday Street,St Margaret Moyses,St. Margaret Moses,1532-11-23,,97 parishes within the walls,medieval,
St Margaret New Fish Street,St Margaret Newfishstreet,St Margaret Fish Street Hill; St Margaret Bridge Street; St Margaret near Rederesgate; St Margaret towards the Bridge,St Margaret New Fish Street,St. Margaret (New Fish Street),1532-11-23,,97 parishes within the walls,medieval,
St Margaret Pattens,St Margaret Pattons,St Margaret towards the Tower,St Margaret Pattens,St. Margaret Pattens,1532-11-23,,97 parishes within the walls,medieval,
St Mary Abchurch,St Mary Abchurch,St Mary Apechurch,St Mary Abchurch,St. Mary (Abchurch),1532-11-23,,97 parishes within the walls,medieval,
St Mary Aldermanbury,St Mary Aldermanbury,,St Mary Aldermanbury,St. Mary (Aldermanbury),1532-11-23,,97 parishes within the walls,medieval,
St Mary Aldermary,St Mary Aldermary,Aldermary,St Mary Aldermary,St. Mary (Aldermary),1532-11-23,,97 parishes within the walls,medieval,
St Mary le Bow,St Mary le Bow,St Mary de Arch'; St Mary de Arcubus; St Mary Le Bow in Cheapside,St Mary le Bow,St. Mary le Bow,1537-08-12,,97 parishes within the walls,medieval,
St Mary Bothaw,St Mary Bothaw,St Mary Bothaw at Dowgate; St Mary Buttolphe; St Mary Bothaw at London Stone,St Mary Bothaw,St. Mary (Bothaw),1532-11-23,,97 parishes within the walls,medieval,merged with St Swithin London Stone after the Great fire
St Mary Colechurch,St Mary Colechurch,,St Mary Colechurch,St. Mary (Colechurch),1532-11-23,,97 parishes within the walls,medieval,
St Mary Hill,St Mary Hill,St Mary Hill by Billingsgate; St Mary at the Hill,St Mary at Hill,St. Mary Woolnoth,1532-11-23,,97 parishes within the walls,medieval,
St Mary Mounthaw,St Mary Mounthaw,,St Mary Mounthaw,St. Mary Mounthaw,1532-11-23,,97 parishes within the walls,medieval,
St Mary Somerset,St Mary Sommerset,,St Mary Somerset,St. Mary Somerset,1532-11-23,,97 parishes within the walls,medieval,
St Mary Staining,St Mary Stayning,Our Lady Staining,St Mary Staining,St. Mary Staining,1532-11-23,,97 parishes within the walls,medieval,
St Mary Woolchurch,St Mary Woolchurch,St Mary Wool Parish at Stocks,St Mary Woolchurch,St. Mary Woolchurch,1532-11-23,,97 parishes within the walls,medieval,
St Mary Woolnoth,St Mary Woolnoth,,St Mary Woolnoth,St. Mary Woolnoth,1532-11-23,,97 parishes within the walls,medieval,
St Martin Ironmonger Lane,St Martin Iremongerlane,St Martin Pomary; St Martin Jewry,St Martin Pomeroy,St. Martin Pomary,1532-11-23,,97 parishes within the walls,medieval,
St Martin Ludgate,St Martin Ludgate,St Martin the Little; St Martin the Less,St Martin within Ludgate,St. Martin (Ludgate),1532-11-23,,97 parishes within the walls,medieval,
St Martin Orgar,St Martin Orgars,St Martine Organe; St Martin Candlewick Street; St Morgan,St Martin Orgar,St. Martin Orgar,1532-11-23,,97 parishes within the walls,medieval,
St Martin Outwich,St Martin Outwich,,St Martin Outwich,St. Martin Outwich,1532-11-23,x,97 parishes within the walls,medieval,
St Martin Vintry,St Martin Vintrey,St Martin on Thames; St Martin Beremanchurch,St Martin Vintry,St. Martin Vintry,1532-11-23,,97 parishes within the walls,medieval,
St Matthew Friday Street,St Matthew Fridaystreet,St Mathie in Friday Street; St Matthew in the Cheap,St Matthew Friday Street,St. Matthew (Friday Street),1532-11-23,,97 parishes within the walls,medieval,
St Mary Magdalen Milk Street,St Maudlin Milkstreet,St Mary Magdalen in Milkstreet,St Mary Magdalene Milk Street,St. Mary Magdalen (Milk Street),1532-11-23,,97 parishes within the walls,medieval,
St Mary Magdalen Old Fish Street,St Maudlin Oldfishstreet,St Mary Magdalen in Oldfishsreet; St Maudlin New Fishmarket; St Maudlin West Fishmarket,St Mary Magdalene Old Fish Street,St. Mary Magdalen Old Fish Street,1532-11-23,,97 parishes within the walls,medieval,
St Michael Bassishaw,St Michael Bassishaw,St Mighels Bassie-shaw; St Michael in Bassings Hall,St Michael Bassishaw,St. Michael Bassishaw,1532-11-23,,97 parishes within the walls,medieval,
St Michael Cornhill,St Michael Cornhil,St Mighels in Corne-hill,St Michael Cornhill,"St. Michael, Cornhill",1532-11-23,,97 parishes within the walls,medieval,
St Michael Crooked Lane,St Michael Crookedlane,St Mighels in Crooked Lane; St Michael towards the Bridge; St Michael Candlewick Street,St Michael Crooked Lane,"St. Michael, Crooked Lane",1532-11-23,,97 parishes within the walls,medieval,
St Michael Queenhithe,St Michael Queenhithe,St Mighels Queen-hith; St Michael Queene Hiue; St Michael upon Thames,St Michael Queenhithe,St. Michael (Queenhithe),1532-11-23,,97 parishes within the walls,medieval,
St Michael Quern,St Michael Quern,St Mighels in the Querne,St Michael le Querne,St. Michael Le Querne,1532-11-23,,97 parishes within the walls,medieval,
St Michael Royal,St Michael Royal,St Mighels in the Riall; St Michael Paternoster Royal,St Michael Paternoster Royal,St. Michael Paternoster Royal,1532-11-23,,97 parishes within the walls,medieval,
St Michael Wood Street,St Michael Woodstreet,St Mighels in Woodstreet; St Michael Huggins Lane,St Michael Wood Street,St. Michael (Wood Street),1532-11-23,,97 parishes within the walls,medieval,
St Mildred Bread Street,St Mildred Breadstreet,St Mildred Fish Street,St Mildred Bread Street,St. Mildred (Bread Street),1532-11-23,,97 parishes within the walls,medieval,
St Mildred Poultrey,St Mildred Poultrey,St Mildred Walbrook; St Mildred near Cornhop,St Mildred Poultry,St. Mildred (Poultry),1532-11-23,,97 parishes within the walls,medieval,
St Nicholas Acons,St Nicholas Acons,St Nicholas Candlewick Street; St Nicholas near Lombard Street,St Nicholas Acons,St. Nicholas Acon,1532-11-23,,97 parishes within the walls,medieval,
St Nicholas Cole Abbey,St Nicholas Coleabby,St Nicholas Golden Abbey; St Nicholas Distaff Lane; St Nicholas Fish Street; St Nicholas West/New Fishmarket,St Nicholas Cole Abbey,St. Nicholas Cole Abbey,1537-08-12,,97 parishes within the walls,medieval,
St Nicholas Olave,St Nicholas Olaves,St Nicholas Bernard; St Olave Bread Street(?); St Nicholas Willows(?),St Nicholas Olave,St. Nicholas Olave,1532-11-23,,97 parishes within the walls,medieval,
St Olave Hart Street,St Olave Hartstreet,St Olave near the Tower; St Olave Aldgate; St Olave Mark Lane; St Towllys at Crossyd Fryers,St Olave Hart Street,St. Olave (Hart Street),1532-11-23,x,97 parishes within the walls,medieval,
St Olave Jewry,St Olave Jewry,St Olave in the Old Jury; St Olave Colechurch Lane; St Olave Upwell; St Olave in the Golde [inry],St Olave Old Jewry,St. Olave (Old Jewry),1532-11-23,,97 parishes within the walls,medieval,
St Olave Silver Street,St Olave Silverstreet,St Olave Monkwell Street; St Olave Cripplegate; St Mary Olaf,St Olave Silver Street,St. Olave (Silver Street),1532-11-23,,97 parishes within the walls,medieval,
St Pancras Soper Lane,St Pancras Pancras street,St Pancras Soper Lane; St Pancras in Westcheap,St Pancras Soper Lane,St. Pancras (Soper Lane),1532-11-23,,97 parishes within the walls,medieval,
St Peter Ad Vincula,St Peter Ad Vincula,Tower Precinct,St Peter ad Vincula in the Tower,,,,98 parishes within the walls,medieval,"parish church of London Tower, appears 1728/9-1729/30 in the parishes within the walls subunit"
St Peter Cheap,St Peter Cheap,St Peter Westcheap; St Peter Wood Street; St Peter Cheapside,St Peter Cheap,St. Peter (Westcheap),1562,,97 parishes within the walls,medieval,
St Peter Cornhill,St Peter Cornhil,St Peter Leadenhall,St Peter upon Cornhill,St. Peter upon Cornhill,1532-11-23,x,97 parishes within the walls,medieval,
St Peter Paul's Wharf,St Peter Paulswharf,Baynard's Castle; St Peter the Less; St Peter the Little; St Peter near Old Fish Street; St Peter on Thames; St Peter Wood Wharf,St Peter Paul's Wharf,St. Peter (Paul’s Wharf),1532-11-23,,97 parishes within the walls,medieval,
St Peter Poor,St Peter Poor,St Peter Broad Street,St Peter le Poer,St. Peter le Poor,1532-11-23,x,97 parishes within the walls,medieval,
St Stephen Coleman Street,St Steven Colemanstreet,St Stephen in the Jewry,St Stephen Coleman Street,St. Stephen (Coleman Street),1532-11-23,x,97 parishes within the walls,medieval,
St Stephen Walbrook,St Steven Walbrook,St Stephen Bokerel,St Stephen Walbrook,St. Stephen (Walbrook),1532-11-23,,97 parishes within the walls,medieval,
St Swithin,St Swithin,St Swithin at London Stone,St Swithin London Stone,St. Swithin (London Stone),1532-11-23,,97 parishes within the walls,medieval,
St Thomas Apostle,St Thomas Apostles,,St Thomas Apostle,St. Thomas Apostle,1532-11-23,,97 parishes within the walls,medieval,
Trinity,Trinity Parish,Holy Trinity the Less; Holy Trinity the Little; Holy Trinity Knightrider Street,Trinity the Less,Holy Trinity the Less,1532-11-23,,97 parishes within the walls,medieval,
St Andrew Holborn,St Andrew Holborn,,St Andrew Holborn,St. Andrew Holborn,1532-11-23,x,16 parishes without the walls,medieval,1603 bills divide parish into without the walls and without the bar (in Middlesex)
St Bartholomew Great,St Bartholomew Great,Barthelomew the Great Smit,St Bartholomew the Great,St. Bartholomew the Great,1603,x,16 parishes without the walls,medieval,"dissolved priory, survived the Great Fire of 1666"
St Bartholomew Less,St Bartholomew Less,"Barthelmew the Lesse Smithf, Bartholomew Hospital",St Bartholomew the Less,St. Bartholomew the Less,1535-08-14,x,16 parishes without the walls,,"dissolved hospital; probably Bartholomew Hospital from 1582 bill because was in 1530s, 1562 bills but not if 1582 bill if not BH while Bartholomew Great continues to not be listed until 1603"
St Botolph Aldersgate,St Botolph Aldersgate,Buttols without Aldersgate,St Botolph without Aldersgate,St. Botolph (Aldersgate),1535-08-14,x,16 parishes without the walls,medieval,dissolved hospital
St Botolph Aldgate,St Botolph Aldgate,Buttols Algate,St Botolph without Aldgate,"St. Botolph, Aldgate",1532-11-23,x,16 parishes without the walls,medieval,
St Botolph Bishopsgate,St Botolph Bishopsgate,Buttols Bishopsgate,St Botolph without Bishopsgate,St. Botolph without Bishopsgate,1532-11-23,x,16 parishes without the walls,medieval,
Bridewell Precinct,Bridewel Precinct,,Bridewell Precinct,,1603,,16 parishes without the walls,,"palace given to city 1553-6, destroyed in the Great Fire of 1666 and immediately rebuilt (by 1667)"
St Bride,St Bridget,St Bride's; Bride's Parish; St Bride Fleet Street; St Bride without Ludgate,St Bride,St. Bride,1532-11-23,,16 parishes without the walls,medieval,"destroyed 1666, rebuilt by 1675 "
St Dunstan West,St Dunstan West,,St Dunstan in the West,St. Dunstan in the West,1532-11-23,x,16 parishes without the walls,medieval,survived the Great Fire of 1666
St George Southwark,St George Southwark,,St George Southwark,St. George Southwark,1562,x,16 parishes without the walls,medieval,Southwark enfranchised as borough in 1295
St Giles Cripplegate,St Giles Cripplegate,,St Giles Cripplegate,St. Giles (Cripplegate),1532-11-23,x,16 parishes without the walls,medieval,survived the Great Fire of 1666
St John Southwark,St John Southwark,Southwark St John Horsleydown,St John Horsleydown,,1733,,17 parishes without the walls,1733,split from St Olave Southwark in 1733
St Olave Southwark,St Olave Southwark,,St Olave Southwark,St. Olave Southwark,1562,x,16 parishes without the walls,medieval,Southwark enfranchised as borough in 1295
St Saviour Southwark,Saviours Southwark,,St Saviour Southwark,St. Saviour (Southwark),1562,x,16 parishes without the walls,1541,merger of 1295 St Margaret and 1295 St Mary in 1541
St Sepulchre,S Sepulchres Parish,St Sepulchre without Newgate; St Sepulchre Holborn; St Sepulchre in the Bailey; St Sepulchre West Smithfield,St Sepulchre without Newgate,St. Sepulchre,1532-11-23,x,16 parishes without the walls,medieval,"medieval, unclear if changed in this period; 1603 bills divide parish into without the walls and without the bars"
St Thomas Southwark,St Thomas Southwark,Thomas Hospital,St Thomas Southwark,St. Thomas Southwark,1562,x,16 parishes without the walls,1550s,split from St Olave Southwark circa 1550
Holy Trinity Minories,Trinity Minories,,Holy Trinity Minories,Holy Trinity Minories,1603,x,16 parishes without the walls,1550s/60s,"dissolved nunnery, parish church by 1563"
Pesthouse Without the Walls,Pesthouse without the walls,,,,1603,,16 parishes without the walls,,
St Anne Limehouse,St Ann in Middlesex,St Ann at Limehouse,St Anne Limehouse,,1730,,Middlesex/Surrey out parishes,1729-1730,previously part of St Dunstan's Stepney
Christ Church Surrey,Christ Church in Surry,Christ Church,Christ Church Southwark,Christ Church (Southwark),1674,,Middlesex/Surrey out parishes,,per Wikipedia: dates to 1682 but appears in Millar earlier
Christ Church Middlesex,Christ Church in Middlesex,Christ Church at Spitalfields,Christ Church Spitalfields,,1729,,Middlesex/Surrey out parishes,1729,previously part of St Dunstan's Stepney
St George Bloomsbury,St George in Bloomsbury,,St George Bloomsbury,,1731,,Middlesex/Surrey out parishes,1731,"previously part of St Giles in the Field, recombined in 1774"
St George Middlesex,St George in Middlesex,St George in the East,St George in the East,,1729,,Middlesex/Surrey out parishes,1729,"built from 1714-1729, previously part of St Dunstan's Stepney"
St George Queen's Square,St George by Queen's Square,St George the Martyr Holborn,St George the Martyr Queen Square,,1729,,Middlesex/Surrey out parishes,1723,"previously chapel of ease for/part of St Andrew Holborn, without the walls"
St Giles in the Field,St Giles in the Field,,St Giles in the Fields,St. Giles in the Fields,1603,x,Middlesex/Surrey out parishes,1540s,"dissolved monastery, got a rector in 1547"
St John at Hackney,Hackney Parish,St John at Hackney; St Augustine at Hackney?; St Johns of Jerusalem (per charter),St John at Hackney,,1636,x,Middlesex/Surrey out parishes,medieval,"not in 1636 Bodleian weekly bills, segregated from city totals in 1641"
St John Wapping,St John at Wapping,,St John Wapping,St. John the Baptist,1694,,Middlesex/Surrey out parishes,1694,previously part of St Dunstan's Stepney
St James Clerkenwell,St James Clerkenwel,,St James Clerkenwell,St. James (Clerkenwell),1603,x,Middlesex/Surrey out parishes,medieval,
St Katharine Tower,St Katharine Tower,,St Katharine by the Tower,St. Katherine’s by the Tower,1603,x,Middlesex/Surrey out parishes,medieval,
St Mary Lambeth,Lambeth Parish,St Mary at Lambeth,St Mary Lambeth,St. Mary (Lambeth),1636,x,Middlesex/Surrey out parishes,medieval,"not in 1636 Bodleian weekly bills, segregated from city totals in 1641"
St Leonard Shoreditch,St Leonard Shoreditch,,St Leonard Shoreditch,St. Leonard (Shoreditch),1603,x,Middlesex/Surrey out parishes,medieval,
St Luke Middlesex,St Luke in Middlesex,St Luke Old Street,St Luke Old Street,,1733,,Middlesex/Surrey out parishes,1733,previously part of St Giles Cripplegate (without the Walls)
St Mary Magdalen Bermondsey,St Magdalen Bermondsey,,St Mary Magdalen Bermondsey,St. Mary Magdalen (Bermondsey),1603,x,Middlesex/Surrey out parishes,medieval,
St Mary Islington,St Mary Islington,,St Mary Islington,,1636,x,Middlesex/Surrey out parishes,medieval,"not in 1636 Bodleian weekly bills, segregated from city totals in 1641"
St Mary Newington,St Mary Newington,,St Mary Newington,St. Mary (Newington),1636,x,Middlesex/Surrey out parishes,medieval,"not in 1636 Bodleian weekly bills, segregated from city totals in 1641"
St Mary Whitechapel,St Mary Whitechappel,St Mary Matfelon,St Mary Whitechapel,St. Mary Whitechapel,1603,x,Middlesex/Surrey out parishes,medieval,previously part of St Dunstan's Stepney
St Matthew Bethnal Green,St Matthew at Bethnal Green,,St Matthew Bethnal Green,,1746,,Middlesex/Surrey out parishes,1743,previously part of St Dunstan's Stepney
St Paul Shadwell,St Pauls Shadwel,,St Paul Shadwell,St. Paul’s (Shadwell),1671,,Middlesex/Surrey out parishes,1670,previously part of St Dunstan's Stepney
St Mary Rotherhithe,Rothorith Parish,St Mary at Rotherhith,St Mary Rotherhithe,St. Mary Rotherhithe,1636,x,Middlesex/Surrey out parishes,medieval,"not in 1636 Bodleian weekly bills, segregated from city totals in 1641"
St Dunstan Stepney,Stepney Parish,St Dunstan at Stepney; St Dunstan Stebunheath (per charter),St Dunstan Stepney,St. Dunstan’s Stepney,1636,x,Middlesex/Surrey out parishes,1636,"in general bill but not in 1636 Bodleian weekly bills, segregated from city totals in 1641"
St Anne Westminster,St Ann in Westminster,St Anne Soho,St Anne Soho,St. Anne’s (Westminster),1686,,Westminster out parishes,1687,previously part of St Martin in the Fields
St Clement Danes,St Clement Danes,Clements without Temple Bar,St Clement Danes,St. Clement Danes,1603,x,Westminster out parishes,1604,listed as part of Middlesex/Surrey sometimes
St George Hanover Square,St George by Hanover Square,,St George Hanover Square,St. George’s (Hannover Square),1729,,Westminster out parishes,1724,"previously part of St Martin in the Fields, in 1729 it's in Middlesex/Surrey"
St James Westminster,St James in Westminster,St James Piccadilly; St. James in the Fields,St James Piccadilly,,1685,,Westminster out parishes,1685,previously part of St Martin in the Fields
St John Westminster,St John the Evangelist,,St John Westminster,,1731,,Westminster out parishes,1727,previously part of St Maragaret Westminster
St Paul Covent Garden,St Paul Covent Garden,,St Paul Covent Garden,St. Paul’s (Covent Garden),1646-04-02,x,Westminster out parishes,1645,"previously part of St Martin in the Fields, missing 1645 bills so probably appeared earlier than this"
St Martin in the Fields,St Martin in the fields,,St Martin in the Fields,St. Martin in the Fields,1603,x,Westminster out parishes,medieval,"four ""daughter parishes"" broke off over time; listed as part of Middlesex/Surrey in one BL bill?"
St Mary Savoy,St Mary Savoy,The Precinct of the Savoy; St Mary Savoy in the Strand; St John Baptist Savoy,St John Baptist Savoy,,1620,x,Westminster out parishes,medieval,St Mary le Strand merged with it for part of this time period
St Mary le Strand,St Mary le Strand,,St Mary le Strand,St. Mary le Strand,1726,,Westminster out parishes,1714/1723,"pulled down 1549, de facto merged with St Clement Danes then Savoy Chapel / St Mary Savoy until 1714-1723. Use only when distinct from St Mary Savoy. "
St Margaret Westminster,St Margaret Westminster,,St Margaret Westminster,St Margaret’s (Westminster),1636,x,Westminster out parishes,medieval,"split into St Margaret and St John's in 1727, segregated from city totals in 1641"
Westminster Pesthouse,Pesthouse in Westminster,,,,1603,x,Westminster out parishes,,
