year,week,unique_identifier,start_day,start_month,end_day,end_month,parish_name,count_type,count,missing,illegible,source,bill_type,joinid,start_year,end_year
1688,90,Millar-1688-1689-GeneralBill,11,December,17,December,Christened in the 97 parishes within the walls,Total,2079,,,millar post-plague,General,1688121116881217,1688,1689
1688,90,Millar-1688-1689-GeneralBill,11,December,17,December,Christened in the parishes without the walls,Total,4705,,,millar post-plague,General,1688121116881217,1688,1689
1688,90,Millar-1688-1689-GeneralBill,11,December,17,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4650,,,millar post-plague,General,1688121116881217,1688,1689
1688,90,Millar-1688-1689-GeneralBill,11,December,17,December,Christened in the Parishes and Liberties of Westminster,Total,3337,,,millar post-plague,General,1688121116881217,1688,1689
1689,90,Millar-1689-1690-GeneralBill,17,December,16,December,Christened in the 97 parishes within the walls,Total,2228,,,millar post-plague,General,1689121716891216,1689,1690
1689,90,Millar-1689-1690-GeneralBill,17,December,16,December,Christened in the parishes without the walls,Total,4827,,,millar post-plague,General,1689121716891216,1689,1690
1689,90,Millar-1689-1690-GeneralBill,17,December,16,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4811,,,millar post-plague,General,1689121716891216,1689,1690
1689,90,Millar-1689-1690-GeneralBill,17,December,16,December,Christened in the Parishes and Liberties of Westminster,Total,3345,,,millar post-plague,General,1689121716891216,1689,1690
1690,90,Millar-1690-1691-GeneralBill,16,December,15,December,Christened in the 97 parishes within the walls,Total,2179,,,millar post-plague,General,1690121616901215,1690,1691
1690,90,Millar-1690-1691-GeneralBill,16,December,15,December,Christened in the parishes without the walls,Total,4906,,,millar post-plague,General,1690121616901215,1690,1691
1690,90,Millar-1690-1691-GeneralBill,16,December,15,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4913,,,millar post-plague,General,1690121616901215,1690,1691
1690,90,Millar-1690-1691-GeneralBill,16,December,15,December,Christened in the Parishes and Liberties of Westminster,Total,3056,,,millar post-plague,General,1690121616901215,1690,1691
1691,90,Millar-1691-1692-GeneralBill,15,December,13,December,Christened in the 97 parishes within the walls,Total,2136,,,millar post-plague,General,1691121516911213,1691,1692
1691,90,Millar-1691-1692-GeneralBill,15,December,13,December,Christened in the parishes without the walls,Total,4865,,,millar post-plague,General,1691121516911213,1691,1692
1691,90,Millar-1691-1692-GeneralBill,15,December,13,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4881,,,millar post-plague,General,1691121516911213,1691,1692
1691,90,Millar-1691-1692-GeneralBill,15,December,13,December,Christened in the Parishes and Liberties of Westminster,Total,3036,,,millar post-plague,General,1691121516911213,1691,1692
1692,90,Millar-1692-1693-GeneralBill,13,December,19,December,Christened in the 97 parishes within the walls,Total,2106,,,millar post-plague,General,1692121316921219,1692,1693
1692,90,Millar-1692-1693-GeneralBill,13,December,19,December,Christened in the parishes without the walls,Total,5050,,,millar post-plague,General,1692121316921219,1692,1693
1692,90,Millar-1692-1693-GeneralBill,13,December,19,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5017,,,millar post-plague,General,1692121316921219,1692,1693
1692,90,Millar-1692-1693-GeneralBill,13,December,19,December,Christened in the Parishes and Liberties of Westminster,Total,2986,,,millar post-plague,General,1692121316921219,1692,1693
1693,90,Millar-1693-1694-GeneralBill,19,December,18,December,Christened in the 97 parishes within the walls,Total,1951,,,millar post-plague,General,1693121916931218,1693,1694
1693,90,Millar-1693-1694-GeneralBill,19,December,18,December,Christened in the parishes without the walls,Total,4488,,,millar post-plague,General,1693121916931218,1693,1694
1693,90,Millar-1693-1694-GeneralBill,19,December,18,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4218,,,millar post-plague,General,1693121916931218,1693,1694
1693,90,Millar-1693-1694-GeneralBill,19,December,18,December,Christened in the Parishes and Liberties of Westminster,Total,2975,,,millar post-plague,General,1693121916931218,1693,1694
1694,90,Millar-1694-1695-GeneralBill,18,December,17,December,Christened in the 97 parishes within the walls,Total,1970,,,millar post-plague,General,1694121816941217,1694,1695
1694,90,Millar-1694-1695-GeneralBill,18,December,17,December,Christened in the parishes without the walls,Total,4920,,,millar post-plague,General,1694121816941217,1694,1695
1694,90,Millar-1694-1695-GeneralBill,18,December,17,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4468,,,millar post-plague,General,1694121816941217,1694,1695
1694,90,Millar-1694-1695-GeneralBill,18,December,17,December,Christened in the Parishes and Liberties of Westminster,Total,2918,,,millar post-plague,General,1694121816941217,1694,1695
1695,90,Millar-1695-1696-GeneralBill,17,December,15,December,Christened in the 97 parishes within the walls,Total,2028,,,millar post-plague,General,1695121716951215,1694,1696
1695,90,Millar-1695-1696-GeneralBill,17,December,15,December,Christened in the parishes without the walls,Total,4795,,,millar post-plague,General,1695121716951215,1694,1696
1695,90,Millar-1695-1696-GeneralBill,17,December,15,December,Christened in the out-Parishes in Middlesex and Surrey,Total,4970,,,millar post-plague,General,1695121716951215,1694,1696
1695,90,Millar-1695-1696-GeneralBill,17,December,15,December,Christened in the Parishes and Liberties of Westminster,Total,3068,,,millar post-plague,General,1695121716951215,1694,1696
1696,90,Millar-1696-1697-GeneralBill,15,December,14,December,Christened in the 97 parishes within the walls,Total,2113,,,millar post-plague,General,1696121516961214,1696,1697
1696,90,Millar-1696-1697-GeneralBill,15,December,14,December,Christened in the parishes without the walls,Total,5021,,,millar post-plague,General,1696121516961214,1696,1697
1696,90,Millar-1696-1697-GeneralBill,15,December,14,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5355,,,millar post-plague,General,1696121516961214,1696,1697
1696,90,Millar-1696-1697-GeneralBill,15,December,14,December,Christened in the Parishes and Liberties of Westminster,Total,3340,,,millar post-plague,General,1696121516961214,1696,1697
1697,90,Millar-1697-1698-GeneralBill,14,December,20,December,Christened in the 97 parishes within the walls,Total,2171,,,millar post-plague,General,1697121416971220,1697,1698
1697,90,Millar-1697-1698-GeneralBill,14,December,20,December,Christened in the parishes without the walls,Total,5120,,,millar post-plague,General,1697121416971220,1697,1698
1697,90,Millar-1697-1698-GeneralBill,14,December,20,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5686,,,millar post-plague,General,1697121416971220,1697,1698
1697,90,Millar-1697-1698-GeneralBill,14,December,20,December,Christened in the Parishes and Liberties of Westminster,Total,3075,,,millar post-plague,General,1697121416971220,1697,1698
1698,90,Millar-1698-1699-GeneralBill,20,December,19,December,Christened in the 97 parishes within the walls,Total,2072,,,millar post-plague,General,1698122016981219,1698,1699
1698,90,Millar-1698-1699-GeneralBill,20,December,19,December,Christened in the parishes without the walls,Total,4706,,,millar post-plague,General,1698122016981219,1698,1699
1698,90,Millar-1698-1699-GeneralBill,20,December,19,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5360,,,millar post-plague,General,1698122016981219,1698,1699
1698,90,Millar-1698-1699-GeneralBill,20,December,19,December,Christened in the Parishes and Liberties of Westminster,Total,3269,,,millar post-plague,General,1698122016981219,1698,1699
1699,90,Millar-1699-1700-GeneralBill,19,December,17,December,Christened in the 97 parishes within the walls,Total,1790,,,millar post-plague,General,1699121916991217,1699,1700
1699,90,Millar-1699-1700-GeneralBill,19,December,17,December,Christened in the parishes without the walls,Total,4580,,,millar post-plague,General,1699121916991217,1699,1700
1699,90,Millar-1699-1700-GeneralBill,19,December,17,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5053,,,millar post-plague,General,1699121916991217,1699,1700
1699,90,Millar-1699-1700-GeneralBill,19,December,17,December,Christened in the Parishes and Liberties of Westminster,Total,3216,,,millar post-plague,General,1699121916991217,1699,1700
1700,90,Millar-1700-1701-GeneralBill,17,December,16,December,Christened in the 97 parishes within the walls,Total,1762,,,millar post-plague,General,1700121717001216,1700,1701
1700,90,Millar-1700-1701-GeneralBill,17,December,16,December,Christened in the parishes without the walls,Total,4783,,,millar post-plague,General,1700121717001216,1700,1701
1700,90,Millar-1700-1701-GeneralBill,17,December,16,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5440,,,millar post-plague,General,1700121717001216,1700,1701
1700,90,Millar-1700-1701-GeneralBill,17,December,16,December,Christened in the Parishes and Liberties of Westminster,Total,3631,,,millar post-plague,General,1700121717001216,1700,1701
1701,90,Millar-1701-1702-GeneralBill,16,December,15,December,Christened in the 97 parishes within the walls,Total,1919,,,millar post-plague,General,1701121617011215,1701,1702
1701,90,Millar-1701-1702-GeneralBill,16,December,15,December,Christened in the parishes without the walls,Total,4845,,,millar post-plague,General,1701121617011215,1701,1702
1701,90,Millar-1701-1702-GeneralBill,16,December,15,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5300,,,millar post-plague,General,1701121617011215,1701,1702
1701,90,Millar-1701-1702-GeneralBill,16,December,15,December,Christened in the Parishes and Liberties of Westminster,Total,3623,,,millar post-plague,General,1701121617011215,1701,1702
1702,90,Millar-1702-1703-GeneralBill,15,December,14,December,Christened in the 97 parishes within the walls,Total,1773,,,millar post-plague,General,1702121517021214,1702,1703
1702,90,Millar-1702-1703-GeneralBill,15,December,14,December,Christened in the parishes without the walls,Total,4781,,,millar post-plague,General,1702121517021214,1702,1703
1702,90,Millar-1702-1703-GeneralBill,15,December,14,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5392,,,millar post-plague,General,1702121517021214,1702,1703
1702,90,Millar-1702-1703-GeneralBill,15,December,14,December,Christened in the Parishes and Liberties of Westminster,Total,3502,,,millar post-plague,General,1702121517021214,1702,1703
1703,90,Millar-1703-1704-GeneralBill,14,December,19,December,Christened in the 97 parishes within the walls,Total,1928,,,millar post-plague,General,1703121417031219,1703,1704
1703,90,Millar-1703-1704-GeneralBill,14,December,19,December,Christened in the parishes without the walls,Total,4868,,,millar post-plague,General,1703121417031219,1703,1704
1703,90,Millar-1703-1704-GeneralBill,14,December,19,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5494,,,millar post-plague,General,1703121417031219,1703,1704
1703,90,Millar-1703-1704-GeneralBill,14,December,19,December,Christened in the Parishes and Liberties of Westminster,Total,3605,,,millar post-plague,General,1703121417031219,1703,1704
1704,90,Millar-1704-1705-GeneralBill,19,December,18,December,Christened in the 97 parishes within the walls,Total,1850,,,millar post-plague,General,1704121917041218,1704,1705
1704,90,Millar-1704-1705-GeneralBill,19,December,18,December,Christened in the parishes without the walls,Total,5013,,,millar post-plague,General,1704121917041218,1704,1705
1704,90,Millar-1704-1705-GeneralBill,19,December,18,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5891,,,millar post-plague,General,1704121917041218,1704,1705
1704,90,Millar-1704-1705-GeneralBill,19,December,18,December,Christened in the Parishes and Liberties of Westminster,Total,3391,,,millar post-plague,General,1704121917041218,1704,1705
1705,90,Millar-1705-1706-GeneralBill,18,December,10,December,Christened in the 97 parishes within the walls,Total,1796,,,millar post-plague,General,1705121817051210,1705,1706
1705,90,Millar-1705-1706-GeneralBill,18,December,10,December,Christened in the parishes without the walls,Total,4806,,,millar post-plague,General,1705121817051210,1705,1706
1705,90,Millar-1705-1706-GeneralBill,18,December,10,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5444,,,millar post-plague,General,1705121817051210,1705,1706
1705,90,Millar-1705-1706-GeneralBill,18,December,10,December,Christened in the Parishes and Liberties of Westminster,Total,3323,,,millar post-plague,General,1705121817051210,1705,1706
1706,90,Millar-1706-1707-GeneralBill,10,December,16,December,Christened in the 97 parishes within the walls,Total,1879,,,millar post-plague,General,1706121017061216,1706,1707
1706,90,Millar-1706-1707-GeneralBill,10,December,16,December,Christened in the parishes without the walls,Total,5071,,,millar post-plague,General,1706121017061216,1706,1707
1706,90,Millar-1706-1707-GeneralBill,10,December,16,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5703,,,millar post-plague,General,1706121017061216,1706,1707
1706,90,Millar-1706-1707-GeneralBill,10,December,16,December,Christened in the Parishes and Liberties of Westminster,Total,3413,,,millar post-plague,General,1706121017061216,1706,1707
1707,90,Millar-1707-1708-GeneralBill,16,December,14,December,Christened in the 97 parishes within the walls,Total,1897,,,millar post-plague,General,1707121617071214,1707,1708
1707,90,Millar-1707-1708-GeneralBill,16,December,14,December,Christened in the parishes without the walls,Total,4890,,,millar post-plague,General,1707121617071214,1707,1708
1707,90,Millar-1707-1708-GeneralBill,16,December,14,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5661,,,millar post-plague,General,1707121617071214,1707,1708
1707,90,Millar-1707-1708-GeneralBill,16,December,14,December,Christened in the Parishes and Liberties of Westminster,Total,3414,,,millar post-plague,General,1707121617071214,1707,1708
1708,90,Millar-1708-1709-GeneralBill,14,December,13,December,Christened in the 97 parishes within the walls,Total,1852,,,millar post-plague,General,1708121417081213,1708,1709
1708,90,Millar-1708-1709-GeneralBill,14,December,13,December,Christened in the parishes without the walls,Total,4593,,,millar post-plague,General,1708121417081213,1708,1709
1708,90,Millar-1708-1709-GeneralBill,14,December,13,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5288,,,millar post-plague,General,1708121417081213,1708,1709
1708,90,Millar-1708-1709-GeneralBill,14,December,13,December,Christened in the Parishes and Liberties of Westminster,Total,3487,,,millar post-plague,General,1708121417081213,1708,1709
1709,90,Millar-1709-1710-GeneralBill,13,December,12,December,Christened in the 97 parishes within the walls,Total,1815,,,millar post-plague,General,1709121317091212,1709,1710
1709,90,Millar-1709-1710-GeneralBill,13,December,12,December,Christened in the parishes without the walls,Total,4751,,,millar post-plague,General,1709121317091212,1709,1710
1709,90,Millar-1709-1710-GeneralBill,13,December,12,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5134,,,millar post-plague,General,1709121317091212,1709,1710
1709,90,Millar-1709-1710-GeneralBill,13,December,12,December,Christened in the Parishes and Liberties of Westminster,Total,3228,,,millar post-plague,General,1709121317091212,1709,1710
1710,90,Millar-1710-1711-GeneralBill,12,December,11,December,Christened in the 97 parishes within the walls,Total,1719,,,millar post-plague,General,1710121217101211,1710,1711
1710,90,Millar-1710-1711-GeneralBill,12,December,11,December,Christened in the parishes without the walls,Total,4683,,,millar post-plague,General,1710121217101211,1710,1711
1710,90,Millar-1710-1711-GeneralBill,12,December,11,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5042,,,millar post-plague,General,1710121217101211,1710,1711
1710,90,Millar-1710-1711-GeneralBill,12,December,11,December,Christened in the Parishes and Liberties of Westminster,Total,3262,,,millar post-plague,General,1710121217101211,1710,1711
1711,90,Millar-1711-1712-GeneralBill,11,December,16,December,Christened in the 97 parishes within the walls,Total,1859,,,millar post-plague,General,1711121117111216,1711,1712
1711,90,Millar-1711-1712-GeneralBill,11,December,16,December,Christened in the parishes without the walls,Total,5045,,,millar post-plague,General,1711121117111216,1711,1712
1711,90,Millar-1711-1712-GeneralBill,11,December,16,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5327,,,millar post-plague,General,1711121117111216,1711,1712
1711,90,Millar-1711-1712-GeneralBill,11,December,16,December,Christened in the Parishes and Liberties of Westminster,Total,3429,,,millar post-plague,General,1711121117111216,1711,1712
1712,90,Millar-1712-1713-GeneralBill,16,December,15,December,Christened in the 97 parishes within the walls,Total,1783,,,millar post-plague,General,1712121617121215,1712,1713
1712,90,Millar-1712-1713-GeneralBill,16,December,15,December,Christened in the parishes without the walls,Total,5251,,,millar post-plague,General,1712121617121215,1712,1713
1712,90,Millar-1712-1713-GeneralBill,16,December,15,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5549,,,millar post-plague,General,1712121617121215,1712,1713
1712,90,Millar-1712-1713-GeneralBill,16,December,15,December,Christened in the Parishes and Liberties of Westminster,Total,3344,,,millar post-plague,General,1712121617121215,1712,1713
1713,90,Millar-1713-1714-GeneralBill,15,December,14,December,Christened in the 97 parishes within the walls,Total,1810,,,millar post-plague,General,1713121517131214,1713,1714
1713,90,Millar-1713-1714-GeneralBill,15,December,14,December,Christened in the parishes without the walls,Total,5691,,,millar post-plague,General,1713121517131214,1713,1714
1713,90,Millar-1713-1714-GeneralBill,15,December,14,December,Christened in the out-Parishes in Middlesex and Surrey,Total,6123,,,millar post-plague,General,1713121517131214,1713,1714
1713,90,Millar-1713-1714-GeneralBill,15,December,14,December,Christened in the Parishes and Liberties of Westminster,Total,3871,,,millar post-plague,General,1713121517131214,1713,1714
1714,90,Millar-1714-1715-GeneralBill,14,December,13,December,Christened in the 97 parishes within the walls,Total,1828,,,millar post-plague,General,1714121417141213,1714,1715
1714,90,Millar-1714-1715-GeneralBill,14,December,13,December,Christened in the parishes without the walls,Total,5704,,,millar post-plague,General,1714121417141213,1714,1715
1714,90,Millar-1714-1715-GeneralBill,14,December,13,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5862,,,millar post-plague,General,1714121417141213,1714,1715
1714,90,Millar-1714-1715-GeneralBill,14,December,13,December,Christened in the Parishes and Liberties of Westminster,Total,3840,,,millar post-plague,General,1714121417141213,1714,1715
1715,90,Millar-1715-1716-GeneralBill,13,December,11,December,Christened in the 97 parishes within the walls,Total,1884,,,millar post-plague,General,1715121317151211,1715,1716
1715,90,Millar-1715-1716-GeneralBill,13,December,11,December,Christened in the parishes without the walls,Total,5742,,,millar post-plague,General,1715121317151211,1715,1716
1715,90,Millar-1715-1716-GeneralBill,13,December,11,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5956,,,millar post-plague,General,1715121317151211,1715,1716
1715,90,Millar-1715-1716-GeneralBill,13,December,11,December,Christened in the Parishes and Liberties of Westminster,Total,3839,,,millar post-plague,General,1715121317151211,1715,1716
1716,90,Millar-1716-1717-GeneralBill,11,December,17,December,Christened in the 97 parishes within the walls,Total,2031,,,millar post-plague,General,1716121117161217,1716,1717
1716,90,Millar-1716-1717-GeneralBill,11,December,17,December,Christened in the parishes without the walls,Total,6211,,,millar post-plague,General,1716121117161217,1716,1717
1716,90,Millar-1716-1717-GeneralBill,11,December,17,December,Christened in the out-Parishes in Middlesex and Surrey,Total,6172,,,millar post-plague,General,1716121117161217,1716,1717
1716,90,Millar-1716-1717-GeneralBill,11,December,17,December,Christened in the Parishes and Liberties of Westminster,Total,4061,,,millar post-plague,General,1716121117161217,1716,1717
1717,90,Millar-1717-1718-GeneralBill,17,December,16,December,Christened in the 97 parishes within the walls,Total,1899,,,millar post-plague,General,1717121717171216,1717,1718
1717,90,Millar-1717-1718-GeneralBill,17,December,16,December,Christened in the parishes without the walls,Total,6166,,,millar post-plague,General,1717121717171216,1717,1718
1717,90,Millar-1717-1718-GeneralBill,17,December,16,December,Christened in the out-Parishes in Middlesex and Surrey,Total,6333,,,millar post-plague,General,1717121717171216,1717,1718
1717,90,Millar-1717-1718-GeneralBill,17,December,16,December,Christened in the Parishes and Liberties of Westminster,Total,3909,,,millar post-plague,General,1717121717171216,1717,1718
1718,90,Millar-1718-1719-GeneralBill,16,December,15,December,Christened in the 97 parishes within the walls,Total,1917,,,millar post-plague,General,1718121617181215,1718,1719
1718,90,Millar-1718-1719-GeneralBill,16,December,15,December,Christened in the parishes without the walls,Total,6188,,,millar post-plague,General,1718121617181215,1718,1719
1718,90,Millar-1718-1719-GeneralBill,16,December,15,December,Christened in the out-Parishes in Middlesex and Surrey,Total,6421,,,millar post-plague,General,1718121617181215,1718,1719
1718,90,Millar-1718-1719-GeneralBill,16,December,15,December,Christened in the Parishes and Liberties of Westminster,Total,3887,,,millar post-plague,General,1718121617181215,1718,1719
1719,90,Millar-1719-1720-GeneralBill,15,December,13,December,Christened in the 97 parishes within the walls,Total,1898,,,millar post-plague,General,1719121517191213,1719,1720
1719,90,Millar-1719-1720-GeneralBill,15,December,13,December,Christened in the parishes without the walls,Total,5931,,,millar post-plague,General,1719121517191213,1719,1720
1719,90,Millar-1719-1720-GeneralBill,15,December,13,December,Christened in the out-Parishes in Middlesex and Surrey,Total,5901,,,millar post-plague,General,1719121517191213,1719,1720
1719,90,Millar-1719-1720-GeneralBill,15,December,13,December,Christened in the Parishes and Liberties of Westminster,Total,3749,,,millar post-plague,General,1719121517191213,1719,1720
1720,90,Millar-1720-1721-GeneralBill,13,December,12,December,Christened in the 97 parishes within the walls,Total,1871,,,millar post-plague,General,1720121317201212,1720,1721
1720,90,Millar-1720-1721-GeneralBill,13,December,12,December,Christened in the parishes without the walls,Total,5944,,,millar post-plague,General,1720121317201212,1720,1721
1720,90,Millar-1720-1721-GeneralBill,13,December,12,December,Christened in the out-Parishes in Middlesex and Surrey,Total,6462,,,millar post-plague,General,1720121317201212,1720,1721
1720,90,Millar-1720-1721-GeneralBill,13,December,12,December,Christened in the Parishes and Liberties of Westminster,Total,4093,,,millar post-plague,General,1720121317201212,1720,1721
1721,90,Millar-1721-1722-GeneralBill,12,December,11,December,Christened in the 97 parishes within the walls,Total,1802,,,millar post-plague,General,1721121217211211,1721,1722
1721,90,Millar-1721-1722-GeneralBill,12,December,11,December,Christened in the parishes without the walls,Total,6280,,,millar post-plague,General,1721121217211211,1721,1722
1721,90,Millar-1721-1722-GeneralBill,12,December,11,December,Christened in the out-Parishes in Middlesex and Surrey,Total,6332,,,millar post-plague,General,1721121217211211,1721,1722
1721,90,Millar-1721-1722-GeneralBill,12,December,11,December,Christened in the Parishes and Liberties of Westminster,Total,3905,,,millar post-plague,General,1721121217211211,1721,1722
1722,90,Millar-1722-1723-GeneralBill,11,December,10,December,Christened in the 97 parishes within the walls,Total,1868,,,millar post-plague,General,1722121117221210,1722,1723
1722,90,Millar-1722-1723-GeneralBill,11,December,10,December,Christened in the parishes without the walls,Total,6643,,,millar post-plague,General,1722121117221210,1722,1723
1722,90,Millar-1722-1723-GeneralBill,11,December,10,December,Christened in the out-Parishes in Middlesex and Surrey,Total,6778,,,millar post-plague,General,1722121117221210,1722,1723
1722,90,Millar-1722-1723-GeneralBill,11,December,10,December,Christened in the Parishes and Liberties of Westminster,Total,3914,,,millar post-plague,General,1722121117221210,1722,1723
1723,90,Millar-1723-1724-GeneralBill,10,December,15,December,Christened in the 97 parishes within the walls,Total,1927,,,millar post-plague,General,1723121017231215,1723,1724
1723,90,Millar-1723-1724-GeneralBill,10,December,15,December,Christened in the parishes without the walls,Total,6499,,,millar post-plague,General,1723121017231215,1723,1724
1723,90,Millar-1723-1724-GeneralBill,10,December,15,December,Christened in the out-Parishes in Middlesex and Surrey,Total,6973,,,millar post-plague,General,1723121017231215,1723,1724
1723,90,Millar-1723-1724-GeneralBill,10,December,15,December,Christened in the Parishes and Liberties of Westminster,Total,3971,,,millar post-plague,General,1723121017231215,1723,1724
1724,90,Millar-1724-1725-GeneralBill,15,December,14,December,Christened in the 97 parishes within the walls,Total,1822,,,millar post-plague,General,1724121517241214,1724,1725
