death,count,descriptive_text,joinid,year,week_id,year_range,split_year
Looseness,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Lunatick and Frenzy,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Malignant Fever,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Meagrim,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Measles,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Miscarriage,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Mortification,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Mother,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Noli me tangere,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Palsie,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Plague,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Planet,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Plurisie,1,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Purples,2,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Quinsie,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Rash,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Rheumatism,1,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Rickets,7,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Rising of the Lights,2,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Running of the Reins,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Rupture,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Scald Head,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Scarlet Fever,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Sciatica,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Scowring,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Scurvy,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Sores,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Shingles,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Spleen,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Spotted-Fever,2,,18March25March1701,1701,1701-1702-14,1701-1702,1701
St. Anthony's Fire,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Starved,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Stone,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Stopping of the Stomach,12,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Strangury,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Strongullion,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Suddenly,1,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Surfeit,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Swelling in the Throat,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Swine-Pox,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Teeth,29,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Thrush,1,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Tissick,12,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Tympany,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Twisting of the Guts,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Ulcer,3,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Vapours,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Vomiting,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Water in the Head,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Wen,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Wind,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Wolf,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Worms,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Abortive,6,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Overlaid,2,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Still-born,11,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Drowned,1,"Drowned accidentally in the River Lee, Buried at St John at Hackney",18March25March1701,1701,1701-1702-14,1701-1702,1701
Found Dead,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Executed,2,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Killed,2,One with a Sword at St Andrew in Holnorn 1; Murdered at Christs Church in London 1,18March25March1701,1701,1701-1702-14,1701-1702,1701
Suicide,,,18March25March1701,1701,1701-1702-14,1701-1702,1701
Other,1,one by a Fall down a Pair of Stairs at St James in Westminster,18March25March1701,1701,1701-1702-14,1701-1702,1701
Aged,32,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Ague,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Apoplexy,1,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Asthma,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Bed-ridden,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Blasted,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Bleeding,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Bloody-flux,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Calenture,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Cancer,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Canker,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Chicken Pox,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Child-Bed,3,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Chrisoms,1,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Cold,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Colick,1,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Consumption,70,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Convulsion,133,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Cough,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Cramp,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Diabetes,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Dropsie,16,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Falling-sickness,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Fever,58,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Fistula,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Flox and Small-Pox,13,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Flux,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
French-Pox,1,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Frets,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Gangreen,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Gout,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Gravel,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Grief,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Griping in the Guts,15,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Headache,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Headmouldshot,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Hooping Cough,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Hiccough,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Horshoehead,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Impostume,3,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Infants,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Inflammation,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Itch,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Jaundies,2,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Jaw-fallen,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Kings Evil,3,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Leprosie,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Lethargy,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Liver-grown,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Looseness,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Lunatick and Frenzy,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Malignant Fever,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Meagrim,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Measles,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Miscarriage,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Mortification,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Mother,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Noli me tangere,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Palsie,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Plague,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Planet,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Plurisie,1,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Purples,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Quinsie,1,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Rash,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Rheumatism,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Rickets,9,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Rising of the Lights,3,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Running of the Reins,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Rupture,1,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Scald Head,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Scarlet Fever,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Sciatica,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Scowring,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Scurvy,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Sores,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Shingles,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Spleen,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Spotted-Fever,1,,25March1April1701,1701,1701-1702-15,1701-1702,1701
St. Anthony's Fire,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Starved,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Stone,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Stopping of the Stomach,12,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Strangury,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Strongullion,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Suddenly,1,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Surfeit,4,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Swelling in the Throat,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Swine-Pox,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Teeth,30,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Thrush,1,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Tissick,7,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Tympany,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Twisting of the Guts,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Ulcer,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Vapours,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Vomiting,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Water in the Head,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Wen,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Wind,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Wolf,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Worms,1,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Abortive,1,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Overlaid,1,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Still-born,7,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Drowned,2,"One accidentally at St. Dunstan in the East, and one at Saviour in Southwark.",25March1April1701,1701,1701-1702-15,1701-1702,1701
Found Dead,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Executed,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Killed,3,One with a Sword at St Giles in the Fields 1; Murdered...One at St James at Clerkenwel 1; Murdered... one at Margaret at Westminster 1,25March1April1701,1701,1701-1702-15,1701-1702,1701
Suicide,,,25March1April1701,1701,1701-1702-15,1701-1702,1701
Other,2,One by accidental Fall down Stairs in Blackfryars 1; One by a fall from a Coach at St James in Westminster 1,25March1April1701,1701,1701-1702-15,1701-1702,1701
Aged,38,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Ague,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Apoplexy,1,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Asthma,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Bed-ridden,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Blasted,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Bleeding,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Bloody-flux,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Calenture,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Cancer,1,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Canker,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Chicken Pox,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Child-Bed,4,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Chrisoms,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Cold,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Colick,1,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Consumption,48,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Convulsion,91,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Cough,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Cramp,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Diabetes,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Dropsie,17,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Falling-sickness,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Fever,63,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Fistula,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Flox and Small-Pox,20,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Flux,1,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
French-Pox,1,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Frets,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Gangreen,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Gout,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Gravel,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Grief,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Griping in the Guts,25,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Headache,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Headmouldshot,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Hooping Cough,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Hiccough,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Horshoehead,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Impostume,1,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Infants,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Inflammation,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Itch,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Jaundies,1,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Jaw-fallen,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Kings Evil,3,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Leprosie,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Lethargy,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Liver-grown,1,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Looseness,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Lunatick and Frenzy,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Malignant Fever,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Meagrim,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Measles,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Miscarriage,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Mortification,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Mother,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Noli me tangere,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Palsie,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Plague,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Planet,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Plurisie,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Purples,1,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Quinsie,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Rash,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Rheumatism,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Rickets,13,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Rising of the Lights,3,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Running of the Reins,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Rupture,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Scald Head,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Scarlet Fever,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Sciatica,1,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Scowring,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Scurvy,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Sores,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Shingles,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Spleen,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Spotted-Fever,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
St. Anthony's Fire,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Starved,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Stone,1,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Stopping of the Stomach,17,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Strangury,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Strongullion,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Suddenly,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Surfeit,1,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Swelling in the Throat,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Swine-Pox,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Teeth,28,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Thrush,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Tissick,12,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Tympany,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Twisting of the Guts,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Ulcer,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Vapours,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Vomiting,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Water in the Head,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Wen,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Wind,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Wolf,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Worms,1,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Abortive,1,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Overlaid,3,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Still-born,7,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Drowned,2,"One at St Mary at Rotherheth, and one in the River of Thames at St Paul at Shadwel.",1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Found Dead,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Executed,,,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Killed,1,One by Sword at St Giles in the Fields.,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Suicide,1,Stab'd himself (being distracted) at St Andrew in Holborn 1.,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Other,1,One by a Wheel of a Brewers Dray at St Margaret in Westminter.,1April8April1701,1701,1700-1701-16,1700-1701,1700/1701
Aged,34,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Ague,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Apoplexy,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Asthma,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Bed-ridden,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Blasted,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Bleeding,1,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Bloody-flux,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Calenture,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Cancer,1,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Canker,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Chicken Pox,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Child-Bed,6,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Chrisoms,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Cold,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Colick,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Consumption,44,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Convulsion,95,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Cough,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Cramp,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Diabetes,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Dropsie,13,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Falling-sickness,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Fever,54,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Fistula,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Flox and Small-Pox,21,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Flux,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
French-Pox,1,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Frets,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Gangreen,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Gout,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Gravel,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Grief,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Griping in the Guts,31,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Headache,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Headmouldshot,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Hooping Cough,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Hiccough,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Horshoehead,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Impostume,1,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
Infants,,,8April15April1701,1701,1700-1701-17,1700-1701,1700/1701
