Omeka Item #,DataScribe Item #,DataScribe Record #,DataScribe Record Position,Year,is_missing,is_illegible,Week,is_missing,is_illegible,Unique ID,is_missing,is_illegible,Start Day,is_missing,is_illegible,Start Month,is_missing,is_illegible,End Day,is_missing,is_illegible,End month,is_missing,is_illegible,St Alban Woodstreet - Buried,is_missing,is_illegible,Alhallows Barking - Buried,is_missing,is_illegible,Allhallows Breadstreet - Buried,is_missing,is_illegible,Allhallows Great - Buried,is_missing,is_illegible,Alhallows Honylane - Buried,is_missing,is_illegible,Alhallows Lesse - Buried,is_missing,is_illegible,Alhallows Lumbardstreet - Buried,is_missing,is_illegible,Alhallows Stayning - Buried,is_missing,is_illegible,Alhallows the Wall - Buried,is_missing,is_illegible,St Alphage - Buried,is_missing,is_illegible,St Andrew Hubbard - Buried,is_missing,is_illegible,St Andrew Undershaft - Buried,is_missing,is_illegible,St Andrew Wardrobe - Buried,is_missing,is_illegible,St Ann Aldersgate - Buried,is_missing,is_illegible,St Ann Blackfryers - Buried,is_missing,is_illegible,St Antholins Parish - Buried,is_missing,is_illegible,St Austins Parish - Buried,is_missing,is_illegible,St Bartholomew Exchange - Buried,is_missing,is_illegible,St Bennet Fynck - Buried,is_missing,is_illegible,St Bennet Gracechurch - Buried,is_missing,is_illegible,St Bennet Paulswharf - Buried,is_missing,is_illegible,St Bennet Sherehog - Buried,is_missing,is_illegible,St Botolph Billingsgate - Buried,is_missing,is_illegible,Christ Church - Buried,is_missing,is_illegible,St Christophers - Buried,is_missing,is_illegible,St Clement Eastcheap - Buried,is_missing,is_illegible,St Dionis Backchurch - Buried,is_missing,is_illegible,St Dunstan East - Buried,is_missing,is_illegible,St Edmund Lumbardstr. - Buried,is_missing,is_illegible,St Ethelborough - Buried,is_missing,is_illegible,St Faith - Buried,is_missing,is_illegible,St Foster - Buried,is_missing,is_illegible,St Gabriel Fenchurch - Buried,is_missing,is_illegible,St George Botolphlane - Buried,is_missing,is_illegible,St Gregory by St Pauls - Buried,is_missing,is_illegible,St Hellen - Buried,is_missing,is_illegible,St James Dukes place - Buried,is_missing,is_illegible,St James Garlickhithe - Buried,is_missing,is_illegible,St John Baptist - Buried,is_missing,is_illegible,St John Evangelist - Buried,is_missing,is_illegible,St John Zachary - Buried,is_missing,is_illegible,St Katharine Coleman - Buried,is_missing,is_illegible,St Katharine Creechurch - Buried,is_missing,is_illegible,St Lawrence Jewry - Buried,is_missing,is_illegible,St Lawrence Pountney - Buried,is_missing,is_illegible,St Leonard Eastcheap - Buried,is_missing,is_illegible,St Leonard Fosterlane - Buried,is_missing,is_illegible,St Magnus Parish - Buried,is_missing,is_illegible,St Margaret Lothbury - Buried,is_missing,is_illegible,St Margaret Moses - Buried,is_missing,is_illegible,St Margaret Newfishstreet - Buried,is_missing,is_illegible,St Margaret Pattons - Buried,is_missing,is_illegible,St Mary Abchurch - Buried,is_missing,is_illegible,St Mary Aldermanbury - Buried,is_missing,is_illegible,St Mary Aldermary - Buried,is_missing,is_illegible,St Mary le Bow - Buried,is_missing,is_illegible,St Mary Bothaw - Buried,is_missing,is_illegible,St Mary Colechurch - Buried,is_missing,is_illegible,St Mary Hill - Buried,is_missing,is_illegible,St Mary Mounthaw - Buried,is_missing,is_illegible,St Mary Sommerset - Buried,is_missing,is_illegible,St Mary Stayning - Buried,is_missing,is_illegible,St Mary Woolchurch - Buried,is_missing,is_illegible,St Mary Woolnoth - Buried,is_missing,is_illegible,St Martin Iremongerlane - Buried,is_missing,is_illegible,St Martin Ludgate - Buried,is_missing,is_illegible,St Martin Orgars - Buried,is_missing,is_illegible,St Martin Outwich - Buried,is_missing,is_illegible,St Martin Vintrey - Buried,is_missing,is_illegible,St Matthew Fridaystreet - Buried,is_missing,is_illegible,St Maudlin Milkstreet - Buried,is_missing,is_illegible,St Maudlin Oldfishstreet - Buried,is_missing,is_illegible,St Michael Bassishaw - Buried,is_missing,is_illegible,St Michael Cornhil - Buried,is_missing,is_illegible,St Michael Crookedlane - Buried,is_missing,is_illegible,St Michael Queenhithe - Buried,is_missing,is_illegible,St Michael Quern - Buried,is_missing,is_illegible,St Michael Royal - Buried,is_missing,is_illegible,St Michael Woodstreet - Buried,is_missing,is_illegible,St Mildred Breadstreet - Buried,is_missing,is_illegible,St Mildred Poultrey - Buried,is_missing,is_illegible,St Nicholas Acons - Buried,is_missing,is_illegible,St Nicholas Coleabby - Buried,is_missing,is_illegible,St Nicholas Olaves - Buried,is_missing,is_illegible,St Olave Hartstreet - Buried,is_missing,is_illegible,St Olave Jewry - Buried,is_missing,is_illegible,St Olave Silverstreet - Buried,is_missing,is_illegible,St Pancras Pancras street - Buried,is_missing,is_illegible,St Peter Cheap - Buried,is_missing,is_illegible,St Peter Cornhil - Buried,is_missing,is_illegible,St Peter Paulswharf - Buried,is_missing,is_illegible,St Peter Poor - Buried,is_missing,is_illegible,St Steven Colemanstreet - Buried,is_missing,is_illegible,St Steven Walbrook - Buried,is_missing,is_illegible,St Swithin- Buried,is_missing,is_illegible,St Thomas Apostles - Buried,is_missing,is_illegible,Trinity Parish - Buried,is_missing,is_illegible,Christened in the 97 parishes within the walls,is_missing,is_illegible,Buried in the 97 parishes within the walls,is_missing,is_illegible,Plague in the 97 parishes within the walls,is_missing,is_illegible,St Andrew Holborn - Buried,is_missing,is_illegible,St Bartholomew Great - Buried,is_missing,is_illegible,St Bartholomew Less - Buried,is_missing,is_illegible,St Botolph Aldersgate - Buried,is_missing,is_illegible,St Botolph Aldgate - Buried,is_missing,is_illegible,St Botolph Bishopsgate - Buried,is_missing,is_illegible,Bridewel Precinct - Buried,is_missing,is_illegible,St Bridget - Buried,is_missing,is_illegible,St Dunstan West - Buried,is_missing,is_illegible,St George Southwark - Buried,is_missing,is_illegible,St Giles Cripplegate - Buried,is_missing,is_illegible,St John Southwark,is_missing,is_illegible,St Olave Southwark - Buried,is_missing,is_illegible,Saviours Southwark - Buried,is_missing,is_illegible,S Sepulchres Parish - Buried,is_missing,is_illegible,St Thomas Southwark - Buried,is_missing,is_illegible,Trinity Minories - Buried,is_missing,is_illegible,Pesthouse Without the Walls - Buried,is_missing,is_illegible,Christened in the parishes without the walls,is_missing,is_illegible,Buried in the parishes without the walls,is_missing,is_illegible,Plague in the parishes without the walls,is_missing,is_illegible,St. Ann in Middlesex - Buried,is_missing,is_illegible,Christ Church in Surry - Buried,is_missing,is_illegible,Christ Church in Middlesex - Buried,is_missing,is_illegible,St George in Bloomsbury - Buried,is_missing,is_illegible,St. George in Middlesex,is_missing,is_illegible,St. George by Queen's Square - Buried,is_missing,is_illegible,St Giles in the Field - Buried,is_missing,is_illegible,Hackney Parish - Buried,is_missing,is_illegible,St John at Wapping - Buried,is_missing,is_illegible,St James Clerkenwel - Buried,is_missing,is_illegible,St Katharine Tower - Buried,is_missing,is_illegible,Lambeth Parish - Buried,is_missing,is_illegible,St Leonard Shoreditch - Buried,is_missing,is_illegible,St. Luke in Middlesex - Buried,is_missing,is_illegible,St Magdalen Bermondsey - Buried,is_missing,is_illegible,St Mary Islington - Buried,is_missing,is_illegible,St Mary Newington - Buried,is_missing,is_illegible,St Mary Whitechappel - Buried,is_missing,is_illegible,St Matthew at Bethnal Green - Buried,is_missing,is_illegible,St Pauls Shadwel - Buried,is_missing,is_illegible,Rothorith Parish - Buried,is_missing,is_illegible,Stepney Parish - Buried,is_missing,is_illegible,Christened in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Buried in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Plague in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,St Ann in Westminster - Buried,is_missing,is_illegible,St Clement Danes - Buried,is_missing,is_illegible,St George by Hanover Square - Buried,is_missing,is_illegible,St James in Westminster - Buried,is_missing,is_illegible,St. John the Evangelist - Buried,is_missing,is_illegible,St Paul Covent Garden - Buried,is_missing,is_illegible,St Martin in the fields - Buried,is_missing,is_illegible,St Mary Savoy - Buried,is_missing,is_illegible,St Mary le Strand,is_missing,is_illegible,St Margaret Westminster - Buried,is_missing,is_illegible,Pesthouse in Westminster,is_missing,is_illegible,Christened in the Parishes and Liberties of Westminster,is_missing,is_illegible,Buried in the Parishes and Liberties of Westminster,is_missing,is_illegible,Plague in the Parishes and Liberties of Westminster,is_missing,is_illegible
1365,495,438,1,1704,,,11,,,Laxton-1704-11-recto,,,27,,,February,,,6,,,March,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,1,,,3,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,3,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,3,,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,4,,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,30,,,38,,,,1,,19,,,4,,,,1,,6,,,9,,,4,,,,1,,2,,,1,,,9,,,23,,,,1,,14,,,14,,,5,,,2,,,,1,,,1,,98,,,112,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,24,,,2,,,2,,,4,,,4,,,2,,,9,,,,1,,4,,,,1,,2,,,13,,,,1,,6,,,,1,,24,,,94,,,98,,,,1,,6,,,13,,,,1,,20,,,,1,,2,,,31,,,3,,,,1,,21,,,,1,,73,,,96,,,,1,
1537,547,406,1,1705,,,11,,,Laxton-1705-11-recto,,,,1,,,1,,5,,,March,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,1,,,1,,,1,,,,1,,,1,,2,,,2,,,1,,,,1,,1,,,3,,,,1,,,1,,1,,,,1,,,1,,5,,,,1,,,1,,1,,,4,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,2,,,1,,,2,,,,1,,1,,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,2,,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,1,,,1,,,,1,,1,,,32,,,55,,,,1,,21,,,1,,,,1,,2,,,11,,,3,,,,1,,9,,,5,,,6,,,22,,,,1,,21,,,16,,,20,,,2,,,,1,,,1,,94,,,139,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,24,,,1,,,8,,,6,,,7,,,,1,,15,,,,1,,9,,,3,,,4,,,14,,,,1,,10,,,4,,,38,,,111,,,145,,,,1,,11,,,12,,,,1,,21,,,,1,,4,,,28,,,2,,,,1,,13,,,,1,,73,,,91,,,,1,
1674,598,845,1,1706,,,11,,,Laxton-1706-11-recto,,,,1,,,1,,25,,,February,,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,3,,,2,,,1,,,2,,,,1,,1,,,5,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,3,,,1,,,,1,,,1,,2,,,4,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,2,,,36,,,50,,,,1,,12,,,1,,,1,,,4,,,10,,,15,,,,1,,5,,,1,,,13,,,42,,,,1,,8,,,12,,,14,,,2,,,,1,,,1,,117,,,140,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,20,,,,1,,6,,,9,,,5,,,3,,,6,,,,1,,5,,,3,,,4,,,13,,,,1,,10,,,,1,,37,,,109,,,123,,,,1,,12,,,10,,,,1,,17,,,,1,,3,,,31,,,4,,,,1,,12,,,,1,,62,,,89,,,,1,
1847,651,403,1,1707,,,11,,,Laxton-1707-11-recto,,,,1,,,1,,2,,,March,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,3,,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,2,,,,1,,2,,,,1,,,1,,,1,,1,,,2,,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,4,,,1,,,,1,,1,,,1,,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,5,,,,1,,,1,,,1,,,1,,26,,,43,,,,1,,22,,,1,,,1,,,1,,,18,,,13,,,1,,,10,,,3,,,8,,,23,,,,1,,16,,,13,,,12,,,2,,,,1,,,1,,112,,,144,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,38,,,,1,,7,,,11,,,2,,,2,,,8,,,,1,,11,,,2,,,2,,,11,,,,1,,11,,,4,,,41,,,122,,,151,,,,1,,14,,,18,,,,1,,23,,,,1,,3,,,35,,,2,,,,1,,25,,,,1,,68,,,120,,,,1,
1989,703,513,1,1708,,,11,,,Laxton-1708-11-recto,,,,1,,,1,,1,,,March,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,4,,,2,,,,1,,,1,,3,,,1,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,2,,,2,,,2,,,1,,,,1,,,1,,,1,,4,,,1,,,,1,,1,,,,1,,,1,,,1,,1,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,2,,,,1,,,1,,4,,,1,,,,1,,,1,,,1,,3,,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,1,,,1,,,1,,,,1,,1,,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,1,,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,5,,,1,,,1,,,,1,,1,,,50,,,70,,,,1,,30,,,2,,,2,,,3,,,19,,,14,,,1,,,8,,,3,,,9,,,24,,,,1,,15,,,14,,,21,,,3,,,,1,,,1,,99,,,168,,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,34,,,1,,,6,,,6,,,2,,,2,,,8,,,,1,,10,,,2,,,3,,,15,,,,1,,10,,,7,,,43,,,111,,,153,,,,1,,11,,,7,,,,1,,28,,,,1,,4,,,36,,,1,,,,1,,20,,,,1,,78,,,107,,,,1,
2161,755,678,1,1709,,,11,,,Laxton-1709-11-recto,,,,1,,,1,,28,,,February,,,1,,,4,,,,1,,2,,,,1,,1,,,,1,,,1,,1,,,1,,,,1,,2,,,,1,,4,,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,1,,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,2,,,,1,,,1,,4,,,2,,,3,,,,1,,1,,,1,,,,1,,1,,,,1,,,1,,1,,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,,1,,,1,,2,,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,4,,,,1,,1,,,1,,,,1,,31,,,63,,,,1,,32,,,3,,,,1,,3,,,12,,,12,,,,1,,8,,,4,,,14,,,35,,,,1,,13,,,16,,,20,,,1,,,,1,,,1,,88,,,173,,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,29,,,3,,,7,,,13,,,4,,,3,,,15,,,,1,,8,,,2,,,12,,,6,,1,,1,,11,,,3,,,50,,,103,,,180,,,,1,,3,,,12,,,,1,,19,,,,1,,6,,,37,,,3,,,,1,,19,,,,1,,72,,,89,,,,1,
2348,807,632,1,1710,,,11,,,Laxton-1710-11-recto,,,,1,,,1,,17,,,February,,,1,,,,1,,,1,,3,,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,2,,,,1,,6,,,,1,,1,,,2,,,1,,,,1,,2,,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,3,,,3,,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,3,,,,1,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,,1,,1,,,3,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,2,,,2,,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,35,,,61,,,,1,,24,,,,1,,,1,,4,,,12,,,10,,,2,,,8,,,4,,,10,,,27,,,,1,,11,,,13,,,14,,,5,,,,1,,,1,,95,,,144,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,31,,,1,,,7,,,4,,,2,,,5,,,10,,,,1,,10,,,4,,,3,,,11,,,,1,,11,,,,1,,36,,,78,,,137,,,,1,,7,,,12,,,,1,,27,,,,1,,5,,,32,,,9,,,,1,,32,,,,1,,70,,,121,,,,1,
2504,859,859,1,1711,,,11,,,Laxton-1711-11-recto,,,,1,,,1,,26,,,February,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,1,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,3,,,,1,,,1,,1,,,1,,,1,,,1,,,,1,,4,,,,1,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,2,,,,1,,,1,,3,,,1,,,,1,,,1,,,1,,24,,,44,,,,1,,23,,,3,,,,1,,5,,,16,,,5,,,,1,,10,,,5,,,8,,,37,,,,1,,20,,,11,,,8,,,4,,,,1,,,1,,98,,,,,1,,1,,,1,,3,,,,1,,,1,,,1,,,1,,27,,,,1,,6,,,15,,,3,,,5,,,13,,,,1,,7,,,2,,,,1,,17,,,,1,,8,,,4,,,44,,,112,,,154,,,,1,,14,,,18,,,,1,,26,,,,1,,1,,,39,,,4,,,,1,,26,,,,1,,52,,,128,,,,1,
2663,912,664,1,1712,,,11,,,Laxton-1712-11-recto,,,,1,,,1,,3,,,March,,,1,,,1,,,,1,,1,,,,1,,1,,1,,1,,,1,,,1,,1,,,,1,,1,,,1,,,1,,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,1,,,1,,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,2,,,2,,,,1,,1,,,,1,,,1,,1,,,3,,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,1,,1,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,2,,,1,,,39,,,44,,,,1,,10,,,,1,,1,,,3,,,9,,,6,,,1,,,2,,,3,,,5,,,17,,,,1,,18,,,10,,,12,,,5,,,,1,,,1,,95,,,102,,,,1,,,1,,6,,,,1,,,1,,,1,,,1,,24,,,2,,,7,,,5,,,,1,,6,,,7,,,,1,,9,,,,1,,,1,,12,,,,1,,4,,,7,,,33,,,95,,,122,,,,1,,4,,,13,,,,1,,24,,,,1,,3,,,24,,,3,,,,1,,17,,,,1,,62,,,88,,,,1,
2839,964,1035,1,1713,,,11,,,Laxton-1713-11-recto,,,,1,,,1,,2,,,March,,,1,,,1,,,,1,,2,,,,1,,,1,,,1,,1,,,2,,,,1,,,1,,,1,,2,,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,3,,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,3,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,2,,,,1,,,1,,,1,,,1,,,1,,2,,,2,,,1,,,,1,,,1,,,1,,2,,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,2,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,3,,,1,,,35,,,50,,,,1,,25,,,1,,,,1,,,1,,15,,,11,,,1,,,12,,,4,,,7,,,26,,,,1,,16,,,8,,,9,,,1,,,,1,,,1,,122,,,136,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,35,,1,4,,,2,,,6,,,,1,,1,,,15,,,,1,,10,,,4,,,6,,,18,,,,1,,12,,,5,,,56,,,104,,,175,,,,1,,8,,,7,,,,1,,27,,,,1,,4,,,38,,,8,,,,1,,12,,,,1,,99,,,104,,,,1,
2995,1016,743,1,1714,,,11,,,Laxton-1714-11-recto,,,,1,,,1,,1,,,March,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,1,,,4,,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,2,,,2,,,,1,,2,,,,1,,,1,,1,,,2,,,2,,,,1,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,2,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,2,,,,1,,1,,,2,,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,1,,,1,,,,1,,,1,,,1,,3,,,1,,,1,,,2,,,,1,,1,,,,1,,,1,,29,,,55,,,,1,,24,,,,1,,1,,,4,,,12,,,9,,,2,,,13,,,5,,,13,,,36,,,,1,,21,,,14,,,17,,,5,,,,1,,,1,,122,,,176,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,35,,,10,,,3,,,11,,,5,,,7,,,13,,,,1,,7,,,5,,,5,,,20,,,,1,,7,,,,1,,38,,,100,,,169,,,,1,,12,,,10,,,,1,,23,,,,1,,2,,,29,,,5,,,,1,,14,,,,1,,81,,,95,,,,1,
3151,1068,892,1,1715,,,11,,,Laxton-1715-11-recto,,,,1,,,1,,28,,,February,,,,1,,2,,,,1,,3,,,,1,,,1,,,,1,2,,,2,,,2,,,,1,,2,,,1,,,1,,,2,,,1,,,,1,,,1,,1,,,1,,,2,,,,1,,,1,,2,,,2,,,1,,,,1,,1,,,1,,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,6,,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,2,,,,1,,2,,,1,,,,1,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,1,,,1,,,,1,,1,,,,1,1,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,1,,,,1,,1,,,42,,,62,,,,1,,18,,,1,,,2,,,,1,,17,,,13,,,,1,,8,,,1,,,11,,,25,,,,1,,16,,,15,,,7,,,1,,,1,,,,1,,130,,,136,,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,29,,,3,,,5,,,5,,,3,,,9,,,8,,,,1,,11,,,2,,,9,,,15,,,,1,,9,,,6,,,30,,,119,,,148,,,,1,,11,,,4,,,,1,,29,,,,1,,7,,,38,,,2,,,,1,,32,,,,1,,103,,,123,,,,1,
3466,1173,1316,1,1717,,,11,,,Laxton-1717-11-recto,,,,1,,,1,,4,,,March,,,,1,,,1,,1,,,1,,,,1,,1,,,1,,,,1,,2,,,,1,,,1,,1,,,1,,,,1,,2,,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,4,,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,3,,,2,,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,1,,,4,,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,2,,,1,,,,1,,2,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,4,,,,1,,2,,,,1,,,1,,1,,,1,,,1,,,1,,,2,,,,1,,,1,,,1,,47,,,61,,,,1,,29,,,,1,,,1,,,1,,16,,,13,,,,1,,15,,,4,,,5,,,21,,,,1,,17,,,10,,,13,,,2,,,,1,,,1,,98,,,145,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,25,,,3,,,4,,,10,,,2,,,4,,,11,,,,1,,9,,,3,,,5,,,16,,,,1,,7,,,3,,,33,,,121,,,136,,,,1,,8,,,6,,,,1,,27,,,,1,,9,,,27,,,2,,,,1,,16,,,,1,,67,,,95,,,,1,
3622,1225,2163,1,1718,,,11,,,Laxton-1718-11-recto,,,,1,,,1,,3,,,March,,,,1,,1,,,,1,,3,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,2,,,9,,,,1,,,1,,,1,,,1,,37,,,42,,,,1,,24,,,3,,,1,,,,1,,17,,,10,,,,1,,5,,,3,,,12,,,26,,,,1,,13,,,16,,,16,,,6,,,1,,,,1,,131,,,153,,,,1,,,1,,7,,,,1,,,1,,,1,,,1,,28,,,3,,,11,,,11,,,10,,,8,,,17,,,,1,,17,,,3,,,,1,,16,,,,1,,9,,,9,,,40,,,122,,,189,,,,1,,8,,,11,,,,1,,22,,,,1,,3,,,45,,,6,,,,1,,24,,,,1,,82,,,119,,,,1,
