"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,"Week Number","Unique Identifier","Start Day","Start Month","End Day","End Month",Aged,Ague,Apoplexy,Asthma,Bed-ridden,Blasted,Bleeding,Bloody-flux,Calenture,Cancer,Canker,"Chicken Pox",Child-Bed,Chrisoms,Cold,Colick,Consumption,Convulsion,Cough,Cramp,Diabetes,Dropsie,Falling-sickness,Fever,Fistula,"Flox and Small-Pox","Flox and Small-Pox (Descriptive Text)",Flux,French-Pox,Frets,Gangreen,Gout,Gravel,Grief,"Griping in the Guts",Headache,Headmouldshot,"Hooping Cough",Hiccough,Horshoehead,Impostume,Infants,Inflammation,Itch,Jaundies,Jaw-fallen,"Kings Evil",Leprosie,Lethargy,Liver-grown,Looseness,"Lunatick and Frenzy","Malignant Fever",Meagrim,Measles,Miscarriage,Mortification,Mother,"Noli me tangere",Palsie,Plague,Planet,Plurisie,Purples,Quinsie,Rash,Rheumatism,Rickets,"Rising of the Lights","Running of the Reins",Rupture,"Scald Head","Scarlet Fever",Sciatica,Scowring,Scurvy,Sores,Shingles,Spleen,Spotted-Fever,"St. Anthony's Fire",Starved,"Starved (Descriptive Text)",Stone,"Stopping of the Stomach",Strangury,Strongullion,Suddenly,Surfeit,"Swelling in the Throat",Swine-Pox,Teeth,Thrush,Tissick,Tympany,"Twisting of the Guts",Ulcer,Vapours,Vomiting,"Water in the Head",Wen,Wind,Wolf,Worms,Abortive,Overlaid,Still-born,Drowned,"Drowned (Descriptive Text)","Found Dead","Found Dead (Descriptive Text)",Executed,"Executed (Descriptive Text)",Killed,"Killed (Descriptive Text)",Suicide,"Suicide (Descriptive Text)",Other,"Other (Descriptive Text)","Christened (Male)","Christened (Female)","Christened (In All)","Buried (Male)","Buried (Female)","Buried (All)","Increase/Decrease in Burials"
778,14527,1160,1,1701,40,Laxton-1701-40-verso,16,September,23,September,22,,4,,,,,,,1,,,2,,,4,46,105,,,,7,,57,1,16,,,1,,1,,,,33,,,,,,1,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,2,,,,,4,,,2,,,,24,1,1,,,1,,2,,,,,1,3,,14,,,,,,,,,2,"Hang'd herself (being distracted) at St. Clement Danes 1; Poyson'd himself (being Lunatick) at St Mary in Whitechappel 1 
",2,"Burnt at St Bennet at Paulswharf 1; Kill'd by a Fall from a house  at St. James in Westminster 1 ",155,163,318,173,196,369,-8
820,14529,1162,1,1701,42,Laxton-1701-42-verso,30,September,7,October,24,,,,1,,,1,,2,,,1,,,3,42,92,,,,12,,43,1,13,,,,,1,,,,20,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,10,1,,1,,,,,,,,,1,,,,1,9,,,1,,,,31,,3,1,,,,,1,,,,1,1,2,16,2,"One in Thames at St Paul Shadwel. And one at St Martin in the Fields. ",2,"One a Male Child at St Botolph by Bishopsgate. And one in the Thames at St Dunstan at Stepney. ",,,1,"Murder'd at St Giles by Cripplegate 1. ",,,,,162,133,295,178,167,345,-17
885,14547,1111,1,1702,15,Laxton-1702-15-verso,24,March,31,March,27,,1,,,,1,,,,,,3,,,2,47,106,,,,15,,46,1,5,"flox 0; small-pox 5",,1,,1,,,,18,,,,,,2,,,,3,,3,,,,,1,,,,,,,,,,,,,,,,8,3,,1,,,,,,,,,,,,,,2,,,1,1,,,31,,12,,,,,,,,,,,,3,13,1,"Drown'd in St James's Park, Buried at St Mary at Lambeth 1",,,,,,,,,,,145,151,296,187,173,360,-26
886,14548,1112,1,1702,16,Laxton-1702-16-verso,31,March,7,April,33,,,,,,1,,,,1,,7,,,,58,81,1,,,17,,46,,2,"flox 0; small-pox 2",,,,,,,,14,,,,,,1,1,,,3,,2,,,1,,2,,,1,,,,,2,,,,,1,,1,11,4,,,,,,,,,,,1,,,,,7,,,,,,,18,,9,,,1,,,1,,,,1,1,2,9,,,,,,,,,,,3,"Bursten 1; Kill'd...One by an accidental Fall out of a Window at St Leonard in Shoreditch 1; Kill'd...one accidentally by a Fall on a Stake at St Paul at Shadwel 1",152,130,282,171,173,344,-16
887,14549,1113,1,1702,17,Laxton-1702-17-verso,7,April,14,April,28,,1,,,,,,,1,,,8,1,,1,49,104,,,,16,,52,2,1,"flox 0; small-pox 1",1,1,,,1,,,22,,,,,,,1,,,,,2,,,,,2,,,5,,,,,,,,1,,1,,,11,1,,,,,,,1,2,,1,1,,,,1,4,,,,4,,,25,1,3,1,,,,,,,,,2,,1,8,3,"One in the River Thames at St Dunstan in the East 1; One accidentally at St Olave in Southwark 1; And one in the River of Thames at St John at Wapping 1",,,,,,,1,"Hang'd herself (being Lunatick) at St Giles without Cripplegate 1",2,"Sore Breast 1; Sore Leg 1",160,148,308,202,170,372,28
888,14550,1119,1,1702,18,Laxton-1702-18-verso,14,April,21,April,40,,5,,,,,,,2,,,2,,,4,48,110,1,,,13,,53,1,,,,1,,,1,,,26,,,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,1,9,,,,,,,,,,,1,1,2,,,3,6,,,,3,,,29,1,4,,,,,,,,,,,,1,10,1,"Drown'd accidentally at St Olave in Southwark 1",,,,,,,,,,,144,171,315,212,176,388,16
889,14551,1120,1,1702,19,Laxton-1702-19-verso,21,April,28,April,23,,2,,,,1,,,,,,4,2,,3,49,102,,,,8,,52,1,3,"flox 0; small-pox 3",,,,,,,,21,,1,,,,2,,,,2,,1,,,,,,,,2,,,,,,,,,,,,1,6,,,,,,,,,,,,1,,,,1,1,,,2,3,,,33,1,2,,,,,1,,,,,,6,3,12,,,,,,,,,,,,,096,186,282,176,176,352,-36
890,14552,1121,1,1702,20,Laxton-1702-20-verso,28,April,5,May,27,,1,,,,,,,1,1,,1,1,,3,60,103,,,,16,,59,,5,"flox 0; small-pox 5",,,,,1,,1,26,,,,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,1,,,,,2,,,,7,,,1,2,,,26,,4,,,1,,,,,,,,,1,8,1,"Drowned accidentally in the River of Thames at St Paul at Shadwel 1",2,"One at St Andrew in Holborn . And one at St Martin in the Fields ",,,1,"Found murthered at St Bridget alias Brides",,,1,"Swelling in the Hip",158,152,310,198,183,381,29
891,14553,1122,1,1702,21,Laxton-1702-21-verso,5,May,12,May,27,,3,,,,,,,,,,5,,,2,52,122,,,,13,,49,2,1,"flox 0; small-pox 1",,1,,,,,,20,,,,,,1,,,,1,,2,,,,,,,,,,1,,,1,,,,1,,,1,7,3,,,,,,,,,,,,,,,,6,,,1,2,,,31,,3,,,1,,,,,,,,2,3,9,5,"One accidentally in the River of Thames at Alhallows the Less. One accidentally in a Pond of Water at St Olavve in Southwark.  Two accidentally in the River of Thames at St John Wapping. One in the River of Thames at St Paul at Shadwel",,,,,1,"Murthered with a Knife at St Stephen in Colemanstreet 1",2,"And one drowned himself (being distracted) at St James in Westminster 1; Hang'd himself (being Lunatick) at St Boltoph without Bishopsgate 1",3,"Kil'd...One at St Giles in the Fields 1; Kil'd... one at St Martin in the Fields 1;  Choaked with Fat 1",161,143,304,190,195,385,4
892,14554,1123,1,1702,22,Laxton-1702-22-verso,12,May,19,May,25,,,,,,1,,,,,,2,1,,2,42,106,,,,13,,58,,10,"flox 0; small-pox 10",,,,,1,,,25,,,,,,2,,,,,,4,,,1,,,,,2,,,,,,,,,,,,,13,4,,,,,,,,,,,,,,,2,7,,,1,1,,,19,,,,,,,,,,,,1,4,3,10,3,"Two at St Dunstan at Stepney. And one at St Mary Magdalen Bermondsey",,,,,,,1,"Hang'd himself (being Lunatick) at St Mary at Lambeth 1",2,"Died in the Street at St Andrew in Holborn 1; Kill'd by an accidental Fall from one if the Pillars of the Exchange, Buried at St Leonard in Shoreditch 1",148,142,290,184,182,366,-19
893,14555,1124,1,1702,23,Laxton-1702-23-verso,19,May,26,May,21,,2,,,,,,,2,,,,,,3,53,110,2,,,14,,56,,5,"flox 0; small-pox 5",,,,,,,,22,,,,,,2,,,,1,,2,,1,,,1,,,,,,,,,,,1,,1,,,8,3,,,,,,,,,,,,1,,,,4,,,2,,,,18,1,4,,,,,,,,,,1,2,2,12,1,"Drowned at St Saviour in Southwark 1",,,,,2,"One by a Pistol Bullet at St Giles without Cripplegate 1; Murthered at St James in Westminster 1",,,1,"Kill'd...one by a Horse at St Martin in the Fields 1",155,132,287,172,189,361,-5
1074,14608,1138,1,1703,24,Laxton-1703-24-verso,25,May,1,June,16,,1,,,,,,,2,,,3,,,1,57,99,,,,20,,60,,18,"flox 0; small-pox 18",,1,,,2,,,12,,,1,,,1,,,,3,,3,,,,,,,,6,,,,,,,,,,,,1,7,1,,1,,,,,,,,,5,,,,2,5,,,,1,,,24,1,1,,,,,,,,,,,3,,6,2,"One at St Andrew in Holborn: And one in Fleet-Ditch, Buried at St Giles without Cripplegate.",,,,,,,,,2,"Burnt accidentally by a Candle at St Bartholomew by the Exchange I.;
Killed with a Kick of an Horse at St Margaret in Lothbury 1. ",121,128,249,185,182,367,-6
1089,14623,1075,1,1703,39,Laxton-1703-39-verso,7,September,14,September,40,,1,,1,,,,,2,,,4,1,,3,60,119,,,,16,,112,1,32,"flox 0; small-pox 32",,2,,,,,,26,,1,1,,,1,1,,,2,,,,,1,,,,,,,,,,1,,,,,,,,9,,,,,,,,,,,,3,,,,,9,1,,1,3,,,25,1,2,,,,,1,,,,,,4,,9,,,,,,,,,1,"Hang'd hreself at St Dunstan at Stpeney",,,171,183,354,253,244,497,36
1090,14624,1077,1,1703,40,Laxton-1703-40-recto,14,September,21,September,33,1,,,,,,,,,,,6,1,,1,51,87,,,,17,,90,,25,"flox 0; small-pox 25",,1,,,1,,,21,,,,,,2,2,2,,3,,4,,,2,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,1,,,,,5,1,,2,,,,9,,7,1,,,,,1,,,,,2,,9,1,"Drowned accidentally in the Thames at St Paul at Shadwel",,,,,1,"Killed by a Coach at St Ann in Westminster",,,,,123,126,249,202,192,394,-103
1132,14625,1079,1,1703,41,Laxton-1703-41-verso,21,September,28,September,34,,,,,,,,,1,,,7,1,,1,38,96,,,,11,,66,,32,"flox 0; small-pox 32",,,,,,,,16,,,,,,3,1,,,2,,1,,1,,,,,,1,,,,,1,,,2,,1,,,1,1,,,,,,,1,,,,3,,,,1,4,,,1,1,,,22,1,10,,,3,,,,,,,,,1,6,,,,,,,,,,,1,"Sore Leg",154,143,297,182,191,373,-21
1135,14628,1091,1,1703,44,Laxton-1703-44-verso,12,October,19,October,40,,1,,,,,,,2,,,2,1,,1,65,91,,,,19,,56,,26,"flox 0; small-pox 26",,3,,,,,,18,,,,,,1,,,,2,,2,,,,,,,,,,2,,,,,,,,1,,,11,,,,,,,,,,,,,,,,1,5,,,1,1,,,16,1,6,,,1,,,,,,,,,1,18,1,"Drowned in the Thames at St Margaret in Westmister",2,"One in the New River at St. James at Clerkenwel. And (a Male Infant) in a Coffin at St Paul in Covent Garden.",,,,,,,4,"Bruise in the Head 1; Sore Leg 1; One at St James in Wesminster 1; And one by an Horse at St James in Westminster, Buried at St Martin in the Fields 1",143,160,303,211,191,402,45
6749,16229,959,1,1722,44,Laxton-1722-44-verso,,,16,October,48,,1,2,,,,,,1,1,,2,,,2,69,165,,,,15,,69,,58,,,,,,2,,,16,,,1,,2,,,,,1,,,,,,,2,,1,4,,4,,,,,,1,1,,,,4,3,,1,,,,,,,,,,,,,3,3,1,,1,,,,39,3,9,1,,1,,1,2,,,,3,,2,15,,,1,,,,,,,,,,199,162,351,277,285,562,-13
