notesID|weekID|billsection|inputternote|notetype
132|1771/06|ages|Last column cropped off corner, 70-80 onwards.|part missing: damaged
133|1771/13|ages|Additional count, could not find discrepancy|totals discrepancy
134|1771/22|ages|70-80 and upwards cropped from bill|part missing: damaged
135|1771/49|ages|70-80 onwards cropped from page|part missing: damaged
136|1771/51|ages|90 additional counts, possibly first 2 digits of 'under 2' switched from 123 to 213 in typeset error|totals discrepancy
137|1772/28|ages|9 additional counts, probably linked to discrepancy in burial totals|totals discrepancy
138|1772/42|ages|18 missing counts, could not find discrepancy|totals discrepancy
139|1772/44|ages|Missing counts, fiche faded for 'under 2' and 2-5|part missing: illegible
140|1772/50|ages|Additional count, could not find discrepancy|totals discrepancy
141|1773/08|ages|100 missing causes, could not find discrepancy|totals discrepancy
142|1773/22|ages|10 additional counts, could not find discrepancy|totals discrepancy
143|1773/38|ages|Missing ages and count from fiche for 60-70, 20 missing from total so included as that|part missing: damaged
144|1773/40|ages|Bottom of bill cropped, 30-40, 60-70 and 90-100 cropped from page|part missing: damaged
145|1773/43|ages|Missing bill - noted as 'original bill could not be found' for week 43|no Bill
146|1773/45|ages|Missing count, and 100 upwards cropped from base of bill|part missing: damaged
147|1773/46|ages|Missing count, and 100 upwards cropped from base of bill|part missing: damaged
148|1774/10|ages|Bill for week 10 missing - 'original bill cannot be located for this week' noted in fiche|no Bill
149|1774/36|ages|37 missing counts, could not find discrepancy|totals discrepancy
150|1774/46|ages|Missing count, 100 upwards cropped from page, could not find discrepancy|totals discrepancy
151|1775/19|ages|Missing count, possibly due to error in overall total|totals discrepancy
152|1775/45|ages|Bottom of bill cropped, 10-20, 50-60 and 90 onwards all missing|part missing: damaged
153|1775/48|ages|Bottom of bill cropped, 10-20, 50-60 and 90 onwards all missing|part missing: damaged
154|1775/51|ages|Bottom of bill slightly cropped, 90-100 missing|part missing: damaged
155|1776/13|ages|20 missing causes, could not find discrepancy|totals discrepancy
156|1777/02|ages|Bill faded out|legibility
157|1777/10|ages|100 additional counts, could not find discrepancy|totals discrepancy
158|1777/11|ages|Missing count, could not find discrepancy|totals discrepancy
159|1778/33|ages|5 additional counts, could not find discrepancy|totals discrepancy
160|1779/09|ages|10 additional counts, could not find discrepancy|totals discrepancy
161|1779/39|ages|2 missing ages, could not find discrepancy|totals discrepancy
162|1780/05|ages|3 missing counts, could not find discrepancy|totals discrepancy
163|1780/31|ages|10 additional counts, could not find discrepancy|totals discrepancy
164|1781/52|ages|36 missing counts, probably linked to total discrepancy|totals discrepancy
165|1782/10|ages|9 additional counts, could not find discrepancy|totals discrepancy
166|1782/25|ages|10 missing counts, could not find discrepancy|totals discrepancy
167|1782/26|ages|Additional count, could not find discrepancy|totals discrepancy
168|1782/36|ages|42 missing burials, bottom of bill cropped and 10-20 and 50-60 missing from sheet|part missing: damaged; totals discrepancy
169|1784/24|ages|20 additional counts, probably due to error in totals|totals discrepancy
170|1784/34|ages|10 additional counts, could not find discrepancy|totals discrepancy
171|1785/13|ages|100 missing counts, probably due to discrepancies in total|totals discrepancy
172|1786/05|ages|100 missing counts, probably linked to totals discrepancy|totals discrepancy
173|1786/19|ages|40-50 obscured by overlaid text|part missing: illegible
174|1786/32|ages|5 additional counts, could not find discrepancy|totals discrepancy
175|1786/36|ages|20 missing counts, probably due to error in total|totals discrepancy
176|1787/52|ages|20 additional counts, could not find discrepancy|totals discrepancy
177|1788/02|ages|Original bill for week 2 missing.|no Bill
178|1788/28|ages|10 missing counts, could not find discrepancy|totals discrepancy
179|1789/10|ages|100 additional counts, probably due to error in totals|totals discrepancy
180|1789/21|ages|9 additional counts could not find discrepancy|totals discrepancy
181|1791/01|ages|22 missing counts - could not find discrepancy|totals discrepancy
182|1791/37|ages|Original bill could not be located for week 37.|no Bill
183|1792/01|ages|Week 1 missing, original bill not located|no Bill
184|1792/33|ages|9 missing counts, could not find discrepancy|totals discrepancy
185|1792/46|ages|2 additional counts, could not find discrepancy|totals discrepancy
186|1794/48|ages|10 missing counts, could not find discrepancy|totals discrepancy
187|1795/11|ages|30 missing counts, probably due to error in totals|totals discrepancy
188|1795/15|ages|5 additional counts, could not find discrepancy|totals discrepancy
189|1795/22|ages|Original bill cannot be located for week 22|no Bill
190|1795/39|ages|90 missing counts, probably due to error in totals|totals discrepancy
191|1795/45|ages|3 additional ounts, could not find discrepancy|totals discrepancy
192|1795/52|ages|Additional count, could not find discrepancy|totals discrepancy
193|1796/17|ages|3 missing counts, could not find discrepancy|totals discrepancy
194|1796/30|ages|2 missing causes, could not find discrepancy|totals discrepancy
195|1797/47|ages|20 missing counts, probably linked to discrepancy in total burials|totals discrepancy
196|1799/05|ages|Original bill for week 5 missing|no Bill
197|1800/08|ages|10 additional counts, could not find discrepancy|totals discrepancy
198|1800/16|ages|Missing count, could not find discrepancy|totals discrepancy
199|1800/44|ages|2 additional age counts, could not find discrepancy|totals discrepancy
200|1800/52|ages|605 missing counts, could not find discrepanies|totals discrepancy
201|1801/28|ages|Missing count, could not find disrepancy|totals discrepancy
202|1801/31|ages|3 missing counts, could not find discrepancy|totals discrepancy
203|1802/05|ages|70 missing counts, could not find discrepancy|totals discrepancy
204|1802/11|ages|3 additional counts, could not find discrepancy|totals discrepancy
205|1802/43|ages|Additional count, probably linked to discrepancy in total|totals discrepancy
206|1803/12|ages|3 additional counts, could not find discrepancy|totals discrepancy
207|1803/18|ages|3 missing counts, could not find discrepancy|totals discrepancy
208|1803/41|ages|2 missing counts, could not find discrepancy|totals discrepancy
209|1804/01|ages|6 missing counts, could not find discrepancy|totals discrepancy
210|1804/02|ages|Week 2 missing, original bill could not be found|no Bill
211|1804/30|ages|11 additional counts, could not find discrepancy|totals discrepancy
212|1804/45|ages|18 additional counts, due to errors in totals|totals discrepancy
213|1805/44|ages|Additional burial, could not find discrepancy|totals discrepancy
214|1806/02|ages|4 missing counts, could not find discrepancy|totals discrepancy
215|1806/34|ages|3 missing causes, could not find discrepancy|totals discrepancy
216|1807/12|ages|2 additional counts, could not find discrepancy|totals discrepancy
217|1807/14|ages|76 missing counts, error most probably in Under 2 category as 17 is very low for this count.|totals discrepancy
218|1811/38|ages|60 additional counts, could not find discrepancy|totals discrepancy
219|1812/24|ages|4 additional causes, could not find discrepancy|totals discrepancy
220|1812/36|ages|5 missing counts, could not find discrepancy|totals discrepancy
221|1814/48|ages|12 additional counts, could not find discrepancy|totals discrepancy
222|1815/43|ages|Original bill missing for week 43|no Bill
223|1816/11|ages|80-90 missing, 13 missing from total, included as 13|totals discrepancy
224|1816/30|ages|Additional count, could not find discrepancy|totals discrepancy
225|1816/40|ages|9 additional counts, could not  find discrepancy|totals discrepancy
226|1816/41|ages|10 additional counts, could not  find discrepancy|totals discrepancy
227|1818/05|ages|Ages fairly faded and hard to make out|legibility
228|1819/41|ages|Bottom of page faded, 80 onwards missing, 12 counts missing|part missing: illegible
229|1820/41|ages|Additional count, could not find discrepancy|totals discrepancy
230|1821/15|ages|10 additional counts, could not find discrepancy|totals discrepancy
231|1821/48|ages|90 missing counts, probably due to discrepancy in total|totals discrepancy
232|1822/05|ages|Blotch over 70-80, 40 missing from total, included as 40|legibility
233|1822/35|ages|70-80 faded out, 16 missing from total, included as 16|legibility
234|1822/42|ages|10 missing counts, could not find discrepancy|totals discrepancy
235|1823/05|ages|10 missing counts, could not find discrepancy|totals discrepancy
236|1823/53|ages|20 additional counts, could not find discrepancy|totals discrepancy
237|1824/04|ages|9 missing counts, probably due to error in total|totals discrepancy
238|1824/13|ages|Missing count, could not find discrepancy|totals discrepancy
239|1824/29|ages|Missing count, could not find discrepancy|totals discrepancy
240|1824/32|ages|6 missing counts, could not find discrepancy|totals discrepancy
241|1824/48|ages|2 missing counts, could not find discrepancy|totals discrepancy
242|1825/21|ages|50-60 obscured, 36 missing from total, included as 36|totals discrepancy
243|1825/39|ages|30-40 mostly obscured by blotch, 24 missing from total, included as 24|totals discrepancy
244|1825/51|ages|Additional count, could not find discrepancy|totals discrepancy
245|1826/08|ages|7 missing counts, could not find discrepancy|totals discrepancy
246|1827/22|ages|1 missing count, could not find discrepancy|totals discrepancy
247|1828/25|ages|Missing count, could not find discrepancy|totals discrepancy
248|1828/47|ages|5 additional counts, could not find discrepancy|totals discrepancy
249|1829/05|ages|Missing count, could not find discrepancy|totals discrepancy
250|1830/03|ages|Week 3 bill missing from records|no Bill
251|1830/32|ages|Additional count, could not find discrepancy|totals discrepancy
252|1830/42|ages|Bill for week 42 missing|no bill
253|1831/02|ages|Week 2 bill missing|no Bill
254|1831/06|ages|3 missing counts, probably due to error in total|totals discrepancy
255|1831/11|ages|No age counts recorded on bill|missing
256|1831/31|ages|10 missing counts, could not find discrepancy|totals discrepancy
257|1831/42|ages|Additional count, probably due to error in totals|totals discrepancy
258|1837/01|ages|Week 1 bill missing|no Bill
259|1837/39|ages|3 missing counts, probably due to error in totals|totals discrepancy
260|1837/40|ages|Image blurred and hard to make out|legibility
261|1840/28|ages|22 missing counts, probably linked to error in totals|totals discrepancy
262|1841/03|ages|Diseases and counts page for week 3 not included|missing
263|1841/04|ages|Weeks 4-5 bills missing|no Bill
264|1841/05|ages|Weeks 4-5 bills missing|no Bill
265|1841/14|ages|Week 14 diseases and counts page missing|missing
266|1842/05|ages|5 additional counts, could not find discrepancy|totals discrepancy
267|1842/12|ages|Week 12 bill missing|no Bill
268|1842/23|ages|Week 23 bill missing|no Bill
269|1843/28|ages|Week 28 bill missing|no Bill
270|1843/39|ages|10 additional counts, could not find discrepancy|totals discrepancy
271|1844/23|ages|Week 23 second page missing|missing
272|1844/28|ages|Secod page of week 28 missing|missing
273|1845/01|ages|No bill for Week 1|no Bill
274|1845/07|ages|6 additional counts, probably due to error in totals|totals discrepancy
275|1845/09|ages|540 missing counts, probably due to error in totals|totals discrepancy
276|1845/42|ages|Weeks 42 and 43 bills missing|no Bill
277|1845/43|ages|Weeks 42 and 43 bills missing|no Bill
278|1845/46|ages|Week 46 bill missing|no Bill
279|1646/16|cods|Right hand side of bill missing due to damage, Rising of the Lights to Sore Arme counts missing|part missing: damaged
280|1647/13|cods|Aged total obscured by damage|part missing: damaged
281|1647/34|cods|2 missing causes, could not find discrepancy|totals discrepancy
282|1647/50|cods|Missing cause, could not find discrepancy|totals discrepancy
283|1648/01|cods|Missing cause, could not find discrepancy|totals discrepancy
284|1650/02|cods|7 missing causes, no count included for Teeth|totals discrepancy
285|1650/11|cods|Missing cause, could not find discrepancy|totals discrepancy
286|1651/08|cods|Water damage to half of bill, many of first column causes obscured(before Meagrome)|part missing: damaged
287|1651/11|cods|Tissick and Winde counts obsured|part missing: illegible
288|1651/14|cods|Tissick and Winde counts obsured|part missing: illegible
289|1651/26|cods|5 additional causes, could not find discrepancy|totals discrepancy
290|1651/48|cods|Rickets to Small Pox obscured|part missing: illegible
291|1651/49|cods|Right hand side of page obscured, causes from Murdered onwards missing|part missing: illegible
292|1652/11|cods|Tissick and Winde counts obsured|part missing: illegible
293|1652/14|cods|Tissick and Winde counts obsured|part missing: illegible
294|1653/35|cods|Stillborn and Stopping of the Stomach counts obscured|part missing: illegible
295|1653/39|cods|3 missing causes, probably due to error in totals|totals discrepancy
296|1653/52|cods|Second page for week 52 missing, possible 52 of this year and 1 of the next year stuck together|missing
297|1655/08|cods|Missing cause, could not find discrepancy|totals discrepancy
298|1655/50|cods|Ink blotches across page obscuring both cause names and counts|part missing: illegible
299|1656/03|cods|Several missing names due to damage in left hand column|part missing: damaged
300|1656/08|cods|2 missing causes, could not find discrepancy|totals discrepancy
301|1656/12|cods|Damage to right hand side, Overlaid and Shot to Wormes counts obscured|part missing: damaged
302|1657/16|cods|Jaw Falne and Killed counts missing due to damage|part missing: damaged
303|1657/19|cods|Kingsevil to Rickets counts obscured by damage|part missing: damaged
304|1657/35|cods|Palsy, Winde and Wormes counts missing due to damage|part missing: damaged
305|1657/37|cods|Teeth, Thrush, Winde counts all missing due to damage|part missing: damaged
306|1657/39|cods|3 missing causes, could not find discrepancy|totals discrepancy
307|1657/40|cods|Stone to Teeth and Winde to Wormes obscured by damage|part missing: damaged
308|1657/42|cods|Measles, Stopping of the Stomach, Strangury, Suddenly and Wormes counts obscured by damage|part missing: damaged
309|1657/43|cods|2 missing cause names in left hand side, some damage to right hand side probably obscuring second digit of Teeth|totals discrepancy; part missing: damaged
310|1657/44|cods|Several missing cause names in left hand side, some damage to right hand side at Spotted Feaver and Stillborne, Ulcer, Vomiting and Wormes|part missing: damaged
311|1657/45|cods|Several missing cause names in left hand side, some damage to right hand side atStopping of the Stomah, Wormes and Wind.|part missing: damaged
312|1657/46|cods|Several missing cause names in left hand side, some damage to right hand side at Measles to Rising of the Lights and Stone to Tissick|part missing: damaged
313|1657/47|cods|Several missing cause names in left hand side, some damage to right hand side at Rising of the Lights, Scowring and Surfeit to Wormes|part missing: damaged
314|1657/48|cods|Several missing cause names in left hand side, some damage to right hand side at Stillborne, Stone and Tissick to Wormes|part missing: damaged
315|1657/49|cods|Many missing cause names in left hand side, some damage to right hand side at Rising of the Lights to Stopping of the Stomach and Tissick to Wormes|part missing: damaged
316|1657/50|cods|Many missing cause names in left hand side, damage to right hand side obscuring Rickets and Rising of the Lights and Teeth to Wormes|part missing: damaged
317|1659/16|cods|Missing cause, could not find discrepancy|totals discrepancy
318|1659/24|cods|Missing cause, could not find discrepancy|totals discrepancy
319|1659/41|cods|9 missing causes, could not find discrepancy|totals discrepancy
320|1659/51|cods|30 missing causes, could not find discrepancy|totals discrepancy
321|1660/05|cods|27 missing causes, possibly from missing second digit for Age but could not find discrepancy on page|totals discrepancy
322|1660/15|cods|Additional cause, could not find discrepancy|totals discrepancy
323|1660/16|cods|Missing causes due to edge of image missing, Kingsevil to Suddenly and Teeth cropped|part missing: damaged
324|1660/26|cods|4 missing causes, could not find discrepancy|totals discrepancy
325|1660/43|cods|Additional cause, could not find discrepancy|totals discrepancy
326|1662/46|cods|Missing cause, could not find disrepancy|totals discrepancy
327|1663/24|cods|Missing cause, could not find discrepancy|totals discrepancy
328|1664/04|cods|Missing cause, could not find discrepancy|totals discrepancy
329|1664/07|cods|80 additional causes, probably due to error in total.|totals discrepancy
330|1664/20|cods|Missing cause, could not find discrepancy|totals discrepancy
331|1665/05|cods|Starved herself' included as Suicide|interpretation
332|1665/07|cods|Poisoned herself' included as Suicide|interpretation
333|1665/09|cods|Additional Cause of death? Could not find discrepancy.|totals discrepancy
334|1665/10|cods|Hanged Herself included as Suicide|interpretation
335|1665/13|cods|Hanged Herself included as Suicide|interpretation
336|1665/15|cods|Flox and small pox: the column alignment of the 2 suggests this figure should be 12, not 2?|interpretation
337|1665/22|cods|1 count of Murder, placed here from 'Found Murdered' (listed separately from other Found on sheet). 1 count of Hanged Herself (being distracted)', listed as Suicide.|interpretation
338|1665/23|cods|1 cause of death missed? Could not find discrepancy.|totals discrepancy
339|1665/25|cods|Hanged Herself listed as Suicide|interpretation
340|1665/26|cods|4 Causes of deaths missing. Could not find discrepancies. Hanged Herself listed as Suicide|totals discrepancy; interpretation
341|1665/34|cods|spotted fever and purples categories combined|format change
342|1665/42|cods|Additional cause, could not find discrepancy|totals discrepancy
343|1665/51|cods|Hanged Himself listed as Suicide|interpretation
344|1666/05|cods|Missing cause of death, could not find discrepancy.|totals discrepancy
345|1666/07|cods|Hanged Himself included as Suicide|interpretation
346|1666/08|cods|Poisoned Herself included as Suicide|interpretation
347|1666/10|cods|Killed Himself included as Suicide|interpretation
348|1666/12|cods|Hanged Himself included as Suicide|interpretation
349|1666/13|cods|Hanged Herself included as Suicide|interpretation
350|1666/17|cods|First appearance of Flox as listed seperately from smallpox.|format change
351|1666/28|cods|Hanged Himself included as Suicide|interpretation
352|1666/29|cods|Convulsion: the column alignment of the 2 suggests this figure should be 12, not 2?|interpretation
353|1666/31|cods|Hanged Herself included as Suicide|interpretation
354|1666/35|cods|Missing cause of death, could not find discrepancy.|totals discrepancy
355|1666/39|cods|This single Bill accounts for 3 weeks: 37, 38 and 39|format change
356|1666/40|cods|Hanged Himself included as Suicide|interpretation
357|1666/51|cods|Drowned Herself(being distracted) included as Suicide|interpretation
358|1667/02|cods|Murdered herself' included as Suicide.|interpretation
359|1667/09|cods|Poisoned herself' included as Suicide.|interpretation
360|1667/12|cods|2 missing causes. Could not find discrepancy. 'Poisoned herself' included as Suicide.|totals discrepancy; interpretation
361|1667/16|cods|'Poisoned herself' included as Suicide.|interpretation
362|1667/18|cods|Hanged himself' included as Suicide|interpretation
363|1667/25|cods|Hanged himself' included as Suicide|interpretation
364|1667/26|cods|Counted 'found murdered' here as 'murdered'. Hanged Herself included as Suicide|interpretation
365|1667/27|cods|Hanged herself' included as Suicide|interpretation
366|1667/34|cods|Cut his Throat' included as Suicide|interpretation
367|1667/36|cods|Hanged himself' included as Suicide|interpretation
368|1667/38|cods|Poisoned herself' included as Suicide|interpretation
369|1667/39|cods|Hanged herself' included as Suicide|interpretation
370|1667/46|cods|Cut his Throat' included as Suicide|interpretation
371|1667/49|cods|Cut his Throat' included as Suicide|interpretation
372|1668/03|cods|Cut His Own Throat included as Suicide|interpretation
373|1668/05|cods|Hanged Himself included as Suicide|interpretation
374|1668/11|cods|Hanged Himself and Poisoned Herself included with Suicide|interpretation
375|1668/14|cods|Hanged Himself included in Suicide|interpretation
376|1668/17|cods|Missing cause, could not find discrepancy. Cut his Throat included in Suicide|totals discrepancy; interpretation
377|1668/18|cods|Found Murdered included in Murdered|interpretation
378|1668/20|cods|Hanged Themselves included in Suicide|interpretation
379|1668/25|cods|Strangled Herself included as Suicide|interpretation
380|1668/26|cods|Strangled Herself included as Suicide|interpretation
381|1668/27|cods|Cut her Throat included as Suicide|interpretation
382|1668/29|cods|Strangled Herself included as Suicide|interpretation
383|1668/33|cods|Hanged Herself and Hanged Himself counted as Suicide|interpretation
384|1668/39|cods|Hanged Himself included as Suicide|interpretation
385|1668/40|cods|Cut his Throat, Hanged Himself and Poisoned Herself included as Suicide|interpretation
386|1669/03|cods|Hanged Herself and Shot Himself included as Suicide|interpretation
387|1669/09|cods|Hanged Himself included in Suicide|interpretation
388|1669/10|cods|Cut own Throat included in Suicide|interpretation
389|1669/12|cods|Cut own Throat included in Suicide|interpretation
390|1669/18|cods|Poisoned Herself included as Suicide|interpretation
391|1669/20|cods|Hanged Himself included as Suicide|interpretation
392|1669/21|cods|Hanged Himself included as Suicide|interpretation
393|1669/22|cods|Hanged Himself included as Suicide|interpretation
