Omeka Item #,DataScribe Item #,DataScribe Record #,DataScribe Record Position,Year,is_missing,is_illegible,Week,is_missing,is_illegible,Unique ID,is_missing,is_illegible,Start Day,is_missing,is_illegible,Start Month,is_missing,is_illegible,End Day,is_missing,is_illegible,End month,is_missing,is_illegible,St Alban Woodstreet - Buried,is_missing,is_illegible,Alhallows Barking - Buried,is_missing,is_illegible,Allhallows Breadstreet - Buried,is_missing,is_illegible,Allhallows Great - Buried,is_missing,is_illegible,Alhallows Honylane - Buried,is_missing,is_illegible,Alhallows Lesse - Buried,is_missing,is_illegible,Alhallows Lumbardstreet - Buried,is_missing,is_illegible,Alhallows Stayning - Buried,is_missing,is_illegible,Alhallows the Wall - Buried,is_missing,is_illegible,St Alphage - Buried,is_missing,is_illegible,St Andrew Hubbard - Buried,is_missing,is_illegible,St Andrew Undershaft - Buried,is_missing,is_illegible,St Andrew Wardrobe - Buried,is_missing,is_illegible,St Ann Aldersgate - Buried,is_missing,is_illegible,St Ann Blackfryers - Buried,is_missing,is_illegible,St Antholins Parish - Buried,is_missing,is_illegible,St Austins Parish - Buried,is_missing,is_illegible,St Bartholomew Exchange - Buried,is_missing,is_illegible,St Bennet Fynck - Buried,is_missing,is_illegible,St Bennet Gracechurch - Buried,is_missing,is_illegible,St Bennet Paulswharf - Buried,is_missing,is_illegible,St Bennet Sherehog - Buried,is_missing,is_illegible,St Botolph Billingsgate - Buried,is_missing,is_illegible,Christ Church - Buried,is_missing,is_illegible,St Christophers - Buried,is_missing,is_illegible,St Clement Eastcheap - Buried,is_missing,is_illegible,St Dionis Backchurch - Buried,is_missing,is_illegible,St Dunstan East - Buried,is_missing,is_illegible,St Edmund Lumbardstr. - Buried,is_missing,is_illegible,St Ethelborough - Buried,is_missing,is_illegible,St Faith - Buried,is_missing,is_illegible,St Gabriel Fenchurch - Buried,is_missing,is_illegible,St George Botolphlane - Buried,is_missing,is_illegible,St Gregory by St Pauls - Buried,is_missing,is_illegible,St Hellen - Buried,is_missing,is_illegible,St James Dukes place - Buried,is_missing,is_illegible,St James Garlickhithe - Buried,is_missing,is_illegible,St John Baptist - Buried,is_missing,is_illegible,St John Evangelist - Buried,is_missing,is_illegible,St John Zachary - Buried,is_missing,is_illegible,St Katharine Coleman - Buried,is_missing,is_illegible,St Katharine Creechurch - Buried,is_missing,is_illegible,St Lawrence Jewry - Buried,is_missing,is_illegible,St Lawrence Pountney - Buried,is_missing,is_illegible,St Leonard Eastcheap - Buried,is_missing,is_illegible,St Leonard Fosterlane - Buried,is_missing,is_illegible,St Magnus Parish - Buried,is_missing,is_illegible,St Margaret Lothbury - Buried,is_missing,is_illegible,St Margaret Moses - Buried,is_missing,is_illegible,St Margaret Newfishstreet - Buried,is_missing,is_illegible,St Margaret Pattons - Buried,is_missing,is_illegible,St Martin Iremongerlane - Buried,is_missing,is_illegible,St Martin Ludgate - Buried,is_missing,is_illegible,St Martin Orgars - Buried,is_missing,is_illegible,St Martin Outwich - Buried,is_missing,is_illegible,St Martin Vintrey - Buried,is_missing,is_illegible,St Mary Abchurch - Buried,is_missing,is_illegible,St Mary Aldermanbury - Buried,is_missing,is_illegible,St Mary Aldermary - Buried,is_missing,is_illegible,St Mary le Bow - Buried,is_missing,is_illegible,St Mary Bothaw - Buried,is_missing,is_illegible,St Mary Colechurch - Buried,is_missing,is_illegible,St Mary Hill - Buried,is_missing,is_illegible,St Maudlin Milkstreet - Buried,is_missing,is_illegible,St Maudlin Oldfishstreet - Buried,is_missing,is_illegible,St Mary Mounthaw - Buried,is_missing,is_illegible,St Mary Sommerset - Buried,is_missing,is_illegible,St Mary Stayning - Buried,is_missing,is_illegible,St Mary Woolchurch - Buried,is_missing,is_illegible,St Mary Woolnoth - Buried,is_missing,is_illegible,St Matthew Fridaystreet - Buried,is_missing,is_illegible,St Michael Bassishaw - Buried,is_missing,is_illegible,St Michael Cornhil - Buried,is_missing,is_illegible,St Michael Crookedlane - Buried,is_missing,is_illegible,St Michael Queenhithe - Buried,is_missing,is_illegible,St Michael Quern - Buried,is_missing,is_illegible,St Michael Royal - Buried,is_missing,is_illegible,St Michael Woodstreet - Buried,is_missing,is_illegible,St Mildred Breadstreet - Buried,is_missing,is_illegible,St Mildred Poultrey - Buried,is_missing,is_illegible,St Nicholas Acons - Buried,is_missing,is_illegible,St Nicholas Coleabby - Buried,is_missing,is_illegible,St Nicholas Olaves - Buried,is_missing,is_illegible,St Olave Hartstreet - Buried,is_missing,is_illegible,St Olave Jewry - Buried,is_missing,is_illegible,St Olave Silverstreet - Buried,is_missing,is_illegible,St Pancras Pancras street - Buried,is_missing,is_illegible,St Peter Cheap - Buried,is_missing,is_illegible,St Peter Cornhil - Buried,is_missing,is_illegible,St Peter Paulswharf - Buried,is_missing,is_illegible,St Peter Poor - Buried,is_missing,is_illegible,St Steven Colemanstreet - Buried,is_missing,is_illegible,St Steven Walbrook - Buried,is_missing,is_illegible,St Swithin- Buried,is_missing,is_illegible,St Thomas Apostles - Buried,is_missing,is_illegible,Trinity Parish - Buried,is_missing,is_illegible,St Foster - Buried,is_missing,is_illegible,Christened in the 97 parishes within the walls,is_missing,is_illegible,Buried in the 97 parishes within the walls,is_missing,is_illegible,Plague in the 97 parishes within the walls,is_missing,is_illegible,St Andrew Holborn - Buried,is_missing,is_illegible,St Bartholomew Great - Buried,is_missing,is_illegible,St Bartholomew Less - Buried,is_missing,is_illegible,St Botolph Aldersgate - Buried,is_missing,is_illegible,St Botolph Aldgate - Buried,is_missing,is_illegible,St Botolph Bishopsgate - Buried,is_missing,is_illegible,Bridewel Precinct - Buried,is_missing,is_illegible,St Bridget - Buried,is_missing,is_illegible,St Dunstan West - Buried,is_missing,is_illegible,St George Southwark - Buried,is_missing,is_illegible,St Giles Cripplegate - Buried,is_missing,is_illegible,St John Southwark,is_missing,is_illegible,St Olave Southwark - Buried,is_missing,is_illegible,Saviours Southwark - Buried,is_missing,is_illegible,S Sepulchres Parish - Buried,is_missing,is_illegible,St Thomas Southwark - Buried,is_missing,is_illegible,Trinity Minories - Buried,is_missing,is_illegible,Pesthouse Without the Walls - Buried,is_missing,is_illegible,Christened in the parishes without the walls,is_missing,is_illegible,Buried in the parishes without the walls,is_missing,is_illegible,Plague in the parishes without the walls,is_missing,is_illegible,St. Ann in Middlesex - Buried,is_missing,is_illegible,Christ Church in Surry - Buried,is_missing,is_illegible,Christ Church in Middlesex - Buried,is_missing,is_illegible,Stepney Parish - Buried,is_missing,is_illegible,St George in Bloomsbury - Buried,is_missing,is_illegible,St. George in Middlesex,is_missing,is_illegible,St. George by Queen's Square - Buried,is_missing,is_illegible,St Giles in the Field - Buried,is_missing,is_illegible,St James Clerkenwel - Buried,is_missing,is_illegible,Hackney Parish - Buried,is_missing,is_illegible,St John at Wapping - Buried,is_missing,is_illegible,St Katharine Tower - Buried,is_missing,is_illegible,St Leonard Shoreditch - Buried,is_missing,is_illegible,St. Luke in Middlesex - Buried,is_missing,is_illegible,St Mary Islington - Buried,is_missing,is_illegible,Lambeth Parish - Buried,is_missing,is_illegible,St Magdalen Bermondsey - Buried,is_missing,is_illegible,St Mary Newington - Buried,is_missing,is_illegible,Rothorith Parish - Buried,is_missing,is_illegible,St Mary Whitechappel - Buried,is_missing,is_illegible,St Matthew at Bethnal Green - Buried,is_missing,is_illegible,St Pauls Shadwel - Buried,is_missing,is_illegible,Christened in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Buried in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Plague in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,St Ann in Westminster - Buried,is_missing,is_illegible,St Clement Danes - Buried,is_missing,is_illegible,St George by Hanover Square - Buried,is_missing,is_illegible,St James in Westminster - Buried,is_missing,is_illegible,St. John the Evangelist - Buried,is_missing,is_illegible,St Margaret Westminster - Buried,is_missing,is_illegible,St Martin in the fields - Buried,is_missing,is_illegible,St Mary le Strand,is_missing,is_illegible,St Mary Savoy - Buried,is_missing,is_illegible,St Paul Covent Garden - Buried,is_missing,is_illegible,Pesthouse in Westminster,is_missing,is_illegible,Christened in the Parishes and Liberties of Westminster,is_missing,is_illegible,Buried in the Parishes and Liberties of Westminster,is_missing,is_illegible,Plague in the Parishes and Liberties of Westminster,is_missing,is_illegible
1370,500,450,1,1705,,,16,,,Laxton-1705-16-recto,,,3,,,April,,,10,,,April,,,,,,2,,,1,,,1,,,,,,,,,1,,,1,,,1,,,,,,,,,1,,,1,,,,,,1,,,1,,,,,,1,,,1,,,1,,,,,,,,,1,,,3,,,,,,1,,,,,,5,,,1,,,,,,,,,1,,,,,,2,,,,,,,,,,,,1,,,,,,1,,,1,,,1,,,4,,,,,,1,,,1,,,1,,,1,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,40,,,56,,,,1,,17,,,,,,,,,3,,,10,,,9,,,,,,5,,,1,,,4,,,14,,,,1,,10,,,6,,,12,,,1,,,,,,,1,,85,,,92,,,,1,,,1,,2,,,,1,,35,,,,1,,,1,,,1,,35,,,8,,,,,,4,,,3,,,14,,,,1,,,,,8,,,10,,,4,,,,,,20,,,,1,,7,,,85,,,150,,,,1,,10,,,8,,,,1,,19,,,,1,,10,,,27,,,,1,,2,,,4,,,,1,,56,,,80,,,,1,
1371,501,455,1,1705,,,17,,,Laxton-1705-17-recto,,,20,,,April,,,17,,,April,,,1,,,2,,,1,,,1,,,,,,1,,,,,,,,,2,,,,,,,,,2,,,1,,,,,,1,,,,,,1,,,,,,2,,,,,,3,,,,,,,,,2,,,,,,,,,,,,2,,,2,,,,,,1,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,3,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,2,,,,,,2,,,1,,,,,,,,,,,,31,,,54,,,,1,,13,,,,,,2,,,2,,,8,,,7,,,1,,,4,,,3,,,7,,,19,,,,1,,11,,,15,,,12,,,3,,,1,,,,1,,114,,,108,,,,1,,,1,,3,,,,1,,38,,,,1,,,1,,,1,,27,,,8,,,1,,,3,,,3,,,10,,,,1,,2,,,7,,,,,,6,,,6,,,7,,,,1,,6,,,116,,,127,,,,1,,7,,,8,,,,1,,14,,,,1,,15,,,25,,,,1,,1,,,3,,,,1,,73,,,73,,,,1,
1372,502,456,1,1705,,,18,,,Laxton-1705-18-recto,,,17,,,April,,,24,,,April,,,,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,,,,1,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,1,,,,,,2,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,2,,,,,,1,,,,,,,,,,,,1,,,2,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,4,,,,,,,,,2,,,,,,,,,37,,,53,,,,1,,16,,,2,,,,,,5,,,9,,,7,,,,,,8,,,3,,,3,,,20,,,,1,,13,,,11,,,8,,,1,,,1,,,,1,,104,,,107,,,,1,,,1,,2,,,,1,,39,,,,1,,,1,,,1,,30,,,6,,,,,,6,,,3,,,9,,,,1,,2,,,5,,,4,,,2,,,6,,,17,,,,1,,7,,,100,,,138,,,,1,,7,,,13,,,,1,,13,,,,1,,11,,,18,,,,1,,3,,,3,,,,1,,70,,,68,,,,1,
1373,503,457,1,1705,,,19,,,Laxton-1705-19-recto,,,24,,,April,,,2,,,May,,,,,,4,,,,,,1,,,,,,1,,,,,,,,,2,,,1,,,,,,,,,5,,,2,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,1,,,1,,,2,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,2,,,1,,,,,,1,,,1,,,,,,2,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,2,,,1,,,,,,1,,,,,,3,,,,,,,,,5,,,,,,,,,,,,,,,1,,,31,,,61,,,,1,,14,,,1,,,,,,3,,,7,,,8,,,,,,4,,,2,,,2,,,18,,,,1,,12,,,7,,,6,,,2,,,,,,,1,,85,,,86,,,,1,,,1,,4,,,,1,,45,,,,1,,,1,,,1,,16,,,8,,,8,,,7,,,3,,,11,,,,1,,,,,4,,,5,,,4,,,,,,11,,,,1,,6,,,79,,,132,,,,1,,4,,,9,,,,1,,16,,,,1,,13,,,22,,,,1,,2,,,4,,,,1,,61,,,70,,,,1,
1374,504,458,1,1705,,,20,,,Laxton-1705-20-recto,,,1,,,May,,,8,,,May,,,,,,5,,,,,,1,,,,,,,,,1,,,,,,3,,,,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,2,,,1,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,2,,,21,,,48,,,,1,,15,,,1,,,2,,,,,,7,,,5,,,,,,2,,,1,,,5,,,16,,,,1,,16,,,10,,,7,,,,,,,,,,1,,93,,,87,,,,1,,,1,,2,,,,1,,34,,,,1,,,1,,,1,,24,,,4,,,3,,,7,,,3,,,10,,,,1,,2,,,5,,,7,,,3,,,9,,,14,,,,1,,11,,,103,,,138,,,,1,,5,,,10,,,,1,,18,,,,1,,20,,,23,,,,1,,2,,,1,,,,1,,45,,,79,,,,1,
1415,505,459,1,1705,,,21,,,Laxton-1705-21-recto,,,8,,,May,,,15,,,May,,,,,,4,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,2,,,2,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,2,,,1,,,,,,1,,,,,,2,,,1,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,2,,,1,,,2,,,,,,,,,2,,,1,,,,,,39,,,84,,,,1,,17,,,1,,,,,,1,,,4,,,7,,,,,,6,,,1,,,4,,,9,,,,1,,11,,,15,,,8,,,,,,,,,,1,,88,,,84,,,,1,,,1,,6,,,,1,,27,,,,1,,,1,,,1,,23,,,4,,,2,,,7,,,3,,,13,,,,1,,3,,,3,,,9,,,3,,,6,,,10,,,,1,,10,,,114,,,129,,,,1,,14,,,4,,,,1,,16,,,,1,,14,,,27,,,,1,,3,,,2,,,,1,,55,,,80,,,,1,
1416,506,475,1,1705,,,22,,,Laxton-1705-22-recto,,,15,,,May,,,22,,,May,,,2,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,1,,,,,,1,,,,,,,,,2,,,,,,1,,,1,,,,,,,,,3,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,3,,,3,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,2,,,1,,,,,,,,,,,,,,,44,,,45,,,,1,,15,,,3,,,,,,7,,,10,,,8,,,1,,,3,,,3,,,2,,,22,,,,1,,7,,,12,,,7,,,2,,,1,,,,1,,80,,,103,,,,1,,,1,,2,,,,1,,41,,,,1,,,1,,,1,,17,,,4,,,,,,1,,,3,,,6,,,,1,,3,,,2,,,6,,,2,,,,,,10,,,,1,,6,,,92,,,103,,,,1,,7,,,8,,,,1,,13,,,,1,,10,,,25,,,,1,,2,,,1,,,,1,,59,,,66,,,,1,
1417,507,497,1,1705,,,23,,,Laxton-1705-23-recto,,,22,,,May,,,29,,,May,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,4,,,1,,,,,,,,,1,,,,,,20,,,26,,,,1,,19,,,,,,1,,,2,,,6,,,7,,,,,,8,,,4,,,10,,,16,,,,1,,9,,,11,,,11,,,,,,,,,,1,,76,,,104,,,,1,,,1,,3,,,,1,,22,,,,1,,,1,,,1,,20,,,4,,,5,,,4,,,2,,,9,,,,1,,4,,,7,,,11,,,,,,,,,7,,,,1,,9,,,85,,,107,,,,1,,7,,,8,,,,1,,17,,,,1,,12,,,22,,,,1,,1,,,2,,,,1,,56,,,69,,,,1,
1418,508,514,1,1705,,,24,,,Laxton-1705-24-recto,,,29,,,May,,,5,,,June,,,1,,,,,,,,,1,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,2,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,43,,,34,,,,1,,15,,,1,,,,,,8,,,10,,,7,,,,,,6,,,3,,,8,,,16,,,,1,,16,,,10,,,16,,,1,,,,,,,1,,95,,,117,,,,1,,,1,,1,,,,1,,27,,,,1,,,1,,,1,,28,,,10,,,3,,,4,,,3,,,14,,,,1,,4,,,9,,,4,,,2,,,9,,,16,,,,1,,4,,,93,,,138,,,,1,,5,,,6,,,,1,,19,,,,1,,19,,,24,,,,1,,3,,,4,,,,1,,68,,,80,,,,1,
1419,509,515,1,1705,,,25,,,Laxton-1705-25-recto,,,5,,,June,,,12,,,June,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,1,,,1,,,,,,2,,,,,,,,,3,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,1,,,,,,2,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,1,,,1,,,,,,3,,,,,,,,,,,,1,,,,,,,,,2,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,2,,,,,,,,,2,,,1,,,,,,27,,,53,,,,1,,16,,,2,,,,,,3,,,13,,,11,,,,,,5,,,5,,,11,,,22,,,,1,,16,,,9,,,12,,,,,,1,,,,1,,95,,,126,,,,1,,,1,,8,,,,1,,47,,,,1,,,1,,,1,,20,,,9,,,5,,,6,,,2,,,11,,,,1,,3,,,7,,,9,,,3,,,3,,,14,,,,1,,12,,,96,,,159,,,,1,,9,,,11,,,,1,,11,,,,1,,12,,,23,,,,1,,3,,,3,,,,1,,44,,,72,,,,1,
1420,510,516,1,1705,,,26,,,Laxton-1705-26-recto,,,12,,,June,,,19,,,June,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,3,,,,,,2,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,2,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,1,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,29,,,44,,,,1,,13,,,,,,,,,8,,,13,,,13,,,2,,,6,,,1,,,13,,,18,,,,1,,10,,,9,,,15,,,1,,,,,,,1,,85,,,122,,,,1,,,1,,3,,,,1,,37,,,,1,,,1,,,1,,18,,,9,,,2,,,7,,,8,,,11,,,,1,,2,,,3,,,9,,,3,,,6,,,17,,,,1,,10,,,85,,,145,,,,1,,1,,,7,,,,1,,14,,,,1,,8,,,25,,,,1,,4,,,2,,,,1,,66,,,61,,,,1,
1421,511,525,1,1705,,,27,,,Laxton-1705-27-recto,,,19,,,June,,,26,,,June,,,,,,1,,,,,,3,,,,,,,,,,,,,,,3,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,2,,,,,,1,,,,,,,,,2,,,,,,,,,1,,,3,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,3,,,1,,,,,,1,,,,,,,,,34,,,44,,,,1,,20,,,,,,,,,6,,,5,,,11,,,,,,6,,,4,,,7,,,23,,,,1,,3,,,11,,,6,,,2,,,1,,,,1,,101,,,105,,,,1,,,1,,5,,,,1,,35,,,,1,,,1,,,1,,27,,,2,,,,,,4,,,6,,,7,,,,1,,3,,,5,,,7,,,3,,,4,,,8,,,,1,,8,,,115,,,124,,,,1,,9,,,10,,,,1,,13,,,,1,,13,,,30,,,,1,,2,,,3,,,,1,,52,,,80,,,,1,
1422,512,526,1,1705,,,28,,,Laxton-1705-28-recto,,,26,,,June,,,3,,,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,1,,,3,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,,,,,,,,,1,,,,,,,,,3,,,1,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,3,,,,,,,,,,,,30,,,40,,,,1,,23,,,,,,,,,3,,,9,,,11,,,,,,7,,,3,,,6,,,23,,,,1,,15,,,6,,,14,,,2,,,,,,,1,,101,,,122,,,,1,,,1,,4,,,,1,,45,,,,1,,,1,,,1,,16,,,1,,,,,,6,,,,,,8,,,,1,,2,,,6,,,6,,,5,,,3,,,12,,,,1,,6,,,101,,,120,,,,1,,2,,,8,,,,1,,11,,,,1,,7,,,28,,,,1,,,,,2,,,,1,,50,,,58,,,,1,
1423,513,527,1,1705,,,29,,,Laxton-1705-29-recto,,,3,,,July,,,10,,,July,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,3,,,2,,,1,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,54,,,45,,,,1,,15,,,1,,,,,,4,,,10,,,12,,,,,,7,,,4,,,6,,,26,,,,1,,12,,,4,,,16,,,,,,,,,,1,,98,,,117,,,,1,,,1,,1,,,,1,,31,,,,1,,,1,,,1,,21,,,6,,,5,,,7,,,4,,,2,,,,1,,2,,,7,,,3,,,6,,,4,,,17,,,,1,,9,,,126,,,125,,,,1,,4,,,10,,,,1,,15,,,,1,,10,,,17,,,,1,,2,,,2,,,,1,,50,,,60,,,,1,
1424,514,528,1,1705,,,30,,,Laxton-1705-30-recto,,,10,,,July,,,17,,,July,,,1,,,2,,,1,,,,,,,,,1,,,1,,,,,,2,,,,,,1,,,,,,3,,,,,,2,,,1,,,,,,,,,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,3,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,2,,,,,,5,,,33,,,48,,,,1,,22,,,1,,,,,,2,,,10,,,13,,,,,,3,,,1,,,6,,,19,,,,1,,12,,,6,,,12,,,1,,,,,,,1,,88,,,108,,,,1,,,1,,4,,,,1,,25,,,,1,,,1,,,1,,25,,,9,,,3,,,7,,,1,,,8,,,,1,,2,,,5,,,3,,,6,,,1,,,10,,,,1,,6,,,119,,,115,,,,1,,6,,,8,,,,1,,11,,,,1,,14,,,22,,,,1,,,,,3,,,,1,,60,,,64,,,,1,
