"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,Week,"Unique ID","Start Day","Start Month","End Day","End month","St Alban Woodstreet - Buried","St Alban Woodstreet - Plague","Alhallows Barking - Buried","Alhallows Barking - Plague","Alhallows Breadstreet - Buried","Alhallows Breadstreet - Plague","Alhallows Great - Buried","Alhallows Great - Plague","Alhallows Honylane - Buried","Alhallows Honylane - Plague","Alhallows Lesse - Buried","Alhallows Lesse - Plague","Alhallows Lumbardstreet - Buried","Alhallows Lumbardstreet - Plague","Alhallows Stayning - Buried","Alhallows Stayning - Plague","Alhallows the Wall - Buried","Alhallows the Wall - Plague","St Alphage - Buried","St Alphage - Plague","St Andrew Hubbard - Buried","St Andrew Hubbard - Plague","St Andrew Undershaft - Buried","St Andrew Undershaft - Plague","St Andrew Wardrobe - Buried","St Andrew Wardrobe - Plague","St Ann Aldersgate - Buried","St Ann Aldersgate - Plague","St Ann Blackfryers - Buried","St Ann Blackfryers - Plague","St Antholins Parish - Buried","St Antholins Parish - Plague","St Austins Parish - Buried","St Austins Parish - Plague","St Bartholomew Exchange - Buried","St Bartholomew Exchange - Plague","St Bennet Fynck - Buried","St Bennet Fynck - Plague","St Bennet Gracechurch - Buried","St Bennet Gracechurch - Plague","St Bennet Paulswharf - Buried","St Bennet Paulswharf - Plague","St Bennet Sherehog - Buried","St Bennet Sherehog - Plague","St Botolph Billingsgate - Buried","St Botolph Billingsgate - Plague","Christ Church - Buried","Christ Church - Plague","St Christophers - Buried","St Christophers - Plague","St Clement Eastcheap - Buried","St Clement Eastcheap - Plague","St Dionis Backchurch - Buried","St Dionis Backchurch - Plague","St Dunstan East - Buried","St Dunstan East - Plague","St Edmund Lumbardstr. - Buried","St Edmund Lumbardstr. - Plague","St Ethelborough - Buried","St Ethelborough - Plague","St Faith - Buried","St Faith - Plague","St Foster - Buried","St Foster - Plague","St Gabriel Fenchurch - Buried","St Gabriel Fenchurch - Plague","St George Botolphlane - Buried","St George Botolphlane - Plague","St Gregory by St Pauls - Buried","St Gregory by St Pauls - Plague","St Hellen - Buried","St Hellen - Plague","St James Dukes place - Buried","St James Dukes place - Plague","St James Garlickhithe - Buried","St James Garlickhithe - Plague","St John Baptist - Buried","St John Baptist - Plague","St John Evangelist - Buried","St John Evangelist - Plague","St John Zachary - Buried","St John Zachary - Plague","St Katharine Coleman - Buried","St Katharine Coleman - Plague","St Katharine Creechurch - Buried","St Katharine Creechurch - Plague","St Lawrence Jewry - Buried","St Lawrence Jewry - Plague","St Lawrence Pountney - Buried","St Lawrence Pountney - Plague","St Leonard Eastcheap - Buried","St Leonard Eastcheap - Plague","St Leonard Fosterlane - Buried","St Leonard Fosterlane - Plague","St Magnus Parish - Buried","St Magnus Parish - Plague","St Margaret Lothbury - Buried","St Margaret Lothbury - Plague","St Margaret Moses - Buried","St Margaret Moses - Plague","St Margaret Newfishstreet - Buried","St Margaret Newfishstreet - Plague","St Margaret Pattons - Buried","St Margaret Pattons - Plague","St Mary Abchurch - Buried","St Mary Abchurch - Plague","St Mary Aldermanbury - Buried","St Mary Aldermanbury - Plague","St Mary Aldermary - Buried","St Mary Aldermary - Plague","St Mary le Bow - Buried","St Mary le Bow - Plague","St Mary Bothaw - Buried","St Mary Bothaw - Plague","St Mary Colechurch - Buried","St Mary Colechurch - Plague","St Mary Hill - Buried","St Mary Hill - Plague","St Mary Mounthaw - Buried","St Mary Mounthaw - Plague","St Mary Sommerset - Buried","St Mary Sommerset - Plague","St Mary Stayning - Buried","St Mary Stayning - Plague","St Mary Woolchurch - Buried","St Mary Woolchurch - Plague","St Mary Woolnoth - Buried","St Mary Woolnoth - Plague","St Martin Iremongerlane - Buried","St Martin Iremongerlane - Plague","St Martin Ludgate - Buried","St Martin Ludgate - Plague","St Martin Orgars - Buried","St Martin Orgars - Plague","St Martin Outwich - Buried","St Martin Outwich - Plague","St Martin Vintrey - Buried","St Martin Vintrey - Plague","St Matthew Fridaystreet - Buried","St Matthew Fridaystreet - Plague","St Maudlin Milkstreet - Buried","St Maudlin Milkstreet - Plague","St Maudlin Oldfishstreet - Buried","St Maudlin Oldfishstreet - Plague","St Michael Bassishaw - Buried","St Michael Bassishaw - Plague","St Michael Cornhil - Buried","St Michael Cornhil - Plague","St Michael Crookedlane - Buried","St Michael Crookedlane - Plague","St Michael Queenhithe - Buried","St Michael Queenhithe - Plague","St Michael Quern - Buried","St Michael Quern - Plague","St Michael Royal - Buried","St Michael Royal - Plague","St Michael Woodstreet - Buried","St Michael Woodstreet - Plague","St Mildred Breadstreet - Buried","St Mildred Breadstreet - Plague","St Mildred Poultrey - Buried","St Mildred Poultrey - Plague","St Nicholas Acons - Buried","St Nicholas Acons - Plague","St Nicholas Coleabby - Buried","St Nicholas Coleabby - Plague","St Nicholas Olaves - Buried","St Nicholas Olaves - Plague","St Olave Hartstreet - Buried","St Olave Hartstreet - Plague","St Olave Jewry - Buried","St Olave Jewry - Plague","St Olave Silverstreet - Buried","St Olave Silverstreet - Plague","St Pancras Soperlane - Buried","St Pancras Soperlane - Plague","St Peter Cheap - Buried","St Peter Cheap - Plague","St Peter Cornhil - Buried","St Peter Cornhil - Plague","St Peter Paulswharf - Buried","St Peter Paulswharf - Plague","St Peter Poor - Buried","St Peter Poor - Plague","St Steven Colemanstreet - Buried","St Steven Colemanstreet - Plague","St Steven Walbrook - Buried","St Steven Walbrook - Plague","St Swithin - Buried","St Swithin - Plague","St Thomas Apostles - Buried","St Thomas Apostles - Plague","Trinity Parish - Buried","Trinity Parish - Plague","Buried in the 97 Parishes within the Walls","Plague in the 97 Parishes within the Walls","St Andrew Holborn - Buried","St Andrew Holborn - Plague","St Bartholomew Great - Buried","St Bartholomew Great - Plague","St Bartholomew Less - Buried","St Bartholomew Less - Plague","St Bridget - Buried","St Bridget - Plague","Bridewel Precinct - Buried","Bridewel Precinct - Plague","St Botolph Aldersgate - Buried","St Botolph Aldersgate - Plague","St Botolph Aldgate - Buried","St Botolph Aldgate - Plague","St Botolph Bishopsgate - Buried","St Botolph Bishopsgate - Plague","St Dunstan West - Buried","St Dunstan West - Plague","St George Southwark - Buried","St George Southwark - Plague","St Giles Cripplegate - Buried","St Giles Cripplegate - Plague","St Olave Southwark - Buried","St Olave Southwark - Plague","Saviours Southwark - Buried","Saviours Southwark - Plague","S Sepulchres Parish - Buried","S Sepulchres Parish - Plague","St Thomas Southwark - Buried","St Thomas Southwark - Plague","Trinity Minories - Buried","Trinity Minories - Plague","Pesthouse Without the Walls - Buried","Pesthouse Without the Walls - Plague","Buried in the parishes without the Walls","Plague in the parishes without the Walls","St Clement Danes - Buried","St Clement Danes - Plague","St Paul Covent Garden - Buried","St Paul Covent Garden - Plague","St Giles in the Field - Buried","St Giles in the Field - Plague","St James Clerkenwel - Buried","St James Clerkenwel - Plague","St Katharine Tower - Buried","St Katharine Tower - Plague","St Leonard Shoreditch - Buried","St Leonard Shoreditch - Plague","St Martin in the fields - Buried","St Martin in the fields - Plague","St Mary Whitechappel - Buried","St Mary Whitechappel - Plague","St Magdalen Bermondsey - Buried","St Magdalen Bermondsey - Plague","St Mary Savoy - Buried","St Mary Savoy - Plague","Buried in the out-Parishes in Middlesex and Surrey","Plague in the out-Parishes in Middlesex and Surrey","Total of all Burials","Total of all Plague","Total Christenings","Parishes Clear of the Plague","Parishes Infected"
24483,23259,2207,1,1638,42,Bodleian-1638-42-recto,27,September,4,October,1,1,5,,1,,3,,,,2,,1,,,,3,,,,,,1,,3,,,,2,,,,1,,,,1,,,,1,,1,,2,,3,,,,2,,,,3,,,,1,,,,,,,,,,2,,2,,2,,1,,,,,,1,,1,,2,,2,,,,,,,,5,,1,,,,,,,,1,,,,1,,,,,,,,1,,,,2,,,,,,,,,,,,2,,1,,2,,,,,,1,,,,2,1,3,,2,,,,,,,,,,,,1,,1,,,,1,,,,2,,,,,,,,1,,,,4,,1,,1,,,,2,,88,2,10,3,,,,,12,,1,,2,,15,1,12,1,3,,6,,19,,17,,13,,18,3,1,,,,,,134,8,7,,,,20,2,4,,10,,8,1,19,,19,,10,,4,1,101,4,323,14,186,113,9
24484,23260,2239,1,1638,43,Bodleian-1638-43-recto,4,October,11,October,,,3,,,,1,,,,4,1,1,,1,,2,,3,,,,1,,1,,,,3,,1,,3,1,1,,1,,,,1,,,,2,,2,,,,,,1,,2,,1,,,,2,,,,,,,,2,,,,,,2,,2,,,,,,1,,,,,,,,,,1,,1,,,,1,,3,,,,,,1,,1,,,,,,,,,,,,,,,,1,,2,,1,,1,,,,,,1,,1,,,,1,,2,,,,1,,2,,,,1,,,,1,,,,,,1,,,,2,,1,,,,,,,,1,,2,,,,1,,,,1,,,,,,76,2,7,1,1,,1,,5,,,,3,,18,2,16,,5,1,13,,21,,14,,11,,19,,,,1,,,,135,4,5,1,,,15,1,7,,9,,7,,18,1,22,2,7,,1,1,91,6,302,12,156,112,10
24485,23261,2243,1,1638,44,Bodleian-1638-44-recto,11,October,18,October,1,,2,,1,,,,,,,,1,,1,,3,,,,1,,,,4,,2,,2,,1,,,,,,1,,,,1,,,,1,,,,,,,,2,,2,,,,,,,,1,,,,,,2,,,,,,,,1,,,,,,1,,4,,2,,,,,,,,2,,1,,,,3,,,,,,3,2,,,,,,,1,,,,,,1,,,,,,1,,,,2,,1,1,1,,,,,,,,,,,,,,1,,1,,,,,,,,2,,,,,,1,,,,1,,1,,,,2,2,,,,,,,,,4,1,,,,,,,1,,67,6,10,1,,,1,,9,1,,,4,,16,,8,1,7,,9,,25,,24,,13,,21,,,,1,,2,2,150,5,7,,,,16,,3,,5,,5,,21,,7,2,10,,3,1,77,3,294,14,191,113,9
24486,23262,2247,1,1638,45,Bodleian-1638-45-recto,18,October,25,October,1,,4,,,,2,,,,1,,1,,1,,1,,1,,1,,,,6,,,,3,,,,,,,,,,,,,,,,2,,5,,,,1,,,,,,,,,,,,2,,1,,,,,,1,,1,,1,,,,,,1,,1,,2,,1,,1,,2,,1,,1,,1,,1,,,,,,,,,,,,1,,1,,,,,,,,2,,,,,,,,1,,1,,,,1,,,,,,,,,,1,,1,,1,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,,,2,,1,,1,,1,,,,,,1,,,,68,0,9,,,,2,,3,,,,3,,9,,6,,6,,2,,22,,18,,9,1,11,2,1,,,,,,101,3,3,,,,12,1,3,,6,,7,,21,,15,,4,,2,,78,1,247,4,168,119,3
24487,23263,2248,1,1638,48,Bodleian-1638-48-recto,8,November,15,November,2,,3,,,,1,,1,,1,,,,,,,,,,,,1,,3,,,,5,,,,,,1,,,,1,,3,,,,,,3,,,,,,,,1,,,,1,,1,,1,,,,,,,,,,1,,,,,,,,1,,,,4,,,,,,,,2,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,1,,1,,,,2,,,,,,,,3,,,,,,,,1,,4,,,,,,2,,1,,,,,,,,1,,,,2,,,,,,,,,,,,,,1,,3,,1,,2,,,,,,66,0,6,,2,,1,,6,,1,,3,,5,,11,1,6,,4,1,12,,19,,11,,14,,2,,,,,,103,2,6,,,,12,,5,,3,,12,,15,,16,,,,,,69,0,238,2,199,120,2
24513,23264,2249,1,1638,49,Bodleian-1638-49-recto,15,November,22,November,,,1,,,,4,,1,,,,2,,,,1,,2,,,,2,,2,,3,,,,,,,,,,,,,,1,,,,,,3,,,,1,,1,,,,,,,,,,1,,,,1,,1,,2,,3,,,,,,,,,,1,,1,,,,2,,1,,2,,,,2,,,,,,,,3,,,,,,,,,,,,,,1,,,,1,,,,1,,1,,1,,,,,,1,,,,,,1,,,,,,,,2,,1,,1,,1,,,,,,1,,,,,,1,,1,,3,1,1,,,,,,,,1,,1,,,,,,,,,,65,1,12,,1,,,,4,,,,2,,8,,5,1,3,,6,,12,,15,,7,,14,,2,,1,,,,92,1,5,,,,8,,5,,2,,6,,18,,18,1,8,,,,70,1,227,3,186,119,3
24514,23265,2294,1,1638,50,Bodleian-1638-50-recto,22,November,29,November,1,,3,,2,,,,,,,,,,1,,,,,,,,1,,4,,1,,1,,1,,,,,,,,2,,3,,,,,,3,,,,,,,,3,,,,1,,1,,,,,,,,,,2,,,,,,,,,,,,3,,1,,4,,1,,,,1,,1,,1,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,2,,,,,,1,,,,,,,,1,,,,1,,1,,,,,,,,1,,1,,1,,1,,1,,62,0,11,,2,,1,,3,,1,,5,,9,,6,,8,,8,,21,,13,,7,,13,,2,,,,,,110,0,4,,,,7,,3,,6,,9,,12,,12,,5,,,,58,0,230,0,204,122,0
24515,23266,2297,1,1638,3,Bodleian-1638-03-recto,27,December,3,January,2,,2,,,,2,,,,3,,,,,,2,,2,,,,1,,2,,,,3,,,,,,,,2,,,,,,1,,1,,,,,,1,,,,1,,,,2,,,,2,,,,,,,,1,,2,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,2,,,,,,3,,1,,2,,1,,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,1,,1,,,,1,,61,0,12,,4,,,,8,,1,,2,,8,,8,,6,,6,,15,,14,1,8,,7,,3,,,,,,102,1,6,,,,9,,3,,5,,6,,11,,11,,5,,,,56,0,219,1,208,121,1
24516,23267,2298,1,1638,4,Bodleian-1638-04-recto,3,January,10,January,,,1,,,,2,,,,,,,,1,,2,,,,,,3,,2,,1,,,,1,,,,,,1,,1,,1,,,,,,,,,,1,,,,2,,,,1,,1,,,,,,,,1,,,,,,,,2,,,,,,2,,3,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,1,,1,,,,,,,,1,,,,,,,,,,1,,,,1,,1,,1,,,,,,,,,,,,,,2,,,,,,1,,,,3,,,,,,,,,,,,,,1,,4,,,,,,,,1,,52,0,4,,,,,,8,,1,,4,,11,,8,,7,,7,,12,,15,,7,,11,,2,,,,,,97,0,9,,,,5,,1,,4,,1,,19,,11,1,9,,,,59,1,208,1,188,121,1
24517,23268,2299,1,1638,5,Bodleian-1638-05-recto,10,January,17,January,,,,,,,1,,,,2,,,,3,,3,,,,1,,,,3,,,,1,,,,,,1,,,,,,3,,,,,,3,,1,,,,2,,1,,2,,,,,,,,,,,,2,,,,,,1,,1,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,2,,,,2,,,,1,,,,,,1,,1,,,,1,,,,,,1,,,,1,,1,,,,,,2,,2,,,,1,,,,,,,,55,0,12,,2,,,,4,,1,,2,,13,,5,,7,,6,,14,,9,,6,,16,,1,,,,,,98,0,6,,,,12,,5,,5,,4,,15,,13,,4,,2,,66,0,219,0,199,122,0
24518,23269,2316,1,1638,6,Bodleian-1638-06-recto,17,January,24,January,,,1,,2,,,,,,1,,,,,,3,,,,,,,,4,,1,,5,,,,,,,,,,,,1,,,,,,2,,1,,,,,,4,,,,,,,,,,1,,,,,,1,,1,,2,,,,,,1,,1,,,,,,,,,,2,,1,,1,,1,,2,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,2,,,,2,,,,1,,,,,,1,,,,,,,,,,,,1,,1,,,,3,,,,,,,,,,,,,,1,,4,,,,,,1,,,,60,0,7,,1,,,,11,,1,,1,,10,,5,,6,,5,,14,,11,,4,,15,,1,,,,,,92,0,7,,,,7,,6,,5,,11,,19,,13,,2,,,,70,0,222,0,211,122,0
24519,23270,2415,1,1638,7,Bodleian-1638-07-recto,24,January,31,January,,,2,,,,2,,,,,,1,,1,,,,1,,,,,,1,,,,2,,,,3,,,,,,,,1,,,,,,4,,,,,,,,2,,1,,1,,,,,,,,,,2,,1,,,,,,2,,,,1,,2,,2,,,,1,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,2,,,,1,,1,,,,,,1,,1,,2,,,,1,,,,1,,1,,,,,,4,,,,,,,,1,,57,0,4,,1,,,,7,,,,2,,8,,4,,8,,6,,16,,10,,2,,13,,1,,,,,,82,0,4,,,,12,,7,,5,,,,16,,12,,3,,,,59,0,198,0,199,122,0
24520,23271,2416,1,1638,8,Bodleian-1638-08-recto,31,January,7,February,1,,1,,,,,,,,2,,,,2,,2,,,,,,1,,1,,,,2,,,,,,,,2,,1,,1,,,,1,,2,,1,,,,1,,,,1,,,,,,1,,2,,,,,,,,,,,,1,,,,2,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,1,,,,3,,,,,,1,,,,,,1,,,,1,,,,2,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,2,,,,1,,1,,1,,52,0,15,,2,,2,,8,,,,4,,9,,6,,8,,7,,27,,17,,7,,8,,2,,,,,,122,0,9,,,,5,,5,1,3,,6,,20,,9,,1,,,,58,1,232,1,231,121,1
24521,23272,2417,1,1638,10,Bodleian-1638-10-recto,14,February,21,February,1,,1,,,,4,,,,,,,,,,2,,1,,2,,1,,1,,,,3,,,,,,,,,,,,2,,,,1,,,,,,,,,,3,,,,,,1,,2,,,,,,1,,,,1,,,,,,,,1,,1,,,,2,,2,,,,,,1,,,,,,2,,,,1,,,,,,,,1,,1,,,,,,1,,,,1,,,,1,,1,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,2,,3,,1,,,,1,,,,,,2,,1,,,,1,,,,,,,,59,0,14,,1,,,,6,,,,5,,10,,7,,3,,2,,10,,10,,7,,9,,,,,,,,84,0,7,,,,10,,4,,4,,4,,17,,13,2,9,,2,,70,2,213,2,212,121,1
24522,23273,2418,1,1638,11,Bodleian-1638-11-recto,21,February,28,February,2,,,,,,1,,1,,,,2,,,,1,,,,,,,,3,,,,6,,,,,,,,,,1,,2,,,,2,,1,,,,1,,1,,4,,,,,,,,1,,,,,,1,,1,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,,,,,,,,,1,,4,,,,,,1,,,,,,,,,,1,,1,,,,,,2,,,,1,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,53,0,9,,1,,,,4,,1,,,,6,,3,,5,,6,,8,,6,,5,,17,,,,,,,,71,0,5,,,,10,,2,,2,,7,,21,,13,,4,,2,,66,0,190,0,220,122,0
24547,23274,2180,1,1638,12,Bodleian-1638-12-recto,28,February,7,March,,,1,,,,,,,,,,,,1,,,,2,,1,,,,1,,1,,6,,,,2,,1,,,,2,,1,,,,1,,,,,,,,1,,1,,,,1,,,,1,,,,1,,2,,,,1,,2,,,,,,,,2,,2,,,,1,,,,1,,,,,,,,,,1,,,,1,,,,1,,,,1,,,,,,1,,,,,,,,,,4,,1,,1,,2,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,1,,,,1,,1,,,,57,0,9,,,,,,5,,1,,1,,8,,5,,9,,1,,13,,12,,4,,11,,1,,,,,,80,0,5,,,,8,,3,,2,,6,,21,,13,,7,,2,,67,0,204,0,226,122,0
24548,23275,2183,1,1638,13,Bodleian-1638-13-recto,7,March,14,March,2,,3,,2,,1,,,,,,,,1,,1,,,,,,2,,2,,,,3,,1,,,,2,,,,,,,,,,1,,1,,,,,,2,,,,,,,,,,1,,1,,1,,,,,,,,2,,,,,,2,,2,,1,,,,,,,,4,,,,2,,,,,,1,,,,1,,1,,1,,2,,,,,,,,1,,,,,,1,,,,1,,,,,,2,,,,1,,,,2,,,,1,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,2,,62,0,9,,2,,,,9,,,,3,,8,,7,,7,,9,,10,,17,,7,,6,,,,1,,,,95,0,12,,,,12,,3,,3,,5,,25,,11,,3,,1,,73,0,232,0,235,122,0
24549,23276,2186,1,1638,14,Bodleian-1638-14-recto,14,March,21,March,2,,1,,,,2,,,,5,,,,2,,,,3,,,,1,,2,,1,,1,,,,,,,,,,1,,,,,,1,,2,,1,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,1,,,,2,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,1,,2,,2,,,,,,,,,,,,1,,,,,,1,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,4,,2,,,,,,,,55,0,6,,,,,,8,,1,,1,,13,,4,,8,,14,,13,,18,,9,,9,,,,,,,,104,0,12,,,,11,,4,,3,,4,,15,,11,,7,,,,67,0,226,0,218,122,0
24550,23277,2187,1,1639,15,Bodleian-1639-15-recto,21,March,28,March,1,,1,,2,,1,,,,1,,,,1,,1,,1,,,,1,,1,,1,,5,,1,,1,,,,2,,,,,,,,,,3,,,,,,1,,1,,,,1,,1,,,,1,,,,1,,,,1,,1,,,,,,2,,1,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,2,,,,,,1,,,,,,1,,1,,,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,2,,1,,,,1,,,,58,0,12,,1,,,,7,,2,,2,,15,,8,,12,,8,,12,,15,,10,,18,,2,,,,,,124,0,5,,,,13,,3,,3,,2,,21,,10,1,4,,1,,62,1,244,1,259,121,1
24551,23278,2189,1,1639,16,Bodleian-1639-16-recto,28,March,4,April,,,3,,,,3,,,,1,,1,,1,,1,,,,,,,,1,,,,5,,2,,,,1,,1,,,,,,,,,,4,,,,,,1,,,,,,1,,2,,,,,,,,,,,,,,,,,,1,,,,1,,2,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,3,,,,,,,,,,,,1,,,,3,,,,2,,,,,,,,1,,,,2,,1,,1,,,,,,,,1,,3,,,,,,,,4,,,,,,1,,,,60,0,9,,3,,1,,5,,1,,5,,11,,2,,3,,3,,21,,11,,7,,13,,,,,,,,96,0,10,,,,15,,,,2,,2,,15,,7,,3,,1,,64,0,220,0,191,122,0
24552,23279,2192,1,1639,17,Bodleian-1639-17-recto,4,April,11,April,1,,,,1,,,,1,,1,,1,,,,1,,1,,,,1,,4,,,,,,1,,1,,,,,,,,1,,,,,,1,,,,,,,,2,,,,1,,,,,,,,,,1,,1,,,,1,,,,,,1,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,1,,,,1,,1,,,,39,0,13,,3,,,,7,,1,,4,,12,,7,,5,,9,,12,,8,,9,,19,,,,,,,,109,0,8,,,,5,,5,,4,,1,,11,,12,,5,,,,51,0,199,0,194,122,0
24553,23280,2193,1,1639,18,Bodleian-1639-18-recto,11,April,18,April,,,1,,2,,3,,1,,2,,,,2,,1,,,,2,,1,,1,,,,4,,,,,,1,,1,,,,1,,,,1,,4,,,,,,,,,,,,,,1,,1,,1,,,,1,,,,1,,,,1,,,,1,,2,,1,,1,,1,,,,,,,,,,,,1,,1,,,,,,,,2,,1,,,,1,,,,2,,,,,,1,,,,4,,,,1,,4,,,,,,,,2,,2,,3,,,,,,1,,,,1,,,,,,,,,,2,,,,,,,,,,1,,,,,,1,,,,,,,,1,,72,0,9,,2,,,,5,,,,3,,12,,8,,6,,12,,13,,10,,8,,15,,2,,,,,,105,0,7,,,,10,,2,,3,,6,,12,,10,,4,,1,,55,0,232,0,195,122,0
24554,23281,2196,1,1639,19,Bodleian-1639-19-recto,18,April,25,April,1,,1,,1,,2,,,,1,,3,,,,1,,,,,,,,1,,,,2,,1,,2,,2,,,,,,,,2,,,,3,,,,,,1,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,2,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,3,,,,1,,1,,,,,,,,,,,,1,,,,,,,,2,,,,1,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,2,,,,,,1,,,,54,0,9,,1,,1,,13,,1,,1,,10,,10,,4,,3,,15,,19,,7,,18,,,,1,,,,113,0,9,,,,13,,4,,3,,9,,19,,9,,3,,,,74,0,241,0,205,122,0
24555,23282,2197,1,1639,20,Bodleian-1639-20-recto,25,April,2,May,,,1,,,,2,,,,2,,,,,,,,1,,,,,,,,,,6,,,,1,,1,,1,,,,1,,,,,,3,,,,,,,,1,,1,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,3,,1,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,1,,,,1,,1,,3,,,,,,1,,,,1,,,,,,1,,2,,,,,,,,,,1,,,,,,3,,,,,,,,,,51,0,11,,,,,,6,,,,2,,6,,3,,4,,8,,9,,11,,7,,11,,,,2,,,,80,0,11,,,,13,,6,,6,,4,,12,,6,,3,,1,,62,0,193,0,166,122,0
24589,23285,2295,1,1639,23,Bodleian-1639-23-recto,16,May,23,May,,,2,,,,2,,,,1,,1,,1,,,,,,,,1,,2,,,,5,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,2,,1,,1,,1,,2,,,,1,,1,,,,,,1,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,1,,50,1,9,,2,,1,,8,,3,,2,,7,,6,,7,,1,,12,,10,,6,,8,,,,,,,,82,0,3,,,,6,,2,,1,,8,,16,,3,,2,,1,,42,0,174,1,153,121,1
24590,23286,2296,1,1639,24,Bodleian-1639-24-recto,23,May,30,May,1,,1,,,,4,,,,5,,,,,,2,,2,,1,,1,,1,,2,,2,,,,,,1,,,,,,,,,,,,2,,,,,,,,1,,2,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,1,,1,,1,,1,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,2,,,,1,,,,,,,,1,,,,,,2,,1,,,,1,,,,1,,51,0,7,,2,,1,,5,,,,3,,13,,5,,3,,4,,12,,11,,6,,11,1,,,,,,,83,1,6,,,,7,,4,,6,,4,,14,,4,,7,,1,,53,0,187,1,173,121,1
24591,23287,2300,1,1639,25,Bodleian-1639-25-recto,30,May,6,June,,,1,,,,,,,,,,,,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,1,,1,,,,,,,,2,,,,1,,,,2,,1,,1,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,1,,,,,,1,,2,,,,,,1,,,,,,2,,,,,,1,,1,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,2,,1,,2,,1,,,,41,0,11,1,2,,,,4,,,,,,5,,,,2,,4,,10,,12,,3,,11,2,1,,,,,,65,3,4,,,,7,,4,,2,,3,,9,,7,,2,,3,,41,0,147,3,165,120,2
